#: table_doi: 10.17182/hepdata.47843.v1/t1
#: name: Table 1
#: description: No description provided.
#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> CHARGED X
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,,,
X(DEF=2*E(P=3)/SQRT(S)),X(DEF=2*E(P=3)/SQRT(S)) LOW,X(DEF=2*E(P=3)/SQRT(S)) HIGH,(1/SIG(C=TOT))*D(SIG)/DX,stat +,stat -,sys +,sys -,"sys,Overall normaliztion error not included. +","sys,Overall normaliztion error not included. -"
0.01,0.008,0.012,501.3,0.4,-0.4,7.8,-7.8,1.0%,-1.0%
0.016,0.012,0.02,392.69,0.24,-0.24,0.97,-0.97,1.0%,-1.0%
0.025,0.02,0.03,274.81,0.18,-0.18,0.99,-0.99,1.0%,-1.0%
0.035,0.03,0.04,191.05,0.15,-0.15,0.48,-0.48,1.0%,-1.0%
0.045,0.04,0.05,139.94,0.13,-0.13,0.44,-0.44,1.0%,-1.0%
0.055,0.05,0.06,107.33,0.11,-0.11,0.3,-0.3,1.0%,-1.0%
0.065,0.06,0.07,85.09,0.1,-0.1,0.17,-0.17,1.0%,-1.0%
0.07500000000000001,0.07,0.08,68.96,0.09,-0.09,0.19,-0.19,1.0%,-1.0%
0.08499999999999999,0.08,0.09,56.8,0.08,-0.08,0.13,-0.13,1.0%,-1.0%
0.095,0.09,0.1,47.875,0.075,-0.075,0.095,-0.095,1.0%,-1.0%
0.11,0.1,0.12,37.655,0.047,-0.047,0.074,-0.074,1.0%,-1.0%
0.13,0.12,0.14,28.061,0.041,-0.041,0.046,-0.046,1.0%,-1.0%
0.15000000000000002,0.14,0.16,21.389,0.035,-0.035,0.054,-0.054,1.0%,-1.0%
0.16999999999999998,0.16,0.18,16.661,0.031,-0.031,0.042,-0.042,1.0%,-1.0%
0.19,0.18,0.2,13.233,0.028,-0.028,0.027,-0.027,1.0%,-1.0%
0.21250000000000002,0.2,0.225,10.376,0.022,-0.022,0.023,-0.023,1.0%,-1.0%
0.2375,0.225,0.25,7.928,0.019,-0.019,0.02,-0.02,1.0%,-1.0%
0.2625,0.25,0.275,6.197,0.017,-0.017,0.016,-0.016,1.0%,-1.0%
0.2875,0.275,0.3,4.874,0.015,-0.015,0.012,-0.012,1.0%,-1.0%
0.3125,0.3,0.325,3.862,0.014,-0.014,0.013,-0.013,1.0%,-1.0%
0.3375,0.325,0.35,3.055,0.012,-0.012,0.018,-0.018,1.0%,-1.0%
0.3625,0.35,0.375,2.461,0.011,-0.011,0.009,-0.009,1.0%,-1.0%
0.3875,0.375,0.4,1.995,0.01,-0.01,0.011,-0.011,1.0%,-1.0%
0.41500000000000004,0.4,0.43,1.5555,0.0079,-0.0079,0.0059,-0.0059,1.0%,-1.0%
0.445,0.43,0.46,1.2122,0.007,-0.007,0.0081,-0.0081,1.0%,-1.0%
0.475,0.46,0.49,0.9401,0.0061,-0.0061,0.0051,-0.0051,1.0%,-1.0%
0.505,0.49,0.52,0.7346,0.0054,-0.0054,0.0091,-0.0091,1.0%,-1.0%
0.535,0.52,0.55,0.5634,0.0047,-0.0047,0.0048,-0.0048,1.0%,-1.0%
0.575,0.55,0.6,0.41,0.0031,-0.0031,0.0025,-0.0025,1.0%,-1.0%
0.625,0.6,0.65,0.2574,0.0025,-0.0025,0.0033,-0.0033,1.0%,-1.0%
0.675,0.65,0.7,0.172,0.002,-0.002,0.0027,-0.0027,1.0%,-1.0%
0.725,0.7,0.75,0.1042,0.0015,-0.0015,0.0026,-0.0026,1.0%,-1.0%
0.775,0.75,0.8,0.0608,0.0011,-0.0011,0.0027,-0.0027,1.0%,-1.0%
0.8500000000000001,0.8,0.9,0.0263,0.0005,-0.0005,0.0032,-0.0032,1.0%,-1.0%
0.95,0.9,1.0,0.0049,0.0002,-0.0002,0.002,-0.002,1.0%,-1.0%

