#: table_doi: 10.17182/hepdata.47843.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> CHARGED X
#: keyword observables: DSIG/DXL
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,,,
XL(DEF=2*EL/SQRT(S)),XL(DEF=2*EL/SQRT(S)) LOW,XL(DEF=2*EL/SQRT(S)) HIGH,(1/SIG(C=TOT))*D(SIG)/DXL,stat +,stat -,sys +,sys -,"sys,Overall normaliztion error not included. +","sys,Overall normaliztion error not included. -"
0.01,0.008,0.012,123.6,0.5,-0.5,16.4,-16.4,1.0%,-1.0%
0.016,0.012,0.02,77.2,0.3,-0.3,2.8,-2.8,1.0%,-1.0%
0.025,0.02,0.03,40.6,0.2,-0.2,1.6,-1.6,1.0%,-1.0%
0.035,0.03,0.04,21.1,0.1,-0.1,1.2,-1.2,1.0%,-1.0%
0.045,0.04,0.05,12.42,0.12,-0.12,0.81,-0.81,1.0%,-1.0%
0.055,0.05,0.06,8.0,0.1,-0.1,0.58,-0.58,1.0%,-1.0%
0.065,0.06,0.07,5.4,0.09,-0.09,0.4,-0.4,1.0%,-1.0%
0.07500000000000001,0.07,0.08,3.81,0.08,-0.08,0.31,-0.31,1.0%,-1.0%
0.08499999999999999,0.08,0.09,2.74,0.07,-0.07,0.2,-0.2,1.0%,-1.0%
0.095,0.09,0.1,2.1,0.06,-0.06,0.2,-0.2,1.0%,-1.0%
0.11,0.1,0.12,1.43,0.04,-0.04,0.14,-0.14,1.0%,-1.0%
0.13,0.12,0.14,0.9,0.03,-0.03,0.1,-0.1,1.0%,-1.0%
0.15000000000000002,0.14,0.16,0.569,0.026,-0.026,0.06,-0.06,1.0%,-1.0%
0.16999999999999998,0.16,0.18,0.393,0.024,-0.024,0.082,-0.082,1.0%,-1.0%
0.2025,0.18,0.225,0.259,0.012,-0.012,0.037,-0.037,1.0%,-1.0%
0.25,0.225,0.275,0.115,0.008,-0.008,0.024,-0.024,1.0%,-1.0%
0.30000000000000004,0.275,0.325,0.055,0.005,-0.005,0.013,-0.013,1.0%,-1.0%
0.36250000000000004,0.325,0.4,0.0293,0.0032,-0.0032,0.0076,-0.0076,1.0%,-1.0%
0.5,0.4,0.6,0.0067,0.0007,-0.0007,0.0023,-0.0023,1.0%,-1.0%
0.7,0.6,0.8,0.00041,0.0002,-0.0002,0.00094,-0.00094,1.0%,-1.0%
0.9,0.8,1.0,-0.0002,0.0002,-0.0002,0.0011,-0.0011,1.0%,-1.0%

