#: table_doi: 10.17182/hepdata.76800.v1/t3,,,,,,,,,,,,,,
#: name: Table 3,,,,,,,,,,,,,,
#: description: Multiplicities of unidentified positively charged hadrons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{h^{+}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the hadron count, $DVM^{h^{+}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the hadron count, $\eta^{h^{+}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{h^{+}}$, as follows:,
,,,,,,,,,,,,,,
$M^{h^{+}}$ =  $M_{raw}^{h^{+}}$ * $\frac{\eta^{h^{+}}} {\eta^{DIS}}$ * $\frac{ DVM^{h^{+}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data3.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu'^{+}$ $h^{+}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu'^{+}$ $h^{+}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{h^{+}}$,$z^{h^{+}}$ LOW,$z^{h^{+}}$ HIGH,$M^{h^{+}}$,stat +,stat -,sys +,sys -
0.0087,0.004,0.01,0.44,0.3,0.5,1.149,0.223,0.2,0.25,2.3731,0.0176,-0.0176,0.1197,-0.1197
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.274,0.25,0.3,1.6525,0.0145,-0.0145,0.0831,-0.0831
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.324,0.3,0.35,1.2391,0.013,-0.013,0.0621,-0.0621
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.374,0.35,0.4,0.8937,0.0113,-0.0113,0.0447,-0.0447
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.424,0.4,0.45,0.6596,0.0097,-0.0097,0.0333,-0.0333
0.0088,0.004,0.01,0.43,0.3,0.5,1.132,0.474,0.45,0.5,0.5042,0.0089,-0.0089,0.026,-0.026
0.009,0.004,0.01,0.41,0.3,0.5,1.105,0.524,0.5,0.55,0.3811,0.0097,-0.0097,0.0205,-0.0205
0.0093,0.004,0.01,0.39,0.3,0.5,1.076,0.574,0.55,0.6,0.319,0.0121,-0.0121,0.0176,-0.0176
0.0095,0.004,0.01,0.37,0.3,0.5,1.048,0.624,0.6,0.65,0.2663,0.0176,-0.0176,0.0167,-0.0167
0.0098,0.004,0.01,0.35,0.3,0.5,1.023,0.674,0.65,0.7,0.1845,0.0295,-0.0295,0.01,-0.01
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.223,0.2,0.25,2.3028,0.0109,-0.0109,0.116,-0.116
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.274,0.25,0.3,1.6341,0.0097,-0.0097,0.082,-0.082
