#: table_doi: 10.17182/hepdata.76800.v1/t4,,,,,,,,,,,,,,
#: name: Table 4,,,,,,,,,,,,,,
#: description: Multiplicities of unidentified negatively charged hadrons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{h^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the hadron count, $DVM^{h^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the hadron count, $\eta^{h^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{h^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{h^{-}}$ =  $M_{raw}^{h^{-}}$ * $\frac{\eta^{h^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{h^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data4.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu'^{+}$ $h^{-}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu'^{+}$ $h^{-}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{h^{-}}$,$z^{h^{-}}$ LOW,$z^{h^{-}}$ HIGH,$M^{h^{-}}$,stat +,stat -,sys +,sys -
0.0087,0.004,0.01,0.44,0.3,0.5,1.149,0.223,0.2,0.25,2.2066,0.0173,-0.0173,0.1113,-0.1113
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.274,0.25,0.3,1.5523,0.0143,-0.0143,0.0779,-0.0779
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.324,0.3,0.35,1.0907,0.0123,-0.0123,0.0546,-0.0546
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.374,0.35,0.4,0.7841,0.0106,-0.0106,0.0393,-0.0393
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.424,0.4,0.45,0.6079,0.0096,-0.0096,0.0308,-0.0308
0.0088,0.004,0.01,0.43,0.3,0.5,1.132,0.474,0.45,0.5,0.4402,0.0085,-0.0085,0.0228,-0.0228
0.009,0.004,0.01,0.41,0.3,0.5,1.105,0.524,0.5,0.55,0.3369,0.0091,-0.0091,0.0182,-0.0182
0.0093,0.004,0.01,0.39,0.3,0.5,1.075,0.574,0.55,0.6,0.2612,0.0111,-0.0111,0.0149,-0.0149
0.0095,0.004,0.01,0.37,0.3,0.5,1.048,0.624,0.6,0.65,0.2129,0.0157,-0.0157,0.0136,-0.0136
0.0098,0.004,0.01,0.35,0.3,0.5,1.023,0.674,0.65,0.7,0.158,0.0253,-0.0253,0.0104,-0.0104
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.223,0.2,0.25,2.1878,0.0108,-0.0108,0.1101,-0.1101
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.274,0.25,0.3,1.511,0.0094,-0.0094,0.0758,-0.0758
0.0074,0.004,0.01,0.6,0.5,0.7,1.316,0.324,0.3,0.35,1.1009,0.0084,-0.0084,0.0551,-0.0551
0.0076,0.004,0.01,0.57,0.5,0.7,1.282,0.374,0.35,0.4,0.7871,0.0092,-0.0092,0.0394,-0.0394
0.0079,0.004,0.01,0.53,0.5,0.7,1.244,0.424,0.4,0.45,0.58,0.0121,-0.0121,0.0293,-0.0293
0.0184,0.01,0.02,0.19,0.15,0.2,1.084,0.424,0.4,0.45,0.6214,0.0257,-0.0257,0.0315,-0.0315
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.474,0.45,0.5,0.4552,0.0165,-0.0165,0.0232,-0.0232
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.524,0.5,0.55,0.3538,0.0147,-0.0147,0.0192,-0.0192
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.574,0.55,0.6,0.2499,0.0123,-0.0123,0.016,-0.016
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.624,0.6,0.65,0.2001,0.0113,-0.0113,0.0126,-0.0126
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.674,0.65,0.7,0.1553,0.0102,-0.0102,0.0111,-0.0111
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.724,0.7,0.75,0.1285,0.0095,-0.0095,0.0103,-0.0103
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.795,0.75,0.85,0.082,0.0055,-0.0055,0.0092,-0.0092
0.0154,0.01,0.02,0.28,0.2,0.3,1.275,0.324,0.3,0.35,1.1242,0.0117,-0.0117,0.0563,-0.0563
0.016,0.01,0.02,0.26,0.2,0.3,1.237,0.374,0.35,0.4,0.7935,0.0077,-0.0077,0.0397,-0.0397
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.424,0.4,0.45,0.6022,0.0064,-0.0064,0.0305,-0.0305
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.474,0.45,0.5,0.4329,0.0054,-0.0054,0.0223,-0.0223
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.524,0.5,0.55,0.3332,0.0048,-0.0048,0.0178,-0.0178
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.574,0.55,0.6,0.2572,0.0042,-0.0042,0.0149,-0.0149
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.624,0.6,0.65,0.2042,0.0039,-0.0039,0.0124,-0.0124
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.674,0.65,0.7,0.1631,0.0035,-0.0035,0.0099,-0.0099
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.724,0.7,0.75,0.1297,0.0032,-0.0032,0.0095,-0.0095
0.0163,0.01,0.02,0.25,0.2,0.3,1.213,0.794,0.75,0.85,0.0857,0.0019,-0.0019,0.0086,-0.0086
0.0139,0.01,0.02,0.43,0.3,0.5,1.797,0.223,0.2,0.25,2.2164,0.0111,-0.0111,0.1112,-0.1112
0.014,0.01,0.02,0.39,0.3,0.5,1.612,0.274,0.25,0.3,1.5447,0.0072,-0.0072,0.0774,-0.0774
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.324,0.3,0.35,1.1044,0.0061,-0.0061,0.0553,-0.0553
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.374,0.35,0.4,0.8047,0.0053,-0.0053,0.0403,-0.0403
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.424,0.4,0.45,0.5703,0.0045,-0.0045,0.0287,-0.0287
0.014,0.01,0.02,0.38,0.3,0.5,1.59,0.474,0.45,0.5,0.4324,0.004,-0.004,0.0219,-0.0219
0.014,0.01,0.02,0.37,0.3,0.5,1.538,0.524,0.5,0.55,0.3183,0.0037,-0.0037,0.0166,-0.0166
0.0141,0.01,0.02,0.35,0.3,0.5,1.481,0.574,0.55,0.6,0.2508,0.0037,-0.0037,0.0137,-0.0137
0.0141,0.01,0.02,0.34,0.3,0.5,1.431,0.624,0.6,0.65,0.1922,0.0038,-0.0038,0.011,-0.011
0.0142,0.01,0.02,0.33,0.3,0.5,1.387,0.674,0.65,0.7,0.1555,0.0041,-0.0041,0.0093,-0.0093
0.0144,0.01,0.02,0.32,0.3,0.5,1.353,0.724,0.7,0.75,0.1096,0.0044,-0.0044,0.008,-0.008
