x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.004,0.01,0.3,0.5,0.2,0.25,2.8375,0.02703,0.14216,2.5299,0.02539,0.12731,0.98067,0.97955,0.94677,1.12089,1.12295
0.004,0.01,0.3,0.5,0.25,0.3,2.00036,0.02161,0.1003,1.74937,0.02013,0.08824,0.97497,0.97565,0.94648,1.12017,1.12336
0.004,0.01,0.3,0.5,0.3,0.35,1.47656,0.01871,0.07462,1.23602,0.01695,0.06308,0.96687,0.96665,0.94648,1.12256,1.12679
0.004,0.01,0.3,0.5,0.35,0.4,1.05874,0.01592,0.05421,0.89865,0.01464,0.04644,0.9543,0.95357,0.94648,1.12504,1.13032
0.004,0.01,0.3,0.5,0.4,0.45,0.80566,0.01389,0.04212,0.65312,0.01239,0.03474,0.93531,0.92894,0.94648,1.12748,1.1338
0.004,0.01,0.3,0.5,0.45,0.5,0.59335,0.01215,0.03181,0.47351,0.0107,0.02617,0.91696,0.90422,0.94643,1.12932,1.13669
0.004,0.01,0.3,0.5,0.5,0.55,0.4755,0.01313,0.02686,0.35856,0.01124,0.02112,0.88149,0.86585,0.9455,1.12263,1.13109
0.004,0.01,0.3,0.5,0.55,0.6,0.33201,0.01421,0.02182,0.27656,0.01315,0.01786,0.81728,0.82709,0.94451,1.12079,1.13032
0.004,0.01,0.5,0.7,0.2,0.25,2.76824,0.01937,0.15227,2.504,0.01835,0.13785,0.98176,0.98211,0.95037,1.17199,1.17247
0.004,0.01,0.5,0.7,0.25,0.3,1.96504,0.01658,0.1087,1.71572,0.01541,0.09522,0.97628,0.97736,0.95037,1.17411,1.17577
0.004,0.01,0.5,0.7,0.3,0.35,1.4261,0.0144,0.07915,1.22972,0.0133,0.06861,0.96984,0.96996,0.95038,1.17473,1.1776
0.004,0.01,0.5,0.7,0.35,0.4,1.04812,0.01506,0.05779,0.86701,0.01356,0.04827,0.95941,0.95756,0.95055,1.16867,1.17296
0.004,0.01,0.5,0.7,0.4,0.45,0.79843,0.01933,0.04434,0.63477,0.01703,0.03591,0.94161,0.93468,0.95031,1.16601,1.1717
0.01,0.02,0.15,0.2,0.4,0.45,0.80291,0.03415,0.03928,0.64203,0.0301,0.03233,0.93408,0.92224,0.9438,1.08434,1.09248
0.01,0.02,0.15,0.2,0.45,0.5,0.65416,0.02239,0.03292,0.50812,0.0197,0.02656,0.91225,0.89719,0.94288,1.08146,1.08999
0.01,0.02,0.15,0.2,0.5,0.55,0.49753,0.0194,0.02585,0.36368,0.01623,0.02079,0.89739,0.85878,0.94288,1.08545,1.09438
0.01,0.02,0.15,0.2,0.55,0.6,0.40731,0.01729,0.02337,0.24839,0.01302,0.01593,0.85578,0.81749,0.94288,1.08935,1.09868
0.01,0.02,0.15,0.2,0.6,0.65,0.31349,0.01509,0.01895,0.23481,0.01273,0.0178,0.83708,0.7653,0.94288,1.09338,1.10309
0.01,0.02,0.15,0.2,0.65,0.7,0.23364,0.01261,0.01704,0.16485,0.01039,0.01369,0.77885,0.73868,0.94288,1.09738,1.10749
0.01,0.02,0.15,0.2,0.7,0.75,0.17847,0.01067,0.01683,0.11718,0.0082,0.01363,0.70198,0.64565,0.94288,1.10127,1.11176
0.01,0.02,0.15,0.2,0.75,0.85,0.10372,0.00517,0.01535,0.0659,0.00395,0.01151,0.57734,0.53124,0.94288,1.10717,1.11823
0.01,0.02,0.2,0.3,0.3,0.35,1.52056,0.01638,0.07067,1.2187,0.01455,0.05722,0.97206,0.96987,0.95167,1.07641,1.08273
0.01,0.02,0.2,0.3,0.35,0.4,1.12969,0.01093,0.05313,0.8849,0.00958,0.04233,0.95988,0.95232,0.95072,1.07918,1.08622
0.01,0.02,0.2,0.3,0.4,0.45,0.85088,0.00885,0.04094,0.6486,0.00765,0.03192,0.94121,0.9318,0.95031,1.08272,1.09033
0.01,0.02,0.2,0.3,0.45,0.5,0.63485,0.00761,0.03138,0.48502,0.00656,0.02479,0.92409,0.90992,0.95032,1.08647,1.09458
0.01,0.02,0.2,0.3,0.5,0.55,0.48629,0.00659,0.02537,0.3566,0.00555,0.01957,0.89512,0.87605,0.95032,1.09015,1.09878
0.01,0.02,0.2,0.3,0.55,0.6,0.37623,0.00575,0.02126,0.26553,0.00471,0.01615,0.86101,0.83729,0.95032,1.09388,1.10301
0.01,0.02,0.2,0.3,0.6,0.65,0.28874,0.00499,0.01755,0.20315,0.00409,0.01364,0.83472,0.80475,0.95032,1.09754,1.10716
0.01,0.02,0.2,0.3,0.65,0.7,0.21064,0.00418,0.01409,0.14675,0.00337,0.01169,0.80339,0.75145,0.95032,1.10123,1.11137
0.01,0.02,0.2,0.3,0.7,0.75,0.16356,0.00357,0.0144,0.11697,0.00294,0.01143,0.72093,0.69227,0.95032,1.10506,1.11569
0.01,0.02,0.2,0.3,0.75,0.85,0.10327,0.00191,0.01416,0.07101,0.00152,0.01178,0.59731,0.54561,0.95007,1.109,1.12035
0.01,0.02,0.3,0.5,0.2,0.25,2.81132,0.01862,0.13191,2.47873,0.0174,0.11706,0.98837,0.98704,0.96529,1.09306,1.09654
0.01,0.02,0.3,0.5,0.25,0.3,2.01955,0.01118,0.09483,1.70123,0.0102,0.08058,0.98245,0.98117,0.96105,1.09098,1.09558
0.01,0.02,0.3,0.5,0.3,0.35,1.45539,0.00933,0.06876,1.20698,0.00844,0.0576,0.97682,0.97544,0.96086,1.0934,1.09866
0.01,0.02,0.3,0.5,0.35,0.4,1.08981,0.0081,0.05201,0.86231,0.00713,0.04167,0.96749,0.96327,0.96086,1.0967,1.10259
