#: table_doi: 10.17182/hepdata.47405.v1/t2
#: name: Table 2
#: description: Longitudinal component of the differential cross section.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> CHGD-HADRON X
#: keyword observables: DSIG/DX | FD
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHGD-HADRON X
#: RE(Q=TOT),,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/SIG(Q=TOT))*D(SIG(C=L))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,117.0,0.7,-0.7,7.5,-7.5
0.015,0.01,0.02,84.2,0.4,-0.4,5.5,-5.5
0.025,0.02,0.03,37.1,0.4,-0.4,3.2,-3.2
0.035,0.03,0.04,18.5,0.3,-0.3,2.9,-2.9
0.045,0.04,0.05,11.3,0.3,-0.3,1.6,-1.6
0.055,0.05,0.06,7.4,0.2,-0.2,1.2,-1.2
0.065,0.06,0.07,5.5,0.2,-0.2,0.9,-0.9
0.07500000000000001,0.07,0.08,3.8,0.2,-0.2,0.7,-0.7
0.08499999999999999,0.08,0.09,2.3,0.2,-0.2,0.5,-0.5
0.095,0.09,0.1,1.9,0.2,-0.2,0.5,-0.5
0.11,0.1,0.12,1.1,0.1,-0.1,0.3,-0.3
0.13,0.12,0.14,0.64,0.08,-0.08,0.25,-0.25
0.15000000000000002,0.14,0.16,0.5,0.07,-0.07,0.15,-0.15
0.16999999999999998,0.16,0.18,0.21,0.07,-0.07,0.17,-0.17
0.19,0.18,0.2,0.09,0.06,-0.06,0.1,-0.1
0.225,0.2,0.25,0.08,0.03,-0.03,0.05,-0.05
0.275,0.25,0.3,0.03,0.02,-0.02,0.03,-0.03
0.35,0.3,0.4,0.007,0.012,-0.012,0.02,-0.02
0.45,0.4,0.5,0.008,0.008,-0.008,0.022,-0.022
0.55,0.5,0.6,0.006,0.005,-0.005,0.007,-0.007
0.7,0.6,0.8,0.0004,0.0021,-0.0021,0.0043,-0.0043
0.9,0.8,1.0,0.0012,0.0007,-0.0007,0.002,-0.002

