#: table_doi: 10.17182/hepdata.47405.v1/t7
#: name: Table 7
#: description: Transverse and longitudinal components of the differential cross section.

#: data_file: Table7.yaml
#: keyword reactions: E+ E- --> BQBAR BQ X | E+ E- --> CHGD-HADRON X
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> BQ < CHGD-HADRON X > BQBAR + BQBAR < CHGD-HADRON X > BQ
#: RE(Q=TOT),,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=4)/SQRT(S)),X(DEF=2*P(P=4)/SQRT(S)) LOW,X(DEF=2*P(P=4)/SQRT(S)) HIGH,(1/SIG(Q=TOT))*D(SIG(C=T))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,331.0,9.0,-9.0,22.0,-22.0
0.015,0.01,0.02,369.0,6.0,-6.0,12.0,-12.0
0.025,0.02,0.03,264.0,5.0,-5.0,12.0,-12.0
0.035,0.03,0.04,200.0,5.0,-5.0,9.0,-9.0
0.045,0.04,0.05,141.0,4.0,-4.0,4.0,-4.0
0.055,0.05,0.06,120.0,4.0,-4.0,4.0,-4.0
0.065,0.06,0.07,94.0,3.0,-3.0,3.0,-3.0
0.07500000000000001,0.07,0.08,74.0,3.0,-3.0,3.0,-3.0
0.08499999999999999,0.08,0.09,68.0,3.0,-3.0,3.0,-3.0
0.095,0.09,0.1,53.0,2.0,-2.0,3.0,-3.0
0.11,0.1,0.12,40.0,2.0,-2.0,3.0,-3.0
0.13,0.12,0.14,28.0,1.0,-1.0,2.0,-2.0
0.15000000000000002,0.14,0.16,19.0,1.0,-1.0,1.0,-1.0
0.16999999999999998,0.16,0.18,15.9,1.0,-1.0,1.1,-1.1
0.19,0.18,0.2,11.2,0.8,-0.8,1.1,-1.1
0.225,0.2,0.25,7.8,0.4,-0.4,0.6,-0.6
0.275,0.25,0.3,4.0,0.3,-0.3,0.3,-0.3
0.35,0.3,0.4,1.8,0.1,-0.1,0.2,-0.2
0.45,0.4,0.5,0.44,0.07,-0.07,0.07,-0.07
0.55,0.5,0.6,0.15,0.05,-0.05,0.05,-0.05
0.7,0.6,0.8,0.04,0.02,-0.02,0.03,-0.03
0.9,0.8,1.0,0.0002,0.0004,-0.0004,0.0004,-0.0004

#: RE,,,E+ E- --> BQ < CHGD-HADRON X > BQBAR + BQBAR < CHGD-HADRON X > BQ
#: RE(Q=TOT),,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=4)/SQRT(S)),X(DEF=2*P(P=4)/SQRT(S)) LOW,X(DEF=2*P(P=4)/SQRT(S)) HIGH,(1/SIG(Q=TOT))*D(SIG(C=L))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,113.0,7.0,-7.0,13.0,-13.0
0.015,0.01,0.02,89.0,4.0,-4.0,9.0,-9.0
0.025,0.02,0.03,45.0,4.0,-4.0,7.0,-7.0
0.035,0.03,0.04,19.0,3.0,-3.0,6.0,-6.0
0.045,0.04,0.05,18.0,3.0,-3.0,3.0,-3.0
0.055,0.05,0.06,6.0,2.0,-2.0,2.0,-2.0
0.065,0.06,0.07,6.0,2.0,-2.0,2.0,-2.0
0.07500000000000001,0.07,0.08,7.0,2.0,-2.0,2.0,-2.0
0.08499999999999999,0.08,0.09,1.0,2.0,-2.0,2.0,-2.0
0.095,0.09,0.1,2.0,2.0,-2.0,2.0,-2.0
0.11,0.1,0.12,3.0,1.0,-1.0,2.0,-2.0
0.13,0.12,0.14,1.6,0.9,-0.9,1.3,-1.3
0.15000000000000002,0.14,0.16,1.7,0.7,-0.7,0.7,-0.7
0.16999999999999998,0.16,0.18,0.4,0.7,-0.7,0.7,-0.7
0.19,0.18,0.2,0.8,0.6,-0.6,0.9,-0.9
0.225,0.2,0.25,-0.2,0.3,-0.3,0.2,-0.2
0.275,0.25,0.3,-0.03,0.2,-0.2,0.11,-0.11
0.35,0.3,0.4,0.04,0.1,-0.1,0.11,-0.11
0.45,0.4,0.5,0.13,0.05,-0.05,0.19,-0.19
0.55,0.5,0.6,0.03,0.03,-0.03,0.02,-0.02
0.7,0.6,0.8,0.001,0.012,-0.012,0.018,-0.018
0.9,0.8,1.0,-0.0001,0.0003,-0.0003,0.0001,-0.0001

