#: table_doi: 10.17182/hepdata.47405.v1/t8
#: name: Table 8
#: description: Transverse and longitudinal componentS of the differential cross section.

#: data_file: Table8.yaml
#: keyword reactions: E+ E- --> CHGD-HADRON X | E+ E- --> DQBAR DQ | E+ E- --> SQBAR SQ | E+ E- --> UQBAR UQ
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Exclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> UQ < CHGD-HADRON X > UQBAR + UQBAR < CHGD-HADRON X > UQ + DQ < CHGD-HADRON X > DQBAR + DQBAR < CHGD-HADRON X > DQ + SQ < CHGD-HADRON X > SQBAR + SQBAR < CHGD-HADRON X > SE
#: RE(Q=TOT),,,E+ E- --> 2HADRON (HADRONS)
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=4)/SQRT(S)),X(DEF=2*P(P=4)/SQRT(S)) LOW,X(DEF=2*P(P=4)/SQRT(S)) HIGH,(1/SIG(Q=TOT))*D(SIG(C=T))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,280.0,2.0,-2.0,10.0,-10.0
0.015,0.01,0.02,317.0,1.0,-1.0,4.0,-4.0
0.025,0.02,0.03,218.0,1.0,-1.0,3.0,-3.0
0.035,0.03,0.04,158.4,1.0,-1.0,2.6,-2.6
0.045,0.04,0.05,117.5,0.9,-0.9,1.2,-1.2
0.055,0.05,0.06,91.8,0.7,-0.7,0.9,-0.9
0.065,0.06,0.07,73.7,0.7,-0.7,0.7,-0.7
0.07500000000000001,0.07,0.08,61.3,0.6,-0.6,0.7,-0.7
0.08499999999999999,0.08,0.09,51.6,0.6,-0.6,0.7,-0.7
0.095,0.09,0.1,43.4,0.5,-0.5,0.5,-0.5
0.11,0.1,0.12,35.0,0.3,-0.3,0.5,-0.5
0.13,0.12,0.14,26.9,0.3,-0.3,0.5,-0.5
0.15000000000000002,0.14,0.16,20.5,0.3,-0.3,0.4,-0.4
0.16999999999999998,0.16,0.18,15.9,0.2,-0.2,0.3,-0.3
0.19,0.18,0.2,13.7,0.2,-0.2,0.3,-0.3
0.225,0.2,0.25,9.4,0.1,-0.1,0.2,-0.2
0.275,0.25,0.3,5.92,0.09,-0.09,0.1,-0.1
0.35,0.3,0.4,3.22,0.05,-0.05,0.06,-0.06
0.45,0.4,0.5,1.42,0.03,-0.03,0.06,-0.06
0.55,0.5,0.6,0.68,0.02,-0.02,0.03,-0.03
0.7,0.6,0.8,0.24,0.01,-0.01,0.01,-0.01
0.9,0.8,1.0,0.024,0.004,-0.004,0.004,-0.004

#: RE,,,E+ E- --> UQ < CHGD-HADRON X > UQBAR + UQBAR < CHGD-HADRON X > UQ + DQ < CHGD-HADRON X > DQBAR + DQBAR < CHGD-HADRON X > DQ + SQ < CHGD-HADRON X > SQBAR + SQBAR < CHGD-HADRON X > SE
#: RE(Q=TOT),,,E+ E- --> 2HADRON (HADRONS)
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=4)/SQRT(S)),X(DEF=2*P(P=4)/SQRT(S)) LOW,X(DEF=2*P(P=4)/SQRT(S)) HIGH,(1/SIG(Q=TOT))*D(SIG(C=L))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,115.0,1.0,-1.0,6.0,-6.0
0.015,0.01,0.02,79.0,1.0,-1.0,4.0,-4.0
0.025,0.02,0.03,33.7,0.9,-0.9,2.6,-2.6
0.035,0.03,0.04,15.4,0.7,-0.7,2.1,-2.1
0.045,0.04,0.05,9.6,0.6,-0.6,1.0,-1.0
0.055,0.05,0.06,5.6,0.5,-0.5,0.6,-0.6
0.065,0.06,0.07,4.3,0.5,-0.5,0.5,-0.5
0.07500000000000001,0.07,0.08,2.3,0.4,-0.4,0.4,-0.4
0.08499999999999999,0.08,0.09,1.0,0.4,-0.4,0.4,-0.4
0.095,0.09,0.1,1.1,0.4,-0.4,0.5,-0.5
0.11,0.1,0.12,0.4,0.2,-0.2,0.3,-0.3
0.13,0.12,0.14,-0.3,0.2,-0.2,0.3,-0.3
0.15000000000000002,0.14,0.16,0.02,0.19,-0.19,0.16,-0.16
0.16999999999999998,0.16,0.18,0.32,0.17,-0.17,0.19,-0.19
0.19,0.18,0.2,-0.46,0.15,-0.15,0.36,-0.36
0.225,0.2,0.25,-0.16,0.08,-0.08,0.13,-0.13
0.275,0.25,0.3,-0.12,0.07,-0.07,0.14,-0.14
0.35,0.3,0.4,-0.1,0.03,-0.03,0.11,-0.11
0.45,0.4,0.5,-0.01,0.02,-0.02,0.02,-0.02
0.55,0.5,0.6,-0.02,0.02,-0.02,0.02,-0.02
0.7,0.6,0.8,-0.01,0.01,-0.01,0.04,-0.04
0.9,0.8,1.0,0.005,0.003,-0.003,0.004,-0.004

