#: table_doi: 10.17182/hepdata.49385.v1/t16
#: name: Table 16
#: description: Differential cross section for charged particles in Z0 -->Q-QBAR events.

#: data_file: Table16.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.32999999999999996,0.3,0.36,11.22,0.47,-0.47,0.74,-0.74
0.41000000000000003,0.36,0.46,10.95,0.3,-0.3,0.52,-0.52
0.515,0.46,0.57,10.3,0.16,-0.16,0.24,-0.24
0.635,0.57,0.7,9.25,0.16,-0.16,0.23,-0.23
0.8049999999999999,0.7,0.91,7.79,0.15,-0.15,0.22,-0.22
1.025,0.91,1.14,6.36,0.062,-0.062,0.082,-0.082
1.255,1.14,1.37,5.273,0.065,-0.065,0.079,-0.079
1.485,1.37,1.6,4.412,0.035,-0.035,0.041,-0.041
1.71,1.6,1.82,3.764,0.035,-0.035,0.039,-0.039
2.05,1.82,2.28,3.018,0.028,-0.028,0.03,-0.03
2.51,2.28,2.74,2.325,0.023,-0.023,0.024,-0.024
2.965,2.74,3.19,1.853,0.021,-0.021,0.021,-0.021
3.42,3.19,3.65,1.506,0.019,-0.019,0.019,-0.019
3.875,3.65,4.1,1.253,0.018,-0.018,0.017,-0.017
4.33,4.1,4.56,1.049,0.017,-0.017,0.016,-0.016
5.015,4.56,5.47,0.83,0.015,-0.015,0.014,-0.014
5.925,5.47,6.38,0.616,0.013,-0.013,0.011,-0.011
6.835,6.38,7.29,0.471,0.011,-0.011,0.009,-0.009
7.75,7.29,8.21,0.3684,0.009,-0.009,0.0074,-0.0074
8.665,8.21,9.12,0.2907,0.0074,-0.0074,0.006,-0.006
10.51,9.12,11.9,0.1911,0.0055,-0.0055,0.0043,-0.0043
12.8,11.9,13.7,0.1159,0.0036,-0.0036,0.0027,-0.0027
15.95,13.7,18.2,0.0635,0.0021,-0.0021,0.0015,-0.0015
20.5,18.2,22.8,0.0273,0.0011,-0.0011,0.0007,-0.0007
25.1,22.8,27.4,0.01216,0.00057,-0.00057,0.00037,-0.00037
31.95,27.4,36.5,0.00384,0.00039,-0.00039,0.00027,-0.00027
41.05,36.5,45.6,0.00053,9.6e-05,-9.6e-05,5e-05,-5e-05

