#: table_doi: 10.17182/hepdata.49385.v1/t24
#: name: Table 24
#: description: Differential cross section for charged particles in Z0 -->B-BBAR events.

#: data_file: Table24.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.32999999999999996,0.3,0.36,12.05,0.46,-0.46,0.74,-0.74
0.41000000000000003,0.36,0.46,11.8,0.3,-0.3,0.52,-0.52
0.515,0.46,0.57,11.23,0.16,-0.16,0.24,-0.24
0.635,0.57,0.7,10.28,0.16,-0.16,0.23,-0.23
0.8049999999999999,0.7,0.91,8.84,0.16,-0.16,0.22,-0.22
1.025,0.91,1.14,7.336,0.064,-0.064,0.082,-0.082
1.255,1.14,1.37,6.159,0.065,-0.065,0.079,-0.079
1.485,1.37,1.6,5.208,0.034,-0.034,0.041,-0.041
1.71,1.6,1.82,4.466,0.034,-0.034,0.04,-0.04
2.05,1.82,2.28,3.586,0.027,-0.027,0.03,-0.03
2.51,2.28,2.74,2.806,0.021,-0.021,0.024,-0.024
2.965,2.74,3.19,2.235,0.019,-0.019,0.021,-0.021
3.42,3.19,3.65,1.831,0.017,-0.017,0.019,-0.019
3.875,3.65,4.1,1.51,0.016,-0.016,0.017,-0.017
4.33,4.1,4.56,1.259,0.015,-0.015,0.016,-0.016
5.015,4.56,5.47,0.966,0.013,-0.013,0.014,-0.014
5.925,5.47,6.38,0.687,0.011,-0.011,0.011,-0.011
6.835,6.38,7.29,0.4967,0.0086,-0.0086,0.0092,-0.0092
7.75,7.29,8.21,0.3681,0.007,-0.007,0.0077,-0.0077
8.665,8.21,9.12,0.2764,0.0057,-0.0057,0.0063,-0.0063
10.51,9.12,11.9,0.1637,0.0043,-0.0043,0.0047,-0.0047
12.8,11.9,13.7,0.0882,0.0028,-0.0028,0.0034,-0.0034
15.95,13.7,18.2,0.0431,0.0022,-0.0022,0.0025,-0.0025
20.5,18.2,22.8,0.0152,0.0012,-0.0012,0.0021,-0.0021
25.1,22.8,27.4,0.00577,0.00071,-0.00071,0.00203,-0.00203
31.95,27.4,36.5,0.0012,0.00041,-0.00041,0.00202,-0.00202
41.05,36.5,45.6,2.01e-05,8.5e-06,-8.5e-06,0.0020006,-0.0020006

