#: table_doi: 10.17182/hepdata.49385.v1/t32
#: name: Table 32
#: description: Differential cross section for charged particles in Z0-->(U-UBAR,D-DBAR,S-SBAR) events.

#: data_file: Table32.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.32999999999999996,0.3,0.36,10.97,0.47,-0.47,0.74,-0.74
0.41000000000000003,0.36,0.46,10.69,0.31,-0.31,0.52,-0.52
0.515,0.46,0.57,10.02,0.16,-0.16,0.24,-0.24
0.635,0.57,0.7,8.95,0.16,-0.16,0.23,-0.23
0.8049999999999999,0.7,0.91,7.46,0.15,-0.15,0.22,-0.22
1.025,0.91,1.14,6.046,0.061,-0.061,0.082,-0.082
1.255,1.14,1.37,4.966,0.063,-0.063,0.079,-0.079
1.485,1.37,1.6,4.124,0.034,-0.034,0.041,-0.041
1.71,1.6,1.82,3.506,0.034,-0.034,0.04,-0.04
2.05,1.82,2.28,2.801,0.028,-0.028,0.03,-0.03
2.51,2.28,2.74,2.141,0.023,-0.023,0.024,-0.024
2.965,2.74,3.19,1.708,0.021,-0.021,0.021,-0.021
3.42,3.19,3.65,1.39,0.019,-0.019,0.019,-0.019
3.875,3.65,4.1,1.156,0.018,-0.018,0.017,-0.017
4.33,4.1,4.56,0.968,0.017,-0.017,0.016,-0.016
5.015,4.56,5.47,0.774,0.015,-0.015,0.014,-0.014
5.925,5.47,6.38,0.581,0.013,-0.013,0.011,-0.011
6.835,6.38,7.29,0.451,0.011,-0.011,0.009,-0.009
7.75,7.29,8.21,0.3597,0.0093,-0.0093,0.0077,-0.0077
8.665,8.21,9.12,0.2877,0.0076,-0.0076,0.0063,-0.0063
10.51,9.12,11.9,0.1948,0.0058,-0.0058,0.0047,-0.0047
12.8,11.9,13.7,0.1232,0.0038,-0.0038,0.0034,-0.0034
15.95,13.7,18.2,0.0707,0.0024,-0.0024,0.0025,-0.0025
20.5,18.2,22.8,0.0324,0.0013,-0.0013,0.0021,-0.0021
25.1,22.8,27.4,0.01528,0.00076,-0.00076,0.00203,-0.00203
31.95,27.4,36.5,0.0053,0.00057,-0.00057,0.00202,-0.00202
41.05,36.5,45.6,0.00079,0.00017,-0.00017,0.002,-0.002

