#: table_doi: 10.17182/hepdata.48040.v1/t2
#: name: Table 2
#: description: Longitudinal component of the fragmentation function.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> CHARGED X
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*E(P=3)/SQRT(S)),X(DEF=2*E(P=3)/SQRT(S)) LOW,X(DEF=2*E(P=3)/SQRT(S)) HIGH,(1/SIG(NAME=TOTAL))*DSIG(NAME=LONGITUDINAL)/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,89.7,0.4,-0.4,15.3,-15.3
0.015,0.01,0.02,79.2,0.4,-0.4,5.6,-5.6
0.025,0.02,0.03,40.1,0.3,-0.3,2.9,-2.9
0.035,0.03,0.04,21.9,0.2,-0.2,1.3,-1.3
0.045,0.04,0.05,13.1,0.2,-0.2,0.9,-0.9
0.055,0.05,0.06,8.39,0.17,-0.17,0.72,-0.72
0.065,0.06,0.07,5.79,0.15,-0.15,1.03,-1.03
0.07500000000000001,0.07,0.08,4.08,0.14,-0.14,0.47,-0.47
0.08499999999999999,0.08,0.09,2.7,0.13,-0.13,0.35,-0.35
0.095,0.09,0.1,2.16,0.12,-0.12,0.27,-0.27
0.11,0.1,0.12,1.6,0.07,-0.07,0.23,-0.23
0.13,0.12,0.14,0.93,0.06,-0.06,0.36,-0.36
0.15000000000000002,0.14,0.16,0.61,0.06,-0.06,0.16,-0.16
0.16999999999999998,0.16,0.18,0.53,0.05,-0.05,0.17,-0.17
0.19,0.18,0.2,0.35,0.04,-0.04,0.08,-0.08
0.225,0.2,0.25,0.21,0.02,-0.02,0.08,-0.08
0.275,0.25,0.3,0.067,0.018,-0.018,0.05,-0.05
0.35,0.3,0.4,0.036,0.009,-0.009,0.033,-0.033
0.45,0.4,0.5,0.012,0.006,-0.006,0.01,-0.01
0.55,0.5,0.6,-0.003,0.004,-0.004,0.007,-0.007
0.7,0.6,0.8,-0.0047,0.014,-0.014,0.0046,-0.0046
0.9,0.8,1.0,-0.0018,0.003,-0.003,0.0024,-0.0024

