#: table_doi: 10.17182/hepdata.49410.v1/t1
#: name: Table 1
#: description: Fragmentation function for 'uds-quark' events.

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Exclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/SIG(Q=HADRON))*D(SIG(C=UDS-EVENTS))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,388.0,5.0,-5.0,9.0,-9.0
0.015,0.01,0.02,390.0,5.0,-5.0,10.0,-10.0
0.025,0.02,0.03,241.0,4.0,-4.0,7.0,-7.0
0.035,0.03,0.04,176.0,3.0,-3.0,5.0,-5.0
0.045,0.04,0.05,122.6,2.7,-2.7,3.9,-3.9
0.055,0.05,0.06,95.7,2.2,-2.2,2.9,-2.9
0.065,0.06,0.07,79.3,1.9,-1.9,2.3,-2.3
0.07500000000000001,0.07,0.08,65.0,1.6,-1.6,1.7,-1.7
0.08499999999999999,0.08,0.09,53.3,1.6,-1.6,1.3,-1.3
0.095,0.09,0.1,43.3,1.5,-1.5,1.0,-1.0
0.11,0.1,0.12,35.1,0.9,-0.9,0.7,-0.7
0.13,0.12,0.14,27.7,0.7,-0.7,0.4,-0.4
0.15000000000000002,0.14,0.16,21.2,0.7,-0.7,0.4,-0.4
0.16999999999999998,0.16,0.18,17.1,0.6,-0.6,0.3,-0.3
0.19,0.18,0.2,13.3,0.6,-0.6,0.3,-0.3
0.225,0.2,0.25,9.86,0.26,-0.26,0.3,-0.3
0.275,0.25,0.3,6.3,0.19,-0.19,0.25,-0.25
0.35,0.3,0.4,3.42,0.09,-0.09,0.17,-0.17
0.45,0.4,0.5,1.5,0.05,-0.05,0.1,-0.1
0.55,0.5,0.6,0.668,0.033,-0.033,0.048,-0.048
0.7,0.6,0.8,0.241,0.008,-0.008,0.024,-0.024
0.9,0.8,1.0,0.031,0.007,-0.007,0.007,-0.007

