#: table_doi: 10.17182/hepdata.49410.v1/t2
#: name: Table 2
#: description: Fragmentation function for 'c-quark' events.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Exclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/SIG(C=HADRON))*D(SIG(C=C-EVENTS))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,413.0,19.0,-19.0,18.0,-18.0
0.015,0.01,0.02,381.0,17.0,-17.0,11.0,-11.0
0.025,0.02,0.03,287.0,13.0,-13.0,8.0,-8.0
0.035,0.03,0.04,178.0,11.0,-11.0,6.0,-6.0
0.045,0.04,0.05,159.0,10.0,-10.0,5.0,-5.0
0.055,0.05,0.06,116.0,8.0,-8.0,4.0,-4.0
0.065,0.06,0.07,79.0,7.0,-7.0,3.0,-3.0
0.07500000000000001,0.07,0.08,61.0,6.0,-6.0,2.0,-2.0
0.08499999999999999,0.08,0.09,59.0,6.0,-6.0,2.0,-2.0
0.095,0.09,0.1,53.0,5.0,-5.0,2.0,-2.0
0.11,0.1,0.12,41.9,3.2,-3.2,1.5,-1.5
0.13,0.12,0.14,27.6,2.6,-2.6,1.2,-1.2
0.15000000000000002,0.14,0.16,23.8,2.4,-2.4,1.0,-1.0
0.16999999999999998,0.16,0.18,17.6,2.0,-2.0,0.8,-0.8
0.19,0.18,0.2,16.5,1.9,-1.9,0.7,-0.7
0.225,0.2,0.25,9.8,0.9,-0.9,0.5,-0.5
0.275,0.25,0.3,5.5,0.7,-0.7,0.3,-0.3
0.35,0.3,0.4,2.49,0.31,-0.31,0.19,-0.19
0.45,0.4,0.5,0.95,0.19,-0.19,0.26,-0.26
0.55,0.5,0.6,0.36,0.11,-0.11,0.1,-0.1
0.7,0.6,0.8,0.014,0.041,-0.041,0.015,-0.015
0.9,0.8,1.0,0.003,0.046,-0.046,0.012,-0.012

