#: table_doi: 10.17182/hepdata.49410.v1/t3
#: name: Table 3
#: description: Fragmentation function for 'b-quark' events.

#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Exclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/SIG(C=HADRON))*D(SIG(C=B-EVENTS))/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,416.0,1.0,-1.0,8.0,-8.0
0.015,0.01,0.02,447.0,1.0,-1.0,8.0,-8.0
0.025,0.02,0.03,300.0,1.0,-1.0,7.0,-7.0
0.035,0.03,0.04,215.0,1.0,-1.0,5.0,-5.0
0.045,0.04,0.05,160.7,0.6,-0.6,4.1,-4.1
0.055,0.05,0.06,126.1,0.5,-0.5,3.4,-3.4
0.065,0.06,0.07,101.4,0.4,-0.4,2.7,-2.7
0.07500000000000001,0.07,0.08,81.9,0.4,-0.4,2.2,-2.2
0.08499999999999999,0.08,0.09,68.9,0.4,-0.4,1.9,-1.9
0.095,0.09,0.1,57.1,0.3,-0.3,1.6,-1.6
0.11,0.1,0.12,44.0,0.2,-0.2,1.3,-1.3
0.13,0.12,0.14,30.9,0.2,-0.2,1.0,-1.0
0.15000000000000002,0.14,0.16,22.5,0.1,-0.1,0.8,-0.8
0.16999999999999998,0.16,0.18,16.8,0.1,-0.1,0.6,-0.6
0.19,0.18,0.2,12.3,0.1,-0.1,0.5,-0.5
0.225,0.2,0.25,7.82,0.05,-0.05,0.4,-0.4
0.275,0.25,0.3,4.16,0.04,-0.04,0.29,-0.29
0.35,0.3,0.4,1.84,0.02,-0.02,0.18,-0.18
0.45,0.4,0.5,0.65,0.01,-0.01,0.1,-0.1
0.55,0.5,0.6,0.21,0.006,-0.006,0.052,-0.052
0.7,0.6,0.8,0.038,0.001,-0.001,0.02,-0.02
0.9,0.8,1.0,0.004,0.0005,-0.0005,0.0035,-0.0035

