#: table_doi: 10.17182/hepdata.49410.v1/t4
#: name: Table 4
#: description: The inclusive fragmentation function.

#: data_file: Table4.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Exclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/SIG(Q=HADRON))*D(SIG)/DX,stat +,stat -,sys +,sys -
0.005,0.0,0.01,401.2,0.3,-0.3,7.4,-7.4
0.015,0.01,0.02,401.6,0.2,-0.2,4.9,-4.9
0.025,0.02,0.03,262.8,0.2,-0.2,3.9,-3.9
0.035,0.03,0.04,185.5,0.2,-0.2,2.9,-2.9
0.045,0.04,0.05,137.5,0.1,-0.1,2.1,-2.1
0.055,0.05,0.06,106.2,0.1,-0.1,1.6,-1.6
0.065,0.06,0.07,84.5,0.1,-0.1,1.2,-1.2
0.07500000000000001,0.07,0.08,68.3,0.1,-0.1,0.9,-0.9
0.08499999999999999,0.08,0.09,57.9,0.1,-0.1,0.7,-0.7
0.095,0.09,0.1,47.9,0.1,-0.1,0.6,-0.6
0.11,0.1,0.12,38.19,0.05,-0.05,0.42,-0.42
0.13,0.12,0.14,28.3,0.04,-0.04,0.28,-0.28
0.15000000000000002,0.14,0.16,21.88,0.03,-0.03,0.19,-0.19
0.16999999999999998,0.16,0.18,17.1,0.03,-0.03,0.16,-0.16
0.19,0.18,0.2,13.54,0.03,-0.03,0.14,-0.14
0.225,0.2,0.25,9.37,0.01,-0.01,0.11,-0.11
0.275,0.25,0.3,5.66,0.01,-0.01,0.08,-0.08
0.35,0.3,0.4,2.89,0.01,-0.01,0.05,-0.05
0.45,0.4,0.5,1.208,0.004,-0.004,0.036,-0.036
0.55,0.5,0.6,0.506,0.002,-0.002,0.018,-0.018
0.7,0.6,0.8,0.153,0.001,-0.001,0.012,-0.012
0.9,0.8,1.0,0.0199,0.0003,-0.0003,0.0044,-0.0044

