#: table_doi: 10.17182/hepdata.22177.v1/t1,,,,,,,,,
#: name: Table 1,,,,,,,,,
#: description: Production rates of all stable charged particles. The statistical and systematic errors are shown separately for the momentum distribution. They are combined in quadrature for the other two distributions. The first DSYS error is due tothe uncertainty in the track finding efficiency and the second DSYS error is th e rest of the systematic error.,,,,,,,,,
,,,,,,,,,
#: data_file: Table1.yaml,,,,,,,,,
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0,,,,,,,,,
#: keyword observables: DN/DP | DN/DX,,,,,,,,,
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering,,,,,,,,,
#: keyword cmenergies: 91.28,,,,,,,,,
#: RE(Q=CHGD),,,E+ E- --> CHARGED X,,,,,,
#: RE(Q=Z0),,,E+ E- --> Z0 < HADRONS >,,,,,,
#: SQRT(S) [GeV],,,91.28,,,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(Q=Z0))*D(N(Q=CHGD))/DP,stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
0.3,0.25,0.35,11.166,0.022,-0.022,0.115,-0.115,0.173,-0.173
0.4,0.35,0.45,11.271,0.022,-0.022,0.116,-0.116,0.128,-0.128
0.499,0.45,0.55,10.646,0.022,-0.022,0.109,-0.109,0.096,-0.096
0.599,0.55,0.65,9.724,0.021,-0.021,0.099,-0.099,0.073,-0.073
0.699,0.65,0.75,8.744,0.02,-0.02,0.089,-0.089,0.057,-0.057
0.87,0.75,1,7.364,0.011,-0.011,0.075,-0.075,0.04,-0.04
1.121,1,1.25,5.86,0.01,-0.01,0.059,-0.059,0.024,-0.024
1.371,1.25,1.5,4.775,0.009,-0.009,0.048,-0.048,0.015,-0.015
1.622,1.5,1.75,3.962,0.008,-0.008,0.04,-0.04,0.011,-0.011
1.872,1.75,2,3.36,0.008,-0.008,0.034,-0.034,0.009,-0.009
2.122,2,2.25,2.865,0.007,-0.007,0.029,-0.029,0.007,-0.007
2.375,2.25,2.5,2.488,0.007,-0.007,0.025,-0.025,0.005,-0.005
2.625,2.5,2.75,2.173,0.006,-0.006,0.022,-0.022,0.004,-0.004
2.875,2.75,3,1.92,0.006,-0.006,0.019,-0.019,0.004,-0.004
3.125,3,3.25,1.701,0.005,-0.005,0.017,-0.017,0.003,-0.003
3.375,3.25,3.5,1.53,0.005,-0.005,0.015,-0.015,0.003,-0.003
3.625,3.5,3.75,1.378,0.005,-0.005,0.014,-0.014,0.002,-0.002
3.875,3.75,4,1.244,0.005,-0.005,0.013,-0.013,0.002,-0.002
4.244,4,4.5,1.072,0.003,-0.003,0.011,-0.011,0.001,-0.001
4.744,4.5,5,0.894,0.003,-0.003,0.009,-0.009,0.001,-0.001
5.244,5,5.5,0.754,0.003,-0.003,0.008,-0.008,0.001,-0.001
5.975,5.5,6.5,0.6,0.002,-0.002,0.006,-0.006,0.001,-0.001
6.977,6.5,7.5,0.4502,0.0014,-0.0014,0.0049,-0.0049,0.0005,-0.0005
7.98,7.5,8.5,0.3429,0.0012,-0.0012,0.0039,-0.0039,0.0003,-0.0003
8.982,8.5,9.5,0.2687,0.0011,-0.0011,0.0032,-0.0032,0.0003,-0.0003
9.98,9.5,10.5,0.212,0.001,-0.001,0.0026,-0.0026,0.0002,-0.0002
10.99,10.5,11.5,0.17,0.0009,-0.0009,0.0022,-0.0022,0.0002,-0.0002
11.99,11.5,12.5,0.1351,0.0008,-0.0008,0.0018,-0.0018,0.0001,-0.0001
12.99,12.5,13.5,0.1103,0.0007,-0.0007,0.0016,-0.0016,0.0001,-0.0001
13.99,13.5,14.5,0.0889,0.0006,-0.0006,0.0013,-0.0013,0.0001,-0.0001
15.22,14.5,16,0.0688,0.0005,-0.0005,0.0011,-0.0011,0.0001,-0.0001
16.72,16,17.5,0.0513,0.0004,-0.0004,0.0009,-0.0009,0.0001,-0.0001
18.23,17.5,19,0.0383,0.0003,-0.0003,0.0007,-0.0007,0.0001,-0.0001
19.72,19,20.5,0.0291,0.0003,-0.0003,0.0006,-0.0006,0.0001,-0.0001
21.21,20.5,22,0.0221,0.0003,-0.0003,0.0005,-0.0005,0.0001,-0.0001
22.96,22,24,0.0159,0.0002,-0.0002,0.0004,-0.0004,0.0001,-0.0001
24.94,24,26,0.0105,0.0001,-0.0001,0.0003,-0.0003,0.0001,-0.0001
27.74,26,30,0.0063,0.0001,-0.0001,0.0002,-0.0002,0.0001,-0.0001
32.14,30,35,0.0025,0,0,0.0001,-0.0001,0.0001,-0.0001
38.23,35,45,0.0005,0,0,0,0,0.0001,-0.0001
