#: table_doi: 10.17182/hepdata.22177.v1/t8
#: name: Table 8
#: description: Differential production rates of stable charged particles per Z0 decay intolight (u,d,s) and c and b quarks. The errors are combined statistical and syste matic.

#: data_file: Table8.yaml
#: keyword reactions: E+ E- --> CHARGED X | E+ E- --> Z0
#: keyword observables: DN/DX
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.28
#: RE(Q=CHGD),E+ E- --> CHARGED X
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZL))*D(N(Q=CHGD))/DX,error +,error -
0.0066,507.8,11.9,-11.9
0.0088,505.2,9.2,-9.2
0.0109,465.3,7.5,-7.5
0.0131,421.9,6.3,-6.3
0.0153,371.7,5.8,-5.8
0.0191,315.5,4.2,-4.2
0.0246,250.5,3.2,-3.2
0.0301,200.3,2.3,-2.3
0.0356,167.3,2.0,-2.0
0.0411,140.4,1.6,-1.6
0.0465,121.2,1.3,-1.3
0.0521,105.5,1.1,-1.1
0.0576,91.2,1.0,-1.0
0.063,81.29,0.89,-0.89
0.0685,72.69,0.81,-0.81
0.074,65.92,0.76,-0.76
0.0795,58.06,0.7,-0.7
0.085,53.26,0.66,-0.66
0.0931,45.37,0.48,-0.48
0.104,38.55,0.43,-0.43
0.115,32.84,0.41,-0.41
0.131,26.05,0.28,-0.28
0.153,19.79,0.29,-0.29
0.175,15.75,0.35,-0.35
0.197,12.16,0.17,-0.17
0.2189,10.27,0.14,-0.14
0.241,8.14,0.11,-0.11
0.2629,6.62,0.1,-0.1
0.2849,5.565,0.087,-0.087
0.3068,4.428,0.076,-0.076
0.3338,3.588,0.057,-0.057
0.3666,2.706,0.049,-0.049
0.3997,2.062,0.042,-0.042
0.4325,1.631,0.037,-0.037
0.4651,1.193,0.034,-0.034
0.5035,0.912,0.026,-0.026
0.547,0.632,0.023,-0.023
0.6083,0.398,0.015,-0.015
0.7047,0.172,0.011,-0.011
0.8383,0.027,0.005,-0.005

#: RE(Q=CHGD),E+ E- --> CHARGED X
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZC))*D(N(Q=CHGD))/DX,error +,error -
0.0066,468.7,25.3,-25.3
0.0088,485.4,22.6,-22.6
0.0109,507.2,20.2,-20.2
0.0131,464.0,17.6,-17.6
0.0153,422.9,16.9,-16.9
0.0191,349.1,12.7,-12.7
0.0246,274.1,9.5,-9.5
0.0301,231.5,7.3,-7.3
0.0356,187.5,6.9,-6.9
0.0411,162.3,5.2,-5.2
0.0465,136.6,4.2,-4.2
0.0521,117.3,3.6,-3.6
0.0576,99.1,3.0,-3.0
0.063,89.21,2.65,-2.65
0.0685,78.25,2.42,-2.42
0.074,69.26,2.23,-2.23
0.0795,62.25,2.06,-2.06
0.085,55.28,1.93,-1.93
0.0931,49.14,1.42,-1.42
0.104,40.11,1.29,-1.29
0.115,35.64,1.22,-1.22
0.131,28.94,0.83,-0.83
0.153,21.99,0.86,-0.86
0.175,16.51,1.03,-1.03
0.197,12.69,0.5,-0.5
0.2189,10.41,0.4,-0.4
0.241,7.86,0.32,-0.32
0.2629,6.37,0.28,-0.28
0.2849,5.06,0.241,-0.241
0.3068,4.08,0.21,-0.21
0.3338,3.123,0.156,-0.156
0.3666,2.141,0.126,-0.126
0.3997,1.472,0.106,-0.106
0.4325,0.952,0.09,-0.09
0.4651,0.935,0.085,-0.085
0.5035,0.485,0.061,-0.061
0.547,0.372,0.055,-0.055
0.6083,0.14,0.031,-0.031
0.7047,0.027,0.016,-0.016
0.8383,0.011,0.01,-0.01

#: RE(Q=CHGD),E+ E- --> CHARGED X
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZB))*D(N(Q=CHGD))/DX,error +,error -
0.0066,546.1,14.2,-14.2
0.0088,558.5,10.3,-10.3
0.0109,531.9,8.0,-8.0
0.0131,490.8,6.3,-6.3
0.0153,436.5,6.7,-6.7
0.0191,382.8,4.4,-4.4
0.0246,308.6,3.4,-3.4
0.0301,254.8,2.6,-2.6
0.0356,213.2,2.1,-2.1
0.0411,182.1,1.9,-1.9
0.0465,154.5,1.7,-1.7
0.0521,134.3,1.6,-1.6
0.0576,118.6,1.4,-1.4
0.063,102.4,1.3,-1.3
0.0685,91.92,1.22,-1.22
0.074,83.63,1.14,-1.14
0.0795,75.06,1.1,-1.1
0.085,66.58,1.04,-1.04
0.0931,57.31,0.74,-0.74
0.104,47.8,0.71,-0.71
0.115,39.19,0.67,-0.67
0.131,29.54,0.48,-0.48
0.153,20.69,0.48,-0.48
0.175,15.36,0.55,-0.55
0.197,10.65,0.26,-0.26
0.2189,8.06,0.2,-0.2
0.241,6.28,0.16,-0.16
0.2629,4.69,0.13,-0.13
0.2849,3.49,0.11,-0.11
0.3068,2.935,0.098,-0.098
0.3338,2.041,0.068,-0.068
0.3666,1.534,0.058,-0.058
