#: table_doi: 10.17182/hepdata.45170.v1/t2
#: name: Table 2
#: description: Normalised scaled momentum distributions. Data have combined statistical and systematic errors. These data superceded previous TASSO data (ZP C22 (84) 307 (<a href=http://durpdg.dur.ac.uk/scripts/reacsearch.csh/TESTREAC/red+1279> RED = 1279 </a>)).

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> CHGD-HADRONS
#: keyword observables: DSIG/DX
#: keyword phrases: Exclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 14.0-44.0
#: RE,,,E+ E- --> CHGD-HADRONS
#: SQRT(S) [GeV],,,14.0,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/SIG) * D(SIG)/DX,error +,error -
0.025,0.02,0.03,47.2,1.7,-1.7
0.035,0.03,0.04,56.5,3.6,-3.6
0.045,0.04,0.05,66.3,2.1,-2.1
0.055,0.05,0.06,62.9,2.7,-2.7
0.07,0.06,0.08,58.0,2.3,-2.3
0.09,0.08,0.1,44.9,1.7,-1.7
0.11,0.1,0.12,36.1,1.3,-1.3
0.13,0.12,0.14,29.4,1.0,-1.0
0.15000000000000002,0.14,0.16,22.05,0.96,-0.96
0.16999999999999998,0.16,0.18,18.9,1.7,-1.7
0.19,0.18,0.2,16.01,0.95,-0.95
0.225,0.2,0.25,11.58,0.42,-0.42
0.275,0.25,0.3,7.44,0.48,-0.48
0.32499999999999996,0.3,0.35,5.28,0.3,-0.3
0.375,0.35,0.4,3.15,0.35,-0.35
0.45,0.4,0.5,1.75,0.11,-0.11
0.55,0.5,0.6,0.95,0.13,-0.13
0.6499999999999999,0.6,0.7,0.342,0.056,-0.056
0.75,0.7,0.8,0.181,0.041,-0.041
0.9,0.8,1.0,0.058,0.017,-0.017
0.5,0.0,1.0,0.1302,0.0023,-0.0023

#: RE,,,E+ E- --> CHGD-HADRONS
#: SQRT(S) [GeV],,,22.0,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/SIG) * D(SIG)/DX,error +,error -
0.025,0.02,0.03,94.0,3.9,-3.9
0.035,0.03,0.04,102.2,3.3,-3.3
0.045,0.04,0.05,90.7,3.9,-3.9
0.055,0.05,0.06,85.9,3.6,-3.6
0.07,0.06,0.08,65.7,2.0,-2.0
0.09,0.08,0.1,50.3,2.1,-2.1
0.11,0.1,0.12,35.4,1.5,-1.5
0.13,0.12,0.14,27.0,1.3,-1.3
0.15000000000000002,0.14,0.16,21.8,1.3,-1.3
0.16999999999999998,0.16,0.18,17.1,1.2,-1.2
0.19,0.18,0.2,15.16,0.95,-0.95
0.225,0.2,0.25,10.78,0.47,-0.47
0.275,0.25,0.3,7.05,0.38,-0.38
0.32499999999999996,0.3,0.35,4.65,0.38,-0.38
0.375,0.35,0.4,3.13,0.32,-0.32
0.45,0.4,0.5,1.76,0.15,-0.15
0.55,0.5,0.6,0.82,0.13,-0.13
0.6499999999999999,0.6,0.7,0.41,0.11,-0.11
0.75,0.7,0.8,0.193,0.05,-0.05
0.9,0.8,1.0,0.056,0.025,-0.025
0.5,0.0,1.0,0.1102,0.002,-0.002

#: RE,,,E+ E- --> CHGD-HADRONS
#: SQRT(S) [GeV],,,35.0,,
