#: table_doi: 10.17182/hepdata.62088.v1/t1
#: name: Table 1
#: description: Differential cross section for prompt PI+-, K+- and PBAR/P production.

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> PI+ X | E+ E- --> PI- X | E+ E- --> K+ X | E+ E- --> K+ X | E+ E- --> PBAR X | E+ E- --> P X
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 10.54
#: RE,,,E+ E- --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,10.54
"P(P=3,RF=CM) [GEV]","P(P=3,RF=CM) [GEV] LOW","P(P=3,RF=CM) [GEV] HIGH","(1/Nevt)*D(N)/DP(P=3,RF=CM)",stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,8.01,0.02,-0.02,0.22,-0.22,0.98%,-0.98%
0.275,0.25,0.3,8.25,0.01,-0.01,0.21,-0.21,0.98%,-0.98%
0.32499999999999996,0.3,0.35,8.04,0.01,-0.01,0.17,-0.17,0.98%,-0.98%
0.375,0.35,0.4,7.52,0.01,-0.01,0.14,-0.14,0.98%,-0.98%
0.42500000000000004,0.4,0.45,6.93,0.01,-0.01,0.11,-0.11,0.98%,-0.98%
0.475,0.45,0.5,6.36,0.01,-0.01,0.1,-0.1,0.98%,-0.98%
0.525,0.5,0.55,5.78,0.01,-0.01,0.08,-0.08,0.98%,-0.98%
0.575,0.55,0.6,5.21,0.01,-0.01,0.07,-0.07,0.98%,-0.98%
0.625,0.6,0.65,4.69,0.01,-0.01,0.06,-0.06,0.98%,-0.98%
0.675,0.65,0.7,4.21,0.01,-0.01,0.05,-0.05,0.98%,-0.98%
0.725,0.7,0.75,3.781,0.005,-0.005,0.048,-0.048,0.98%,-0.98%
0.775,0.75,0.8,3.402,0.004,-0.004,0.043,-0.043,0.98%,-0.98%
0.825,0.8,0.85,3.065,0.004,-0.004,0.039,-0.039,0.98%,-0.98%
0.875,0.85,0.9,2.765,0.004,-0.004,0.035,-0.035,0.98%,-0.98%
0.925,0.9,0.95,2.495,0.003,-0.003,0.032,-0.032,0.98%,-0.98%
0.975,0.95,1.0,2.258,0.003,-0.003,0.03,-0.03,0.98%,-0.98%
1.05,1.0,1.1,1.948,0.002,-0.002,0.027,-0.027,0.98%,-0.98%
1.15,1.1,1.2,1.603,0.002,-0.002,0.023,-0.023,0.98%,-0.98%
1.25,1.2,1.3,1.332,0.002,-0.002,0.02,-0.02,0.98%,-0.98%
1.35,1.3,1.4,1.106,0.002,-0.002,0.018,-0.018,0.98%,-0.98%
1.45,1.4,1.5,0.926,0.002,-0.002,0.016,-0.016,0.98%,-0.98%
1.55,1.5,1.6,0.78,0.002,-0.002,0.014,-0.014,0.98%,-0.98%
1.65,1.6,1.7,0.659,0.001,-0.001,0.013,-0.013,0.98%,-0.98%
1.75,1.7,1.8,0.559,0.001,-0.001,0.012,-0.012,0.98%,-0.98%
1.85,1.8,1.9,0.475,0.001,-0.001,0.01,-0.01,0.98%,-0.98%
1.95,1.9,2.0,0.404,0.001,-0.001,0.009,-0.009,0.98%,-0.98%
2.05,2.0,2.1,0.343,0.001,-0.001,0.008,-0.008,0.98%,-0.98%
2.1500000000000004,2.1,2.2,0.294,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
2.25,2.2,2.3,0.251,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
2.3499999999999996,2.3,2.4,0.216,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
2.45,2.4,2.5,0.186,0.001,-0.001,0.005,-0.005,0.98%,-0.98%
2.55,2.5,2.6,0.161,0.0006,-0.0006,0.0048,-0.0048,0.98%,-0.98%
2.6500000000000004,2.6,2.7,0.1394,0.0005,-0.0005,0.0043,-0.0043,0.98%,-0.98%
2.75,2.7,2.8,0.1213,0.0005,-0.0005,0.0038,-0.0038,0.98%,-0.98%
2.8499999999999996,2.8,2.9,0.1048,0.0005,-0.0005,0.0034,-0.0034,0.98%,-0.98%
2.95,2.9,3.0,0.091,0.0004,-0.0004,0.003,-0.003,0.98%,-0.98%
3.125,3.0,3.25,0.0706,0.0004,-0.0004,0.0024,-0.0024,0.98%,-0.98%
3.375,3.25,3.5,0.0497,0.0003,-0.0003,0.0018,-0.0018,0.98%,-0.98%
3.625,3.5,3.75,0.035,0.0003,-0.0003,0.0014,-0.0014,0.98%,-0.98%
3.875,3.75,4.0,0.0246,0.0003,-0.0003,0.001,-0.001,0.98%,-0.98%
4.125,4.0,4.25,0.0167,0.0002,-0.0002,0.0008,-0.0008,0.98%,-0.98%
4.375,4.25,4.5,0.0107,0.0002,-0.0002,0.0005,-0.0005,0.98%,-0.98%
4.625,4.5,4.75,0.00681,0.00017,-0.00017,0.00036,-0.00036,0.98%,-0.98%
4.875,4.75,5.0,0.00418,0.00015,-0.00015,0.00024,-0.00024,0.98%,-0.98%
5.135,5.0,5.27,0.00153,0.0001,-0.0001,0.00011,-0.00011,0.98%,-0.98%

#: RE,,,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],,,10.54
"P(P=3,RF=CM) [GEV]","P(P=3,RF=CM) [GEV] LOW","P(P=3,RF=CM) [GEV] HIGH","(1/Nevt)*D(N)/DP(P=3,RF=CM)",stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,0.291,0.003,-0.003,0.007,-0.007,0.98%,-0.98%
0.275,0.25,0.3,0.382,0.003,-0.003,0.007,-0.007,0.98%,-0.98%
0.32499999999999996,0.3,0.35,0.468,0.003,-0.003,0.008,-0.008,0.98%,-0.98%
0.375,0.35,0.4,0.538,0.003,-0.003,0.009,-0.009,0.98%,-0.98%
0.42500000000000004,0.4,0.45,0.591,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
0.475,0.45,0.5,0.633,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
0.525,0.5,0.55,0.669,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
0.575,0.55,0.6,0.682,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
0.625,0.6,0.65,0.689,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
0.675,0.65,0.7,0.687,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
