#: table_doi: 10.17182/hepdata.62088.v1/t2
#: name: Table 2
#: description: Differential cross section for conventional PI+-, K+- and PBAR/P  production.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> PI+ X | E+ E- --> PI- X | E+ E- --> K+ X | E+ E- --> K+ X | E+ E- --> PBAR X | E+ E- --> P X
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 10.54
#: RE,,,E+ E- --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,10.54
"P(P=3,RF=CM) [GEV]","P(P=3,RF=CM) [GEV] LOW","P(P=3,RF=CM) [GEV] HIGH","(1/Nevt)*D(N)/DP(P=3,RF=CM)",stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,9.25,0.02,-0.02,0.24,-0.24,0.98%,-0.98%
0.275,0.25,0.3,9.45,0.01,-0.01,0.23,-0.23,0.98%,-0.98%
0.32499999999999996,0.3,0.35,9.14,0.01,-0.01,0.2,-0.2,0.98%,-0.98%
0.375,0.35,0.4,8.51,0.01,-0.01,0.16,-0.16,0.98%,-0.98%
0.42500000000000004,0.4,0.45,7.82,0.01,-0.01,0.14,-0.14,0.98%,-0.98%
0.475,0.45,0.5,7.15,0.01,-0.01,0.11,-0.11,0.98%,-0.98%
0.525,0.5,0.55,6.47,0.01,-0.01,0.1,-0.1,0.98%,-0.98%
0.575,0.55,0.6,5.83,0.01,-0.01,0.08,-0.08,0.98%,-0.98%
0.625,0.6,0.65,5.23,0.01,-0.01,0.07,-0.07,0.98%,-0.98%
0.675,0.65,0.7,4.69,0.01,-0.01,0.06,-0.06,0.98%,-0.98%
0.725,0.7,0.75,4.21,0.01,-0.01,0.05,-0.05,0.98%,-0.98%
0.775,0.75,0.8,3.778,0.004,-0.004,0.049,-0.049,0.98%,-0.98%
0.825,0.8,0.85,3.401,0.004,-0.004,0.044,-0.044,0.98%,-0.98%
0.875,0.85,0.9,3.067,0.004,-0.004,0.041,-0.041,0.98%,-0.98%
0.925,0.9,0.95,2.768,0.003,-0.003,0.038,-0.038,0.98%,-0.98%
0.975,0.95,1.0,2.504,0.003,-0.003,0.035,-0.035,0.98%,-0.98%
1.05,1.0,1.1,2.159,0.003,-0.003,0.031,-0.031,0.98%,-0.98%
1.15,1.1,1.2,1.775,0.002,-0.002,0.027,-0.027,0.98%,-0.98%
1.25,1.2,1.3,1.472,0.002,-0.002,0.024,-0.024,0.98%,-0.98%
1.35,1.3,1.4,1.221,0.002,-0.002,0.021,-0.021,0.98%,-0.98%
1.45,1.4,1.5,1.02,0.002,-0.002,0.018,-0.018,0.98%,-0.98%
1.55,1.5,1.6,0.857,0.002,-0.002,0.016,-0.016,0.98%,-0.98%
1.65,1.6,1.7,0.723,0.001,-0.001,0.015,-0.015,0.98%,-0.98%
1.75,1.7,1.8,0.611,0.001,-0.001,0.013,-0.013,0.98%,-0.98%
1.85,1.8,1.9,0.518,0.001,-0.001,0.012,-0.012,0.98%,-0.98%
1.95,1.9,2.0,0.439,0.001,-0.001,0.011,-0.011,0.98%,-0.98%
2.05,2.0,2.1,0.372,0.001,-0.001,0.009,-0.009,0.98%,-0.98%
2.1500000000000004,2.1,2.2,0.317,0.001,-0.001,0.008,-0.008,0.98%,-0.98%
2.25,2.2,2.3,0.27,0.001,-0.001,0.008,-0.008,0.98%,-0.98%
2.3499999999999996,2.3,2.4,0.231,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
2.45,2.4,2.5,0.198,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
2.55,2.5,2.6,0.17,0.001,-0.001,0.005,-0.005,0.98%,-0.98%
2.6500000000000004,2.6,2.7,0.1471,0.0006,-0.0006,0.0048,-0.0048,0.98%,-0.98%
2.75,2.7,2.8,0.1276,0.0005,-0.0005,0.0042,-0.0042,0.98%,-0.98%
2.8499999999999996,2.8,2.9,0.1099,0.0005,-0.0005,0.0037,-0.0037,0.98%,-0.98%
