#: table_doi: 10.17182/hepdata.62276.v1/t1
#: name: Table 1
#: description: Measured charged-integrated differential cross sections  for charged pion and kaon production as a function of the   fractional hadron energy Z (=2*Eh/sqrt(s)).

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> PI+ X | E+ E- --> PI- X | E+ E- --> K+ X | E+ E- --> K- X
#: keyword observables: DSIG/DZ
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 10.52
#: RE,,,E+ E- --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,10.52
Z,Z LOW,Z HIGH,D(SIG)/DZ [FB],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.20500000000000002,0.2,0.21,20377900.0,7000.0,-7000.0,384600.0,-384400.0,1.4%,-1.4%
0.215,0.21,0.22,18324600.0,6600.0,-6600.0,356200.0,-356000.0,1.4%,-1.4%
0.225,0.22,0.23,16509300.0,6300.0,-6300.0,331800.0,-331700.0,1.4%,-1.4%
0.235,0.23,0.24,14878900.0,5900.0,-5900.0,296400.0,-296300.0,1.4%,-1.4%
0.245,0.24,0.25,13443500.0,5600.0,-5600.0,276900.0,-276800.0,1.4%,-1.4%
0.255,0.25,0.26,12193600.0,5400.0,-5400.0,257000.0,-256900.0,1.4%,-1.4%
0.265,0.26,0.27,11080800.0,5100.0,-5100.0,242800.0,-242700.0,1.4%,-1.4%
0.275,0.27,0.28,10083500.0,4900.0,-4900.0,222900.0,-222800.0,1.4%,-1.4%
0.28500000000000003,0.28,0.29,9178800.0,4600.0,-4600.0,207100.0,-207000.0,1.4%,-1.4%
0.295,0.29,0.3,8366100.0,4400.0,-4400.0,190600.0,-190600.0,1.4%,-1.4%
0.305,0.3,0.31,7639600.0,4200.0,-4200.0,187600.0,-187600.0,1.4%,-1.4%
0.315,0.31,0.32,6989300.0,4000.0,-4000.0,177400.0,-177400.0,1.4%,-1.4%
0.325,0.32,0.33,6402000.0,3800.0,-3800.0,165200.0,-165100.0,1.4%,-1.4%
0.335,0.33,0.34,5860500.0,3700.0,-3700.0,155300.0,-155300.0,1.4%,-1.4%
0.345,0.34,0.35,5371500.0,3500.0,-3500.0,149300.0,-149200.0,1.4%,-1.4%
0.355,0.35,0.36,4924500.0,3400.0,-3400.0,134000.0,-133900.0,1.4%,-1.4%
0.365,0.36,0.37,4522700.0,3200.0,-3200.0,124200.0,-124100.0,1.4%,-1.4%
0.375,0.37,0.38,4151300.0,3100.0,-3100.0,117700.0,-117700.0,1.4%,-1.4%
0.385,0.38,0.39,3813500.0,2900.0,-2900.0,108700.0,-108600.0,1.4%,-1.4%
0.395,0.39,0.4,3504300.0,2800.0,-2800.0,104200.0,-104100.0,1.4%,-1.4%
0.405,0.4,0.41,3224600.0,2700.0,-2700.0,95600.0,-95500.0,1.4%,-1.4%
0.415,0.41,0.42,2971500.0,2600.0,-2600.0,89500.0,-89500.0,1.4%,-1.4%
0.425,0.42,0.43,2738300.0,2500.0,-2500.0,84000.0,-83900.0,1.4%,-1.4%
0.435,0.43,0.44,2529600.0,2400.0,-2400.0,79400.0,-79400.0,1.4%,-1.4%
0.445,0.44,0.45,2337800.0,2300.0,-2300.0,76500.0,-76500.0,1.4%,-1.4%
0.455,0.45,0.46,2157800.0,2200.0,-2200.0,68300.0,-68300.0,1.4%,-1.4%
0.46499999999999997,0.46,0.47,1997000.0,2100.0,-2100.0,65500.0,-65500.0,1.4%,-1.4%
