pt min,pt_max,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst
,,2,,,2.2,,,2.396,,,2.6444,,,2.9,,,3.05,,,3.5,,,3.671,,
0.2,0.25,0.394,0.006,0.033,0.298,0.005,0.034,0.298,0.002,0.035,0.297,0.004,0.04,0.285,0.002,0.041,0.268,0.006,0.041,0.262,0.013,0.068,0.256,0.012,0.055
0.25,0.3,0.455,0.006,0.023,0.332,0.005,0.021,0.329,0.002,0.018,0.336,0.004,0.021,0.319,0.002,0.02,0.317,0.006,0.032,0.311,0.014,0.066,0.32,0.013,0.052
0.3,0.35,0.481,0.006,0.023,0.34,0.005,0.013,0.349,0.002,0.011,0.364,0.004,0.012,0.34,0.002,0.012,0.359,0.006,0.033,0.368,0.014,0.08,0.378,0.013,0.059
0.35,0.4,0.478,0.006,0.023,0.329,0.005,0.018,0.341,0.002,0.008,0.356,0.003,0.012,0.346,0.002,0.016,0.359,0.006,0.032,0.355,0.013,0.075,0.378,0.013,0.056
0.4,0.45,0.453,0.006,0.025,0.323,0.004,0.009,0.319,0.002,0.008,0.354,0.003,0.014,0.338,0.002,0.025,0.351,0.006,0.037,0.358,0.013,0.064,0.344,0.012,0.048
0.45,0.5,0.354,0.005,0.013,0.341,0.005,0.006,0.287,0.002,0.009,0.332,0.003,0.022,0.327,0.002,0.026,0.325,0.006,0.042,0.357,0.013,0.055,0.355,0.012,0.043
0.5,0.55,0.266,0.005,0.009,0.32,0.004,0.007,0.26,0.002,0.007,0.302,0.003,0.024,0.309,0.002,0.028,0.305,0.005,0.034,0.354,0.013,0.049,0.338,0.012,0.03
0.55,0.6,0.188,0.004,0.005,0.267,0.004,0.005,0.239,0.002,0.013,0.269,0.003,0.02,0.284,0.002,0.024,0.285,0.005,0.036,0.312,0.012,0.033,0.322,0.012,0.024
0.6,0.65,0.112,0.004,0.023,0.216,0.004,0.011,0.245,0.002,0.004,0.225,0.003,0.019,0.255,0.002,0.018,0.257,0.005,0.033,0.284,0.012,0.027,0.28,0.011,0.013
0.65,0.7,0.079,0.004,0.015,0.137,0.003,0.012,0.246,0.002,0.004,0.192,0.003,0.016,0.232,0.002,0.016,0.228,0.005,0.032,0.274,0.012,0.023,0.267,0.011,0.009
0.7,0.75,0.045,0.005,0.01,0.092,0.003,0.007,0.206,0.002,0.005,0.164,0.003,0.014,0.202,0.002,0.017,0.202,0.005,0.024,0.241,0.011,0.013,0.228,0.01,0.004
0.75,0.8,0.011,0.005,0.004,0.044,0.003,0.003,0.173,0.002,0.004,0.154,0.003,0.013,0.169,0.002,0.016,0.181,0.005,0.024,0.225,0.011,0.01,0.211,0.01,0.003
0.8,0.85,0,0,0,0.037,0.004,0.009,0.091,0.002,0.004,0.151,0.003,0.012,0.14,0.002,0.012,0.155,0.005,0.02,0.189,0.01,0.005,0.178,0.01,0.01
0.85,0.9,0,0,0,0.013,0.004,0.003,0.05,0.002,0.002,0.14,0.003,0.006,0.114,0.002,0.009,0.132,0.004,0.021,0.172,0.01,0.004,0.171,0.01,0.01
0.9,0.95,0,0,0,0,0,0,0.019,0.002,0.002,0.124,0.003,0.006,0.096,0.002,0.009,0.119,0.005,0.013,0.136,0.01,0.004,0.154,0.01,0.014
0.95,1,0,0,0,0,0,0,0.016,0.002,0.003,0.08,0.003,0.007,0.09,0.002,0.007,0.093,0.004,0.014,0.104,0.009,0.006,0.133,0.01,0.012
1,1.05,0,0,0,0,0,0,0.005,0.002,0.002,0.035,0.003,0.002,0.1,0.002,0.006,0.08,0.004,0.011,0.123,0.01,0.006,0.123,0.01,0.01
1.05,1.1,0,0,0,0,0,0,0,0,0,0.011,0.002,0.002,0.091,0.002,0.004,0.066,0.004,0.008,0.097,0.01,0.006,0.092,0.009,0.012
1.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.002,0.004,0.088,0.005,0.007,0.095,0.01,0.006,0.084,0.009,0.01
1.15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.002,0.003,0.076,0.005,0.01,0.078,0.01,0.008,0.087,0.009,0.014
1.2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.001,0.001,0.047,0.004,0.012,0.07,0.009,0.008,0.072,0.009,0.01
1.25,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.002,0.003,0,0,0,0,0,0,0.069,0.008,0.012
1.3,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.008,0.009
