pt min,pt_max,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst
,,2,,,2.2,,,2.396,,,2.6444,,,2.9,,,3.05,,,3.5,,,3.671,,
0.2,0.25,0.376,0.006,0.031,0.303,0.005,0.035,0.295,0.002,0.036,0.287,0.004,0.037,0.27,0.002,0.038,0.256,0.006,0.035,0.259,0.013,0.064,0.222,0.011,0.05
0.25,0.3,0.44,0.006,0.024,0.326,0.005,0.017,0.321,0.002,0.018,0.334,0.004,0.022,0.311,0.002,0.019,0.318,0.006,0.035,0.307,0.013,0.069,0.27,0.012,0.048
0.3,0.35,0.474,0.006,0.024,0.34,0.005,0.011,0.344,0.002,0.011,0.346,0.004,0.011,0.336,0.002,0.012,0.342,0.006,0.037,0.365,0.014,0.079,0.336,0.012,0.057
0.35,0.4,0.467,0.006,0.032,0.325,0.004,0.017,0.339,0.002,0.008,0.356,0.003,0.013,0.346,0.002,0.015,0.352,0.006,0.033,0.378,0.014,0.077,0.35,0.012,0.052
0.4,0.45,0.449,0.006,0.024,0.313,0.004,0.013,0.316,0.002,0.007,0.348,0.003,0.016,0.335,0.002,0.025,0.349,0.006,0.038,0.377,0.013,0.071,0.375,0.013,0.053
0.45,0.5,0.357,0.005,0.018,0.342,0.005,0.018,0.281,0.002,0.015,0.326,0.003,0.023,0.321,0.002,0.033,0.326,0.006,0.04,0.354,0.013,0.056,0.361,0.012,0.04
0.5,0.55,0.264,0.005,0.018,0.313,0.004,0.011,0.254,0.002,0.011,0.303,0.003,0.024,0.304,0.002,0.032,0.311,0.005,0.034,0.347,0.013,0.047,0.323,0.012,0.03
0.55,0.6,0.185,0.004,0.013,0.261,0.004,0.008,0.231,0.002,0.014,0.267,0.003,0.024,0.283,0.002,0.026,0.288,0.005,0.046,0.301,0.012,0.04,0.307,0.011,0.023
0.6,0.65,0.112,0.004,0.013,0.219,0.004,0.006,0.244,0.002,0.007,0.224,0.003,0.024,0.254,0.002,0.024,0.258,0.005,0.033,0.284,0.012,0.027,0.297,0.011,0.016
0.65,0.7,0.076,0.004,0.008,0.138,0.004,0.005,0.244,0.002,0.004,0.191,0.003,0.017,0.228,0.002,0.018,0.234,0.005,0.031,0.276,0.012,0.021,0.274,0.011,0.006
0.7,0.75,0.053,0.005,0.009,0.086,0.003,0.005,0.204,0.002,0.01,0.165,0.003,0.014,0.2,0.002,0.019,0.197,0.005,0.024,0.242,0.011,0.011,0.264,0.011,0.005
0.75,0.8,0.018,0.005,0.004,0.049,0.003,0.003,0.168,0.002,0.003,0.144,0.003,0.016,0.165,0.002,0.014,0.181,0.005,0.022,0.223,0.011,0.005,0.202,0.01,0.006
0.8,0.85,0,0,0,0.032,0.004,0.006,0.091,0.002,0.005,0.15,0.003,0.01,0.137,0.002,0.011,0.163,0.005,0.024,0.181,0.01,0.004,0.199,0.01,0.009
0.85,0.9,0,0,0,0.016,0.004,0.004,0.051,0.002,0.002,0.145,0.003,0.007,0.116,0.002,0.008,0.127,0.004,0.02,0.163,0.01,0.005,0.168,0.01,0.011
0.9,0.95,0,0,0,0,0,0,0.023,0.002,0.002,0.129,0.003,0.004,0.093,0.002,0.008,0.115,0.004,0.017,0.139,0.01,0.008,0.153,0.01,0.011
0.95,1,0,0,0,0,0,0,0.019,0.002,0.003,0.082,0.003,0.004,0.087,0.001,0.006,0.093,0.004,0.014,0.118,0.01,0.005,0.144,0.01,0.009
1,1.05,0,0,0,0,0,0,0.003,0.002,0.001,0.034,0.002,0.003,0.096,0.002,0.005,0.08,0.004,0.01,0.112,0.01,0.007,0.121,0.009,0.013
1.05,1.1,0,0,0,0,0,0,0,0,0,0.013,0.002,0.002,0.087,0.002,0.004,0.073,0.004,0.01,0.093,0.01,0.008,0.111,0.009,0.014
1.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0.002,0.002,0.082,0.004,0.009,0.089,0.01,0.011,0.107,0.01,0.018
1.15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.002,0.002,0.07,0.005,0.008,0.066,0.009,0.007,0.09,0.009,0.012
1.2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.001,0.002,0.054,0.004,0.007,0.083,0.009,0.009,0.078,0.008,0.012
1.25,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.002,0.002,0,0,0,0,0,0,0.065,0.008,0.009
1.3,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.007,0.009
