#: table_doi: 10.17182/hepdata.77892.v1/t1,,,,,,,,,,,,,,
#: name: Table 1,,,,,,,,,,,,,,
#: description: Multiplicities of positively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{+}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{+}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{+}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{+}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{+}}$ =  $M_{raw}^{K^{+}}$ * $\frac{\eta^{K^{+}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{+}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data1.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d--> $\mu^{+}$ $K^{+}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d-->$\mu^{+}$ $K^{+}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{+}}$,$z^{K^{+}}$ LOW,$z^{K^{+}}$ HIGH,$M^{K^{+}}$,stat +,stat -,sys +,sys -
0.0087,0.004,0.01,0.44,0.3,0.5,1.149,0.224,0.2,0.25,0.373,0.0076,-0.0076,0.028,-0.028
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.274,0.25,0.3,0.2892,0.0064,-0.0064,0.0216,-0.0216
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.324,0.3,0.35,0.2234,0.0057,-0.0057,0.0167,-0.0167
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.374,0.35,0.4,0.1698,0.0051,-0.0051,0.0125,-0.0125
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.424,0.4,0.45,0.1277,0.0044,-0.0044,0.0096,-0.0096
0.0088,0.004,0.01,0.43,0.3,0.5,1.132,0.474,0.45,0.5,0.0973,0.004,-0.004,0.0076,-0.0076
0.009,0.004,0.01,0.41,0.3,0.5,1.105,0.524,0.5,0.55,0.0761,0.0046,-0.0046,0.0072,-0.0072
0.0093,0.004,0.01,0.39,0.3,0.5,1.076,0.574,0.55,0.6,0.0561,0.0052,-0.0052,0.0057,-0.0057
0.0095,0.004,0.01,0.37,0.3,0.5,1.048,0.624,0.6,0.65,0.0551,0.0089,-0.0089,0.0058,-0.0058
0.0098,0.004,0.01,0.35,0.3,0.5,1.023,0.675,0.65,0.7,0.0362,0.0162,-0.0162,0.0054,-0.0054
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.224,0.2,0.25,0.3805,0.0047,-0.0047,0.0316,-0.0316
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.274,0.25,0.3,0.2929,0.0043,-0.0043,0.0242,-0.0242
