#: table_doi: 10.17182/hepdata.77892.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{-}}$ =  $M_{raw}^{K^{-}}$ * $\frac{\eta^{K^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$d-->\mu^{+}$K^{-}$X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$d-->$\mu^{+}K^{-}$X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{-}}$,$z^{K^{-}}$ LOW,$z^{K^{-}}$ HIGH,$M^{K^{-}}$,stat +,stat -,sys +,sys -
0.0087,0.004,0.01,0.44,0.3,0.5,1.149,0.224,0.2,0.25,0.3352,0.0075,-0.0075,0.0251,-0.0251
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.274,0.25,0.3,0.2592,0.0064,-0.0064,0.0194,-0.0194
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.324,0.3,0.35,0.2087,0.0059,-0.0059,0.0156,-0.0156
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.374,0.35,0.4,0.1363,0.0047,-0.0047,0.0101,-0.0101
0.0088,0.004,0.01,0.44,0.3,0.5,1.138,0.424,0.4,0.45,0.1117,0.0044,-0.0044,0.0087,-0.0087
0.0088,0.004,0.01,0.43,0.3,0.5,1.132,0.474,0.45,0.5,0.0806,0.0038,-0.0038,0.0066,-0.0066
0.009,0.004,0.01,0.41,0.3,0.5,1.105,0.524,0.5,0.55,0.0571,0.0042,-0.0042,0.0062,-0.0062
0.0093,0.004,0.01,0.39,0.3,0.5,1.076,0.574,0.55,0.6,0.0501,0.0055,-0.0055,0.0057,-0.0057
0.0095,0.004,0.01,0.37,0.3,0.5,1.048,0.624,0.6,0.65,0.0365,0.0076,-0.0076,0.005,-0.005
0.0098,0.004,0.01,0.35,0.3,0.5,1.023,0.675,0.65,0.7,0.0161,0.0108,-0.0108,0.0029,-0.0029
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.223,0.2,0.25,0.358,0.0048,-0.0048,0.0297,-0.0297
0.0074,0.004,0.01,0.6,0.5,0.7,1.318,0.274,0.25,0.3,0.2656,0.0043,-0.0043,0.022,-0.022
0.0074,0.004,0.01,0.6,0.5,0.7,1.316,0.324,0.3,0.35,0.1965,0.0039,-0.0039,0.0163,-0.0163
0.0076,0.004,0.01,0.57,0.5,0.7,1.282,0.374,0.35,0.4,0.1401,0.0043,-0.0043,0.0115,-0.0115
0.0079,0.004,0.01,0.53,0.5,0.7,1.244,0.424,0.4,0.45,0.1016,0.0056,-0.0056,0.0085,-0.0085
0.0184,0.01,0.02,0.19,0.15,0.2,1.085,0.424,0.4,0.45,0.0836,0.0095,-0.0095,0.0058,-0.0058
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.474,0.45,0.5,0.0776,0.007,-0.007,0.0053,-0.0053
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.524,0.5,0.55,0.053,0.0056,-0.0056,0.0044,-0.0044
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.574,0.55,0.6,0.0386,0.0046,-0.0046,0.0033,-0.0033
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.624,0.6,0.65,0.0288,0.0041,-0.0041,0.0019,-0.0019
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.674,0.65,0.7,0.0203,0.0032,-0.0032,0.0013,-0.0013
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.724,0.7,0.75,0.0163,0.0031,-0.0031,0.0011,-0.0011
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.795,0.75,0.85,0.0103,0.0018,-0.0018,0.0007,-0.0007
0.0154,0.01,0.02,0.28,0.2,0.3,1.275,0.324,0.3,0.35,0.1789,0.0051,-0.0051,0.0121,-0.0121
0.016,0.01,0.02,0.26,0.2,0.3,1.237,0.374,0.35,0.4,0.1232,0.0032,-0.0032,0.0082,-0.0082
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.424,0.4,0.45,0.0962,0.0026,-0.0026,0.0068,-0.0068
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.474,0.45,0.5,0.0694,0.0022,-0.0022,0.0051,-0.0051
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.524,0.5,0.55,0.0545,0.0019,-0.0019,0.0042,-0.0042
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.574,0.55,0.6,0.0426,0.0017,-0.0017,0.0037,-0.0037
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.624,0.6,0.65,0.0335,0.0016,-0.0016,0.0025,-0.0025
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.674,0.65,0.7,0.0232,0.0014,-0.0014,0.0016,-0.0016
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.724,0.7,0.75,0.0156,0.0012,-0.0012,0.0013,-0.0013
0.0163,0.01,0.02,0.25,0.2,0.3,1.213,0.794,0.75,0.85,0.0117,0.0008,-0.0008,0.0014,-0.0014
0.0139,0.01,0.02,0.43,0.3,0.5,1.798,0.224,0.2,0.25,0.3385,0.0049,-0.0049,0.0248,-0.0248
0.014,0.01,0.02,0.39,0.3,0.5,1.612,0.274,0.25,0.3,0.249,0.0032,-0.0032,0.0179,-0.0179
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.324,0.3,0.35,0.1924,0.0028,-0.0028,0.0138,-0.0138
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.374,0.35,0.4,0.1409,0.0024,-0.0024,0.0101,-0.0101
