x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.004,0.01,0.3,0.5,0.2,0.25,0.40681,0.01019,0.02363,0.32837,0.00911,0.01922,0.99967,0.99966,0.94677,1.11718,1.12204
0.004,0.01,0.3,0.5,0.25,0.3,0.30444,0.00839,0.01756,0.24748,0.00761,0.01442,0.99903,0.99887,0.94648,1.11586,1.12186
0.004,0.01,0.3,0.5,0.3,0.35,0.25644,0.00786,0.0148,0.17844,0.00644,0.01044,0.99663,0.9958,0.94648,1.11773,1.12476
0.004,0.01,0.3,0.5,0.35,0.4,0.1797,0.00652,0.01051,0.13949,0.00577,0.00831,0.96445,0.95146,0.94648,1.11969,1.12776
0.004,0.01,0.3,0.5,0.4,0.45,0.14638,0.00583,0.00897,0.10077,0.00479,0.00643,0.91945,0.89873,0.94648,1.12161,1.13071
0.004,0.01,0.3,0.5,0.45,0.5,0.12972,0.00575,0.00819,0.08276,0.00434,0.0057,0.90206,0.85697,0.94643,1.12293,1.13307
0.004,0.01,0.3,0.5,0.5,0.55,0.09905,0.00589,0.00683,0.0595,0.00438,0.00444,0.85607,0.81074,0.9455,1.11568,1.12695
0.004,0.01,0.3,0.5,0.55,0.6,0.06813,0.00649,0.00495,0.0417,0.0047,0.00373,0.81827,0.74524,0.94451,1.11333,1.12574
0.004,0.01,0.5,0.7,0.2,0.25,0.40813,0.00735,0.02536,0.3504,0.00681,0.0219,0.99977,0.99971,0.95037,1.1703,1.1729
0.004,0.01,0.5,0.7,0.25,0.3,0.31487,0.00658,0.01966,0.2592,0.00601,0.01626,0.99921,0.99911,0.95037,1.17174,1.17551
0.004,0.01,0.5,0.7,0.3,0.35,0.23656,0.00582,0.01487,0.19366,0.00532,0.01229,0.99787,0.99723,0.95038,1.17166,1.17664
0.004,0.01,0.5,0.7,0.35,0.4,0.19177,0.00646,0.01204,0.14936,0.00563,0.00948,0.97258,0.96457,0.95055,1.16458,1.17111
0.004,0.01,0.5,0.7,0.4,0.45,0.16225,0.00875,0.01048,0.13442,0.00796,0.00911,0.93807,0.92169,0.95031,1.16093,1.16902
0.01,0.02,0.15,0.2,0.4,0.45,0.12739,0.01335,0.00747,0.09208,0.01166,0.00555,0.9069,0.90467,0.9438,1.07933,1.09095
0.01,0.02,0.15,0.2,0.45,0.5,0.10409,0.00892,0.00643,0.06182,0.00658,0.00423,0.88577,0.83422,0.94288,1.0766,1.08864
0.01,0.02,0.15,0.2,0.5,0.55,0.0786,0.0077,0.0049,0.05137,0.00587,0.00376,0.86954,0.81601,0.94288,1.08067,1.09314
0.01,0.02,0.15,0.2,0.55,0.6,0.07902,0.00766,0.00563,0.03746,0.00503,0.00368,0.81823,0.71413,0.94288,1.08468,1.09757
0.01,0.02,0.15,0.2,0.6,0.65,0.05591,0.00643,0.00384,0.02697,0.00416,0.00216,0.84152,0.77267,0.94288,1.08877,1.10208
0.01,0.02,0.15,0.2,0.65,0.7,0.05114,0.00636,0.00291,0.02277,0.00423,0.00132,0.95589,0.94715,0.94288,1.09287,1.10661
0.01,0.02,0.15,0.2,0.7,0.75,0.03643,0.00545,0.00205,0.02795,0.0053,0.00161,0.98721,0.97515,0.94288,1.09685,1.11101
0.01,0.02,0.15,0.2,0.75,0.85,0.0254,0.00321,0.00144,0.00626,0.00157,0.00044,0.99744,0.99441,0.94288,1.10289,1.11767
0.01,0.02,0.2,0.3,0.3,0.35,0.22403,0.00631,0.0122,0.16464,0.00543,0.00906,0.99647,0.99555,0.95167,1.07144,1.08104
0.01,0.02,0.2,0.3,0.35,0.4,0.17485,0.00431,0.00965,0.12502,0.00362,0.00706,0.9632,0.95364,0.95072,1.07415,1.08451
0.01,0.02,0.2,0.3,0.4,0.45,0.14366,0.00362,0.00821,0.09078,0.00282,0.00542,0.92295,0.89993,0.95031,1.07767,1.08863
0.01,0.02,0.2,0.3,0.45,0.5,0.11113,0.00315,0.00657,0.0746,0.00252,0.00468,0.89984,0.87093,0.95032,1.0814,1.09289
0.01,0.02,0.2,0.3,0.5,0.55,0.08609,0.00274,0.00532,0.05165,0.00205,0.00356,0.87274,0.82648,0.95032,1.08508,1.0971
0.01,0.02,0.2,0.3,0.55,0.6,0.07237,0.00251,0.00492,0.03866,0.00172,0.00301,0.83163,0.78029,0.95032,1.08879,1.10133
0.01,0.02,0.2,0.3,0.6,0.65,0.05541,0.0022,0.00354,0.02875,0.00154,0.00199,0.86695,0.83429,0.95032,1.09245,1.10552
0.01,0.02,0.2,0.3,0.65,0.7,0.04353,0.00208,0.0025,0.02168,0.0014,0.00127,0.9762,0.95897,0.95032,1.09612,1.10972
0.01,0.02,0.2,0.3,0.7,0.75,0.0384,0.00201,0.00228,0.01763,0.00132,0.00104,0.98843,0.9856,0.95032,1.09993,1.11404
0.01,0.02,0.2,0.3,0.75,0.85,0.02903,0.00129,0.00177,0.01196,0.00079,0.00071,0.99778,0.9965,0.95007,1.1039,1.11876
0.01,0.02,0.3,0.5,0.2,0.25,0.41054,0.00704,0.02274,0.32965,0.00633,0.01841,0.99986,0.99983,0.96529,1.08937,1.09586
0.01,0.02,0.3,0.5,0.25,0.3,0.3208,0.00446,0.01772,0.23562,0.00381,0.01314,0.99935,0.99922,0.96105,1.08675,1.09445
0.01,0.02,0.3,0.5,0.3,0.35,0.24504,0.00385,0.01355,0.18281,0.00331,0.01023,0.99778,0.9973,0.96086,1.08903,1.0974
0.01,0.02,0.3,0.5,0.35,0.4,0.19405,0.00343,0.0108,0.1387,0.00287,0.00783,0.97404,0.96738,0.96086,1.0922,1.10122
0.01,0.02,0.3,0.5,0.4,0.45,0.14226,0.00289,0.00812,0.10577,0.00247,0.00624,0.94142,0.92337,0.96086,1.09555,1.10519
0.01,0.02,0.3,0.5,0.45,0.5,0.12228,0.00273,0.00723,0.07599,0.00209,0.00462,0.92689,0.90264,0.96073,1.09871,1.109
0.01,0.02,0.3,0.5,0.5,0.55,0.0987,0.0026,0.00611,0.05755,0.0019,0.00376,0.89582,0.86864,0.95976,1.10275,1.11382
0.01,0.02,0.3,0.5,0.55,0.6,0.0731,0.00241,0.00497,0.04534,0.00182,0.00335,0.857,0.8145,0.95854,1.10467,1.11654
0.01,0.02,0.3,0.5,0.6,0.65,0.06324,0.00256,0.00416,0.03559,0.00188,0.00251,0.88946,0.8464,0.95735,1.10612,1.11872
0.01,0.02,0.3,0.5,0.65,0.7,0.05329,0.00291,0.00322,0.02454,0.00192,0.00145,0.97919,0.97008,0.95624,1.10697,1.1203
0.01,0.02,0.3,0.5,0.7,0.75,0.03723,0.00314,0.00244,0.01746,0.00206,0.00101,0.99008,0.98735,0.95557,1.10795,1.12193
0.01,0.02,0.5,0.7,0.2,0.25,0.42688,0.00822,0.02462,0.34413,0.00732,0.02001,0.99991,0.99991,0.97371,1.12619,1.13055
0.01,0.02,0.5,0.7,0.25,0.3,0.32672,0.00735,0.01894,0.25506,0.00644,0.01487,0.99965,0.99964,0.97371,1.12934,1.13435
0.01,0.02,0.5,0.7,0.3,0.35,0.25497,0.0066,0.015,0.19564,0.00573,0.01161,0.99898,0.99857,0.97369,1.13179,1.13746
0.01,0.02,0.5,0.7,0.35,0.4,0.19118,0.00657,0.0114,0.13788,0.00555,0.00833,0.98547,0.98199,0.97286,1.13048,1.13715
0.01,0.02,0.5,0.7,0.4,0.45,0.15878,0.00816,0.00985,0.1131,0.00684,0.00686,0.96544,0.9527,0.97183,1.12926,1.13702
0.02,0.03,0.1,0.15,0.55,0.6,0.0543,0.00514,0.00386,0.02982,0.00378,0.00251,0.8161,0.77679,0.9453,1.07494,1.08795
0.02,0.03,0.1,0.15,0.6,0.65,0.05331,0.00413,0.00336,0.0235,0.00267,0.00166,0.86441,0.81869,0.94339,1.08205,1.09529
0.02,0.03,0.1,0.15,0.65,0.7,0.04428,0.00368,0.00249,0.01862,0.00229,0.00111,0.95556,0.93216,0.94278,1.08595,1.09937
0.02,0.03,0.1,0.15,0.7,0.75,0.03896,0.00343,0.00222,0.01468,0.0021,0.00085,0.98687,0.98128,0.9426,1.09073,1.10432
0.02,0.03,0.1,0.15,0.75,0.85,0.02798,0.00209,0.0016,0.00792,0.0011,0.00047,0.99644,0.99463,0.9426,1.09774,1.11158
0.02,0.03,0.15,0.2,0.45,0.5,0.10699,0.00456,0.00608,0.0649,0.0035,0.00391,0.9137,0.88238,0.9539,1.06299,1.07523
0.02,0.03,0.15,0.2,0.5,0.55,0.07912,0.00308,0.00477,0.04906,0.00239,0.00331,0.87732,0.83053,0.95163,1.06906,1.08161
0.02,0.03,0.15,0.2,0.55,0.6,0.0705,0.00282,0.00456,0.03308,0.00184,0.00254,0.84738,0.78224,0.95159,1.07316,1.08595
0.02,0.03,0.15,0.2,0.6,0.65,0.05813,0.00263,0.0035,0.03041,0.00183,0.00206,0.89263,0.83823,0.9516,1.07767,1.09069
0.02,0.03,0.15,0.2,0.65,0.7,0.05338,0.00266,0.003,0.02127,0.00159,0.00121,0.97242,0.95682,0.9516,1.08227,1.09553
0.02,0.03,0.15,0.2,0.7,0.75,0.03944,0.00223,0.0022,0.01329,0.00125,0.00078,0.99072,0.98055,0.9516,1.08691,1.10041
0.02,0.03,0.15,0.2,0.75,0.85,0.03164,0.00148,0.00177,0.00975,0.00078,0.00055,0.99765,0.99567,0.9516,1.09359,1.10742
0.02,0.03,0.2,0.3,0.3,0.35,0.23532,0.00841,0.01255,0.16278,0.00703,0.00878,0.99813,0.9974,0.97029,1.05994,1.07079
0.02,0.03,0.2,0.3,0.35,0.4,0.20276,0.00547,0.01091,0.12681,0.00424,0.00695,0.97939,0.97195,0.96761,1.06266,1.07394
0.02,0.03,0.2,0.3,0.4,0.45,0.14969,0.00407,0.00817,0.08756,0.00304,0.00492,0.95051,0.93558,0.96585,1.06587,1.07747
0.02,0.03,0.2,0.3,0.45,0.5,0.11518,0.00353,0.00639,0.07176,0.00274,0.00414,0.93789,0.91631,0.96587,1.07039,1.08224
0.02,0.03,0.2,0.3,0.5,0.55,0.09089,0.00309,0.00518,0.05018,0.00223,0.00301,0.91492,0.88834,0.96587,1.07494,1.08703
0.02,0.03,0.2,0.3,0.55,0.6,0.07568,0.00282,0.00445,0.04017,0.00198,0.0026,0.89556,0.84931,0.96587,1.07944,1.09178
0.02,0.03,0.2,0.3,0.6,0.65,0.06096,0.00259,0.00351,0.03015,0.00174,0.00188,0.92067,0.87881,0.96587,1.08398,1.09656
0.02,0.03,0.2,0.3,0.65,0.7,0.04444,0.00222,0.00253,0.0225,0.00156,0.00129,0.98339,0.97412,0.96587,1.08854,1.10136
0.02,0.03,0.2,0.3,0.7,0.75,0.03819,0.00211,0.00226,0.01623,0.00134,0.00094,0.99319,0.98808,0.96587,1.09314,1.10621
0.02,0.03,0.2,0.3,0.75,0.85,0.02743,0.00131,0.00171,0.0121,0.00086,0.00071,0.99904,0.9974,0.96556,1.10009,1.11355
0.02,0.03,0.3,0.5,0.2,0.25,0.42698,0.01176,0.02312,0.32687,0.01026,0.01787,0.99994,0.99994,0.98219,1.07239,1.08096
0.02,0.03,0.3,0.5,0.25,0.3,0.33,0.00727,0.01779,0.24521,0.00626,0.01332,0.99969,0.99963,0.97945,1.0677,1.07713
