#: table_doi: 10.17182/hepdata.49385.v1/t20
#: name: Table 20
#: description: Differential cross section for K+- in Z0-->Q-QBAR events.

#: data_file: Table20.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (K+ + K-) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,0.558,0.031,-0.031,0.077,-0.077
1.025,0.91,1.14,0.546,0.021,-0.021,0.073,-0.073
1.255,1.14,1.37,0.466,0.018,-0.018,0.066,-0.066
1.485,1.37,1.6,0.45,0.02,-0.02,0.04,-0.04
1.71,1.6,1.82,0.4,0.022,-0.022,0.056,-0.056
2.05,1.82,2.28,0.357,0.016,-0.016,0.061,-0.061
2.51,2.28,2.74,0.292,0.015,-0.015,0.063,-0.063
2.965,2.74,3.19,0.2455,0.008,-0.008,0.0154,-0.0154
3.42,3.19,3.65,0.2157,0.0061,-0.0061,0.0154,-0.0154
3.875,3.65,4.1,0.1953,0.0054,-0.0054,0.012,-0.012
4.33,4.1,4.56,0.1754,0.0052,-0.0052,0.0121,-0.0121
5.015,4.56,5.47,0.1443,0.0035,-0.0035,0.0097,-0.0097
5.925,5.47,6.38,0.1123,0.004,-0.004,0.006,-0.006
6.835,6.38,7.29,0.0906,0.0052,-0.0052,0.0083,-0.0083
7.75,7.29,8.21,0.072,0.006,-0.006,0.009,-0.009
8.665,8.21,9.12,0.0624,0.0033,-0.0033,0.0086,-0.0086
10.51,9.12,11.9,0.04344,0.00082,-0.00082,0.00204,-0.00204
12.8,11.9,13.7,0.02917,0.00073,-0.00073,0.00155,-0.00155
15.95,13.7,18.2,0.01699,0.00044,-0.00044,0.00115,-0.00115
20.5,18.2,22.8,0.00791,0.00033,-0.00033,0.00079,-0.00079
25.1,22.8,27.4,0.00364,0.00025,-0.00025,0.00036,-0.00036
31.95,27.4,36.5,0.0013,0.00017,-0.00017,0.00027,-0.00027
41.05,36.5,45.6,0.000147,8.2e-05,-8.2e-05,0.000108,-0.000108

