#: table_doi: 10.17182/hepdata.49385.v1/t28
#: name: Table 28
#: description: Differential cross section for K+- in Z0-->B-BBAR events.

#: data_file: Table28.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (K+ + K-) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,0.667,0.09,-0.09,0.084,-0.084
1.025,0.91,1.14,0.612,0.064,-0.064,0.083,-0.083
1.255,1.14,1.37,0.523,0.06,-0.06,0.08,-0.08
1.485,1.37,1.6,0.585,0.051,-0.051,0.05,-0.05
1.71,1.6,1.82,0.483,0.061,-0.061,0.075,-0.075
2.05,1.82,2.28,0.494,0.025,-0.025,0.076,-0.076
2.51,2.28,2.74,0.398,0.016,-0.016,0.078,-0.078
2.965,2.74,3.19,0.335,0.018,-0.018,0.02,-0.02
3.42,3.19,3.65,0.3225,0.0096,-0.0096,0.0203,-0.0203
3.875,3.65,4.1,0.2845,0.0055,-0.0055,0.0211,-0.0211
4.33,4.1,4.56,0.249,0.01,-0.01,0.015,-0.015
5.015,4.56,5.47,0.2022,0.0061,-0.0061,0.0106,-0.0106
5.925,5.47,6.38,0.1526,0.007,-0.007,0.0101,-0.0101
6.835,6.38,7.29,0.109,0.011,-0.011,0.01,-0.01
7.75,7.29,8.21,0.083,0.011,-0.011,0.012,-0.012
8.665,8.21,9.12,0.0625,0.005,-0.005,0.0087,-0.0087
10.51,9.12,11.9,0.0379,0.0013,-0.0013,0.0017,-0.0017
12.8,11.9,13.7,0.0199,0.0011,-0.0011,0.0011,-0.0011
15.95,13.7,18.2,0.00868,0.00068,-0.00068,0.00059,-0.00059
20.5,18.2,22.8,0.00231,0.00041,-0.00041,0.00027,-0.00027
25.1,22.8,27.4,0.00062,0.00023,-0.00023,6e-05,-6e-05
31.95,27.4,36.5,2.4e-05,6.2e-05,-6.2e-05,5e-06,-5e-06
41.05,36.5,45.6,7e-07,3.6e-06,-3.6e-06,9e-07,-9e-07

