#: table_doi: 10.17182/hepdata.49385.v1/t36
#: name: Table 36
#: description: Differential cross section for K+- in Z0-->(U-UBAR,D-DBAR,S-SBAR) events.

#: data_file: Table36.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (K+ + K-) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,0.527,0.047,-0.047,0.061,-0.061
1.025,0.91,1.14,0.524,0.037,-0.037,0.058,-0.058
1.255,1.14,1.37,0.447,0.033,-0.033,0.052,-0.052
1.485,1.37,1.6,0.398,0.031,-0.031,0.031,-0.031
1.71,1.6,1.82,0.374,0.036,-0.036,0.045,-0.045
2.05,1.82,2.28,0.314,0.04,-0.04,0.047,-0.047
2.51,2.28,2.74,0.253,0.045,-0.045,0.049,-0.049
2.965,2.74,3.19,0.217,0.014,-0.014,0.012,-0.012
3.42,3.19,3.65,0.18,0.014,-0.014,0.013,-0.013
3.875,3.65,4.1,0.16,0.01,-0.01,0.009,-0.009
4.33,4.1,4.56,0.147,0.01,-0.01,0.009,-0.009
5.015,4.56,5.47,0.1189,0.0078,-0.0078,0.0068,-0.0068
5.925,5.47,6.38,0.0901,0.0064,-0.0064,0.0043,-0.0043
6.835,6.38,7.29,0.0756,0.0088,-0.0088,0.0063,-0.0063
7.75,7.29,8.21,0.0629,0.0093,-0.0093,0.0065,-0.0065
8.665,8.21,9.12,0.0561,0.0071,-0.0071,0.0069,-0.0069
10.51,9.12,11.9,0.0401,0.0015,-0.0015,0.0017,-0.0017
12.8,11.9,13.7,0.0287,0.0013,-0.0013,0.0015,-0.0015
15.95,13.7,18.2,0.01838,0.00082,-0.00082,0.00112,-0.00112
20.5,18.2,22.8,0.00927,0.00055,-0.00055,0.00077,-0.00077
25.1,22.8,27.4,0.00471,0.00036,-0.00036,0.00047,-0.00047
31.95,27.4,36.5,0.00211,0.00026,-0.00026,0.00033,-0.00033
41.05,36.5,45.6,0.00027,0.00012,-0.00012,0.00015,-0.00015

