#: table_doi: 10.17182/hepdata.49385.v1/t9
#: name: Table 9
#: description: Normalised K+- production rates in Z0-->B-BBAR events.

#: data_file: Table9.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (K+ + K-) X
#: RE(Q=TOT),,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(D(N)/DP)/(D(N(Q=TOT))/DP) [PCT],stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,6.7,1.14,-1.14,0.81,-0.81
1.025,0.91,1.14,8.05,1.23,-1.23,1.09,-1.09
1.255,1.14,1.37,8.51,1.45,-1.45,1.3,-1.3
1.485,1.37,1.6,10.11,1.21,-1.21,0.85,-0.85
1.71,1.6,1.82,11.03,2.08,-2.08,1.71,-1.71
2.05,1.82,2.28,12.98,2.32,-2.32,2.0,-2.0
2.51,2.28,2.74,14.59,3.2,-3.2,2.85,-2.85
2.965,2.74,3.19,16.08,1.38,-1.38,0.91,-0.91
3.42,3.19,3.65,17.76,1.45,-1.45,1.08,-1.08
3.875,3.65,4.1,19.43,1.74,-1.74,1.4,-1.4
4.33,4.1,4.56,20.67,1.66,-1.66,1.15,-1.15
5.015,4.56,5.47,21.23,1.47,-1.47,1.03,-1.03
5.925,5.47,6.38,21.73,2.03,-2.03,1.34,-1.34
6.835,6.38,7.29,22.19,3.45,-3.45,1.88,-1.88
7.75,7.29,8.21,21.76,5.01,-5.01,3.04,-3.04
8.665,8.21,9.12,23.09,3.98,-3.98,3.12,-3.12
10.485,9.12,11.85,22.77,1.0,-1.0,0.69,-0.69
12.765,11.85,13.68,22.24,1.32,-1.32,0.86,-0.86
15.959999999999999,13.68,18.24,19.85,1.36,-1.36,1.03,-1.03
20.52,18.24,22.8,15.47,1.99,-1.99,1.59,-1.59
25.08,22.8,27.36,11.5,1.97,-1.97,0.72,-0.72
31.915,27.36,36.47,9.38,2.93,-2.93,0.83,-0.83
40.735,36.47,45.0,5.86,9.04,-9.04,6.71,-6.71

