#: table_doi: 10.17182/hepdata.22177.v1/t6
#: name: Table 6
#: description: Differential production rates of charged kaons per Z0 decay into light (u,d,s) and c and b quarks. The errors are combined statistical and systematic.

#: data_file: Table6.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DX
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.28
#: RE(Q=K+-),E+ E- --> (K+ + K-) X
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZL))*D(N(Q=K+-))/DX,error +,error -
0.0153,27.05,1.27,-1.27
0.0191,20.0,0.42,-0.42
0.0246,19.74,0.4,-0.4
0.0301,17.52,0.37,-0.37
0.0356,16.08,0.37,-0.37
0.0411,15.04,0.34,-0.34
0.0465,13.54,0.34,-0.34
0.0521,11.87,0.34,-0.34
0.0576,11.44,0.33,-0.33
0.063,10.64,0.3,-0.3
0.0685,10.24,0.29,-0.29
0.074,9.67,0.29,-0.29
0.0795,8.13,0.27,-0.27
0.085,7.98,0.28,-0.28
0.0931,7.0,0.19,-0.19
0.104,6.36,0.19,-0.19
0.115,5.85,0.2,-0.2
0.131,4.89,0.15,-0.15
0.153,3.41,0.17,-0.17
0.175,2.84,0.22,-0.22
0.197,2.564,0.082,-0.082
0.2189,2.401,0.067,-0.067
0.241,1.973,0.054,-0.054
0.2629,1.643,0.048,-0.048
0.2849,1.481,0.044,-0.044
0.3068,1.211,0.039,-0.039
0.3338,1.001,0.029,-0.029
0.3666,0.746,0.025,-0.025
0.3997,0.666,0.023,-0.023
0.4325,0.559,0.022,-0.022
0.4651,0.426,0.02,-0.02
0.5035,0.363,0.016,-0.016
0.547,0.261,0.015,-0.015
0.6083,0.183,0.01,-0.01
0.7047,0.079,0.007,-0.007
0.8383,0.008,0.004,-0.004
-,1.869,0.062,-0.062

#: RE(Q=K+-),E+ E- --> (K+ + K-) X
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZC))*D(N(Q=K+-))/DX,error +,error -
0.0153,30.92,3.86,-3.86
0.0191,22.43,1.37,-1.37
0.0246,22.04,1.27,-1.27
0.0301,20.82,1.17,-1.17
0.0356,16.79,1.15,-1.15
0.0411,16.68,1.15,-1.15
0.0465,16.46,1.06,-1.06
0.0521,15.81,1.08,-1.08
0.0576,12.62,0.99,-0.99
0.063,12.24,0.92,-0.92
0.0685,11.42,0.87,-0.87
0.074,10.95,0.85,-0.85
0.0795,10.88,0.84,-0.84
0.085,9.62,0.81,-0.81
0.0931,9.84,0.59,-0.59
0.104,8.08,0.58,-0.58
0.115,8.98,0.63,-0.63
0.131,6.59,0.45,-0.45
0.153,5.5,0.51,-0.51
0.175,5.12,0.68,-0.68
0.197,3.85,0.245,-0.245
0.2189,3.087,0.19,-0.19
0.241,2.074,0.145,-0.145
0.2629,1.96,0.132,-0.132
0.2849,1.681,0.119,-0.119
0.3068,1.368,0.104,-0.104
0.3338,1.043,0.076,-0.076
0.3666,0.874,0.068,-0.068
0.3997,0.6,0.058,-0.058
0.4325,0.408,0.05,-0.05
0.4651,0.408,0.05,-0.05
0.5035,0.243,0.037,-0.037
0.547,0.173,0.034,-0.034
0.6083,0.064,0.02,-0.02
0.7047,0.009,0.011,-0.011
0.8383,0.008,0.008,-0.008
-,2.273,0.093,-0.093

#: RE(Q=K+-),E+ E- --> (K+ + K-) X
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZB))*D(N(Q=K+-))/DX,error +,error -
0.0153,30.21,1.99,-1.99
0.0191,23.06,0.62,-0.62
0.0246,22.89,0.6,-0.6
0.0301,21.64,0.55,-0.55
0.0356,21.36,0.53,-0.53
0.0411,21.36,0.56,-0.56
0.0465,19.9,0.57,-0.57
0.0521,18.91,0.6,-0.6
0.0576,18.46,0.58,-0.58
0.063,17.43,0.54,-0.54
0.0685,16.92,0.53,-0.53
0.074,15.62,0.52,-0.52
0.0795,15.11,0.52,-0.52
0.085,13.18,0.5,-0.5
0.0931,12.43,0.36,-0.36
0.104,11.56,0.37,-0.37
0.115,9.96,0.38,-0.38
0.131,7.17,0.27,-0.27
0.153,4.58,0.29,-0.29
0.175,4.2,0.36,-0.36
0.197,2.541,0.126,-0.126
0.2189,2.009,0.096,-0.096
0.241,1.627,0.078,-0.078
0.2629,1.116,0.062,-0.062
0.2849,0.83,0.053,-0.053
0.3068,0.64,0.045,-0.045
0.3338,0.452,0.032,-0.032
0.3666,0.337,0.028,-0.028
0.3997,0.245,0.024,-0.024
0.4325,0.149,0.02,-0.02
0.4651,0.108,0.018,-0.018
0.5035,0.057,0.012,-0.012
0.547,0.061,0.013,-0.013
0.6083,0.012,0.005,-0.005
0.7047,0.002,0.003,-0.003
0.8383,-0.001,0.001,-0.001
-,2.377,0.08,-0.08

