#: table_doi: 10.17182/hepdata.48315.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> HADRONS | E+ E- --> K- X | E+ E- --> K+ X
#: keyword observables: DSIG/DZ
#: keyword phrases: Exclusive | Inclusive | Single Differential Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 0.216
#: RE,,,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],,,0.216
Z(DEF=P(P=1)/P(P=3)),Z(DEF=P(P=1)/P(P=3)) LOW,Z(DEF=P(P=1)/P(P=3)) HIGH,(1/SIG) D(SIG)/DZ,stat +,stat -,sys +,sys -
0.00574,0.0055,0.006,12.4,1.12,-1.12,0.01,-0.01
0.00622,0.006,0.0065,13.27,0.91,-0.91,0.01,-0.01
0.00673,0.0065,0.007,15.33,0.9,-0.9,0.01,-0.01
0.00722,0.007,0.0075,17.43,0.92,-0.92,0.02,-0.02
0.00773,0.0075,0.008,18.33,0.88,-0.88,0.02,-0.02
0.00822,0.008,0.0085,19.62,0.9,-0.9,0.02,-0.02
0.00871,0.0085,0.009,20.02,0.86,-0.86,0.05,-0.05
0.00922,0.009,0.0095,21.66,0.88,-0.88,0.12,-0.12
0.0135,0.013,0.014,25.84,0.66,-0.66,0.5,-0.5
0.0147,0.014,0.016,27.46,0.47,-0.47,0.68,-0.68
0.0167,0.016,0.018,27.63,0.53,-0.53,2.2,-2.2
0.0719,0.07,0.075,10.6,0.3,-0.3,1.28,-1.28
0.0769,0.075,0.08,9.53,0.26,-0.26,0.98,-0.98
0.0819,0.08,0.085,9.15,0.23,-0.23,0.83,-0.83
0.087,0.085,0.09,8.41,0.21,-0.21,0.71,-0.71
0.0942,0.09,0.1,7.96,0.14,-0.14,0.56,-0.56
0.104,0.1,0.11,7.26,0.13,-0.13,0.47,-0.47
0.114,0.11,0.12,6.34,0.11,-0.11,0.37,-0.37
0.124,0.12,0.13,5.63,0.11,-0.11,0.32,-0.32
0.134,0.13,0.14,4.94,0.1,-0.1,0.28,-0.28
0.144,0.14,0.15,4.39,0.09,-0.09,0.24,-0.24
0.154,0.15,0.16,4.22,0.09,-0.09,0.22,-0.22
0.169,0.16,0.18,3.63,0.06,-0.06,0.18,-0.18
0.189,0.18,0.2,3.1,0.05,-0.05,0.15,-0.15
0.222,0.2,0.25,2.245,0.029,-0.029,0.109,-0.109
0.272,0.25,0.3,1.538,0.025,-0.025,0.076,-0.076
0.342,0.3,0.4,0.841,0.013,-0.013,0.043,-0.043
0.476,0.4,0.6,0.2936,0.0053,-0.0053,0.0146,-0.0146
0.674,0.6,0.8,0.0596,0.0022,-0.0022,0.0031,-0.0031

