pt min,pt_max,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst
,,2,,,2.2,,,2.396,,,2.6444,,,2.9,,,3.05,,,3.5,,,3.671,,
0.2,0.25,3.062,0.014,0.081,3.329,0.013,0.063,3.28,0.006,0.083,3.45,0.01,0.146,3.53,0.006,0.194,3.542,0.018,0.46,3.666,0.04,0.343,3.804,0.038,0.294
0.25,0.3,3.23,0.014,0.106,3.509,0.013,0.096,3.467,0.006,0.092,3.586,0.01,0.115,3.668,0.006,0.185,3.678,0.018,0.45,3.824,0.039,0.341,4.033,0.039,0.292
0.3,0.35,3.077,0.013,0.118,3.255,0.012,0.105,3.325,0.006,0.072,3.401,0.01,0.109,3.507,0.006,0.146,3.498,0.017,0.425,3.752,0.038,0.283,3.809,0.037,0.221
0.35,0.4,2.708,0.012,0.099,2.828,0.011,0.091,2.979,0.006,0.043,3.019,0.009,0.062,3.144,0.006,0.082,3.174,0.016,0.354,3.375,0.036,0.21,3.483,0.035,0.158
0.4,0.45,2.267,0.011,0.071,2.387,0.01,0.086,2.513,0.005,0.011,2.595,0.008,0.027,2.708,0.005,0.024,2.766,0.015,0.297,2.86,0.032,0.106,2.932,0.032,0.076
0.45,0.5,1.847,0.01,0.032,1.941,0.009,0.051,2.067,0.005,0.009,2.172,0.007,0.03,2.304,0.005,0.017,2.349,0.013,0.261,2.511,0.03,0.04,2.478,0.029,0.026
0.5,0.55,1.519,0.009,0.016,1.544,0.008,0.038,1.678,0.004,0.008,1.795,0.007,0.042,1.899,0.004,0.035,1.946,0.012,0.199,2.042,0.027,0.019,2.08,0.026,0.032
0.55,0.6,1.244,0.008,0.067,1.237,0.008,0.025,1.355,0.004,0.012,1.461,0.006,0.054,1.556,0.004,0.049,1.601,0.011,0.158,1.688,0.024,0.053,1.74,0.024,0.055
0.6,0.65,0.932,0.007,0.101,0.964,0.007,0.011,1.082,0.004,0.015,1.19,0.006,0.039,1.258,0.004,0.053,1.316,0.01,0.126,1.371,0.022,0.086,1.363,0.021,0.064
0.65,0.7,0.791,0.007,0.072,0.822,0.006,0.007,0.835,0.003,0.028,0.919,0.005,0.041,1.013,0.003,0.056,1.064,0.009,0.119,1.13,0.02,0.095,1.129,0.02,0.073
0.7,0.75,0.61,0.006,0.052,0.67,0.006,0.038,0.652,0.003,0.026,0.732,0.005,0.035,0.828,0.003,0.059,0.864,0.008,0.104,0.879,0.017,0.095,0.927,0.018,0.078
0.75,0.8,0.403,0.005,0.036,0.534,0.005,0.043,0.536,0.003,0.031,0.583,0.004,0.038,0.671,0.003,0.055,0.71,0.008,0.097,0.762,0.017,0.096,0.76,0.017,0.075
0.8,0.85,0.257,0.005,0.01,0.414,0.005,0.034,0.47,0.002,0.039,0.455,0.004,0.045,0.541,0.003,0.05,0.567,0.007,0.088,0.598,0.015,0.087,0.636,0.016,0.074
0.85,0.9,0.16,0.004,0.025,0.272,0.004,0.03,0.376,0.002,0.042,0.379,0.003,0.041,0.431,0.002,0.047,0.48,0.007,0.073,0.498,0.014,0.078,0.543,0.015,0.075
0.9,0.95,0.058,0.003,0.018,0.15,0.003,0.007,0.285,0.002,0.034,0.305,0.003,0.038,0.344,0.002,0.041,0.384,0.006,0.064,0.418,0.013,0.067,0.424,0.013,0.066
0.95,1,0,0,0,0.084,0.003,0.015,0.183,0.002,0.027,0.284,0.003,0.04,0.277,0.002,0.042,0.313,0.006,0.054,0.343,0.012,0.06,0.374,0.013,0.062
1,1.05,0,0,0,0.027,0.002,0.011,0.087,0.001,0.01,0.226,0.003,0.036,0.224,0.002,0.037,0.244,0.005,0.053,0.27,0.012,0.046,0.311,0.012,0.058
1.05,1.1,0,0,0,0,0,0,0.046,0.001,0.006,0.159,0.003,0.031,0.184,0.002,0.032,0.205,0.005,0.044,0.247,0.012,0.044,0.255,0.012,0.049
1.1,1.15,0,0,0,0,0,0,0.013,0.001,0.005,0.095,0.002,0.019,0.167,0.002,0.028,0.169,0.005,0.04,0.207,0.011,0.032,0.21,0.011,0.04
1.15,1.2,0,0,0,0,0,0,0,0,0,0.039,0.002,0.005,0.132,0.002,0.029,0.136,0.004,0.032,0.182,0.01,0.028,0.186,0.01,0.038
1.2,1.25,0,0,0,0,0,0,0,0,0,0.013,0.002,0.003,0.088,0.001,0.022,0.126,0.004,0.029,0.143,0.009,0.023,0.174,0.01,0.038
1.25,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.001,0.012,0.093,0.004,0.026,0.111,0.008,0.019,0.135,0.009,0.028
1.3,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.001,0.002,0.058,0.003,0.017,0.113,0.009,0.025,0.12,0.008,0.026
1.35,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.003,0.011,0.082,0.008,0.018,0.093,0.008,0.024
1.4,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.006,0.009,0.074,0.007,0.024
