pt min,pt_max,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst,cv,stat,syst
,,2,,,2.2,,,2.396,,,2.6444,,,2.9,,,3.05,,,3.5,,,3.671,,
0.2,0.25,3.038,0.014,0.078,3.343,0.013,0.061,3.287,0.006,0.082,3.397,0.01,0.128,3.47,0.006,0.187,3.518,0.018,0.458,3.68,0.04,0.352,3.792,0.038,0.297
0.25,0.3,3.24,0.014,0.122,3.482,0.013,0.096,3.471,0.006,0.092,3.567,0.01,0.119,3.633,0.006,0.185,3.662,0.018,0.459,3.862,0.04,0.34,3.966,0.038,0.282
0.3,0.35,3.084,0.013,0.132,3.244,0.012,0.124,3.306,0.006,0.08,3.367,0.01,0.097,3.455,0.006,0.139,3.5,0.017,0.41,3.606,0.038,0.273,3.763,0.037,0.231
0.35,0.4,2.713,0.012,0.123,2.824,0.011,0.108,2.972,0.006,0.049,3.021,0.009,0.065,3.128,0.006,0.084,3.157,0.016,0.338,3.319,0.036,0.203,3.376,0.034,0.158
0.4,0.45,2.286,0.011,0.076,2.384,0.01,0.091,2.532,0.005,0.023,2.586,0.008,0.018,2.712,0.005,0.031,2.769,0.015,0.295,2.803,0.032,0.117,2.954,0.032,0.083
0.45,0.5,1.862,0.01,0.037,1.95,0.009,0.054,2.082,0.005,0.02,2.178,0.008,0.019,2.299,0.005,0.011,2.324,0.013,0.26,2.487,0.03,0.045,2.5,0.029,0.033
0.5,0.55,1.53,0.009,0.008,1.555,0.008,0.034,1.674,0.004,0.005,1.816,0.007,0.024,1.906,0.004,0.033,1.948,0.012,0.209,2.014,0.026,0.022,2.055,0.026,0.028
0.55,0.6,1.238,0.008,0.056,1.242,0.008,0.031,1.369,0.004,0.007,1.467,0.006,0.033,1.545,0.004,0.045,1.621,0.011,0.164,1.691,0.024,0.062,1.728,0.024,0.055
0.6,0.65,0.955,0.008,0.097,0.986,0.007,0.045,1.086,0.004,0.012,1.19,0.006,0.034,1.266,0.004,0.051,1.319,0.01,0.144,1.363,0.022,0.077,1.403,0.022,0.066
0.65,0.7,0.767,0.007,0.069,0.836,0.006,0.02,0.847,0.003,0.018,0.924,0.005,0.038,1.014,0.003,0.056,1.047,0.009,0.12,1.131,0.02,0.092,1.147,0.02,0.074
0.7,0.75,0.601,0.006,0.049,0.669,0.006,0.033,0.664,0.003,0.022,0.732,0.005,0.033,0.828,0.003,0.056,0.862,0.008,0.103,0.917,0.018,0.097,0.915,0.018,0.078
0.75,0.8,0.396,0.005,0.034,0.533,0.005,0.037,0.539,0.003,0.024,0.585,0.004,0.039,0.675,0.003,0.054,0.706,0.008,0.095,0.759,0.016,0.1,0.79,0.017,0.082
0.8,0.85,0.26,0.005,0.017,0.415,0.005,0.035,0.472,0.002,0.034,0.466,0.004,0.042,0.551,0.003,0.045,0.563,0.007,0.079,0.599,0.015,0.087,0.637,0.016,0.076
0.85,0.9,0.157,0.004,0.025,0.265,0.004,0.025,0.376,0.002,0.041,0.366,0.003,0.039,0.439,0.002,0.044,0.47,0.007,0.068,0.497,0.014,0.081,0.545,0.015,0.084
0.9,0.95,0.057,0.003,0.017,0.147,0.003,0.006,0.284,0.002,0.032,0.31,0.003,0.035,0.347,0.002,0.044,0.379,0.006,0.061,0.406,0.013,0.068,0.442,0.013,0.07
0.95,1,0,0,0,0.089,0.003,0.017,0.182,0.002,0.025,0.282,0.003,0.035,0.279,0.002,0.042,0.316,0.006,0.056,0.328,0.012,0.06,0.379,0.013,0.066
1,1.05,0,0,0,0.031,0.003,0.013,0.087,0.001,0.01,0.225,0.003,0.039,0.226,0.002,0.036,0.247,0.005,0.053,0.296,0.012,0.053,0.295,0.012,0.056
1.05,1.1,0,0,0,0,0,0,0.045,0.001,0.005,0.154,0.003,0.026,0.182,0.002,0.031,0.186,0.005,0.04,0.265,0.012,0.046,0.257,0.011,0.051
1.1,1.15,0,0,0,0,0,0,0.015,0.001,0.006,0.089,0.002,0.016,0.165,0.002,0.028,0.16,0.005,0.04,0.205,0.011,0.035,0.204,0.011,0.043
1.15,1.2,0,0,0,0,0,0,0,0,0,0.039,0.002,0.005,0.133,0.002,0.026,0.13,0.004,0.029,0.183,0.01,0.03,0.181,0.01,0.037
1.2,1.25,0,0,0,0,0,0,0,0,0,0.017,0.002,0.003,0.089,0.001,0.02,0.12,0.004,0.027,0.147,0.009,0.028,0.157,0.009,0.033
1.25,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.001,0.012,0.092,0.004,0.027,0.131,0.009,0.024,0.13,0.009,0.028
1.3,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.001,0.002,0.06,0.003,0.021,0.113,0.009,0.024,0.122,0.008,0.029
1.35,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.002,0.01,0.076,0.007,0.016,0.097,0.008,0.025
1.4,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.007,0.015,0.072,0.007,0.023
