#: table_doi: 10.17182/hepdata.76800.v1/t1,,,,,,,,,,,,,,
#: name: Table 1,,,,,,,,,,,,,,
#: description: Multiplicities of positively charged pions from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{\pi^{+}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the pion count, $DVM^{\pi^{+}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the pion count, $\eta^{\pi^{+}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{\pi^{+}}$, as follows:,
,,,,,,,,,,,,,,
$M^{\pi^{+}}$ =  $M_{raw}^{\pi^{+}}$ * $\frac{\eta^{\pi^{+}}} {\eta^{DIS}}$ * $\frac{ DVM^{\pi^{+}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data1.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu'^{+}$ $\pi^{+}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu'^{+}$ $\pi^{+}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{\pi^{+}}$,$z^{\pi^{+}}$ LOW,$z^{\pi^{+}}$ HIGH,$M^{\pi^{+}}$,stat +,stat -,sys +,sys -
0.0087,0.004,0.01,0.443,0.3,0.5,1.149,0.223,0.2,0.25,1.8171,0.0155,-0.0155,0.0913,-0.0913
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.274,0.25,0.3,1.2272,0.0125,-0.0125,0.0615,-0.0615
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.324,0.3,0.35,0.9095,0.0112,-0.0112,0.0455,-0.0455
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.374,0.35,0.4,0.6308,0.0095,-0.0095,0.0317,-0.0317
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.424,0.4,0.45,0.4661,0.0084,-0.0084,0.0236,-0.0236
0.0088,0.004,0.01,0.432,0.3,0.5,1.132,0.474,0.45,0.5,0.3585,0.0079,-0.0079,0.0187,-0.0187
0.009,0.004,0.01,0.412,0.3,0.5,1.105,0.524,0.5,0.55,0.2656,0.0087,-0.0087,0.0147,-0.0147
0.0093,0.004,0.01,0.389,0.3,0.5,1.075,0.574,0.55,0.6,0.2181,0.0109,-0.0109,0.012,-0.012
0.0095,0.004,0.01,0.369,0.3,0.5,1.048,0.625,0.6,0.65,0.1858,0.0161,-0.0161,0.0133,-0.0133
0.0098,0.004,0.01,0.351,0.3,0.5,1.023,0.674,0.65,0.7,0.1078,0.024,-0.024,0.0103,-0.0103
0.0074,0.004,0.01,0.598,0.5,0.7,1.318,0.223,0.2,0.25,1.7546,0.0095,-0.0095,0.0882,-0.0882
0.0074,0.004,0.01,0.598,0.5,0.7,1.318,0.274,0.25,0.3,1.2043,0.0083,-0.0083,0.0603,-0.0603
0.0074,0.004,0.01,0.597,0.5,0.7,1.316,0.324,0.3,0.35,0.8571,0.0076,-0.0076,0.043,-0.043
0.0076,0.004,0.01,0.566,0.5,0.7,1.282,0.374,0.35,0.4,0.6153,0.0085,-0.0085,0.0311,-0.0311
0.0079,0.004,0.01,0.533,0.5,0.7,1.244,0.424,0.4,0.45,0.4722,0.0118,-0.0118,0.0241,-0.0241
0.0184,0.01,0.02,0.193,0.15,0.2,1.084,0.424,0.4,0.45,0.4857,0.0226,-0.0226,0.0244,-0.0244
