#: table_doi: 10.17182/hepdata.76800.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged pions from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{\pi^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the pion count, $DVM^{\pi^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the pion count, $\eta^{\pi^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{\pi^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{\pi^{-}}$ =  $M_{raw}^{\pi^{-}}$ * $\frac{\eta^{\pi^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{\pi^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{\pi^{-}}$,$z^{\pi^{-}}$ LOW,$z^{\pi^{-}}$ HIGH,$M^{\pi^{-}}$,stat +,stat -,sys +,sys -
0.0087,0.004,0.01,0.443,0.3,0.5,1.149,0.223,0.2,0.25,1.7515,0.0153,-0.0153,0.0881,-0.0881
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.273,0.25,0.3,1.2004,0.0125,-0.0125,0.0601,-0.0601
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.324,0.3,0.35,0.8117,0.0104,-0.0104,0.0406,-0.0406
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.374,0.35,0.4,0.5892,0.0091,-0.0091,0.0295,-0.0295
0.0088,0.004,0.01,0.435,0.3,0.5,1.138,0.424,0.4,0.45,0.451,0.0083,-0.0083,0.0229,-0.0229
0.0088,0.004,0.01,0.432,0.3,0.5,1.132,0.474,0.45,0.5,0.3278,0.0076,-0.0076,0.0171,-0.0171
0.009,0.004,0.01,0.412,0.3,0.5,1.105,0.524,0.5,0.55,0.245,0.0082,-0.0082,0.0131,-0.0131
0.0093,0.004,0.01,0.389,0.3,0.5,1.075,0.574,0.55,0.6,0.1874,0.0101,-0.0101,0.0115,-0.0115
0.0095,0.004,0.01,0.369,0.3,0.5,1.048,0.624,0.6,0.65,0.1644,0.0152,-0.0152,0.0126,-0.0126
0.0098,0.004,0.01,0.351,0.3,0.5,1.023,0.674,0.65,0.7,0.0872,0.0192,-0.0192,0.0091,-0.0091
0.0074,0.004,0.01,0.598,0.5,0.7,1.318,0.223,0.2,0.25,1.7041,0.0094,-0.0094,0.0856,-0.0856
0.0074,0.004,0.01,0.598,0.5,0.7,1.318,0.274,0.25,0.3,1.1488,0.0082,-0.0082,0.0575,-0.0575
0.0074,0.004,0.01,0.597,0.5,0.7,1.316,0.324,0.3,0.35,0.8267,0.0074,-0.0074,0.0415,-0.0415
0.0076,0.004,0.01,0.566,0.5,0.7,1.282,0.374,0.35,0.4,0.5901,0.0083,-0.0083,0.03,-0.03
0.0079,0.004,0.01,0.533,0.5,0.7,1.244,0.424,0.4,0.45,0.4323,0.0113,-0.0113,0.0221,-0.0221
0.0184,0.01,0.02,0.193,0.15,0.2,1.084,0.424,0.4,0.45,0.4981,0.0233,-0.0233,0.025,-0.025
0.0188,0.01,0.02,0.188,0.15,0.2,1.065,0.474,0.45,0.5,0.3493,0.0145,-0.0145,0.0177,-0.0177
0.0188,0.01,0.02,0.188,0.15,0.2,1.065,0.524,0.5,0.55,0.2795,0.0133,-0.0133,0.0147,-0.0147
0.0188,0.01,0.02,0.188,0.15,0.2,1.065,0.574,0.55,0.6,0.1934,0.0111,-0.0111,0.0124,-0.0124
0.0188,0.01,0.02,0.188,0.15,0.2,1.065,0.624,0.6,0.65,0.1574,0.0103,-0.0103,0.0106,-0.0106
0.0188,0.01,0.02,0.188,0.15,0.2,1.065,0.674,0.65,0.7,0.1259,0.0096,-0.0096,0.0107,-0.0107
0.0188,0.01,0.02,0.188,0.15,0.2,1.065,0.724,0.7,0.75,0.1046,0.0088,-0.0088,0.0096,-0.0096
0.0188,0.01,0.02,0.188,0.15,0.2,1.065,0.795,0.75,0.85,0.0628,0.005,-0.005,0.0084,-0.0084
0.0154,0.01,0.02,0.275,0.2,0.3,1.275,0.324,0.3,0.35,0.8781,0.0103,-0.0103,0.0439,-0.0439
0.016,0.01,0.02,0.259,0.2,0.3,1.237,0.374,0.35,0.4,0.6178,0.0068,-0.0068,0.0309,-0.0309
0.0162,0.01,0.02,0.254,0.2,0.3,1.222,0.424,0.4,0.45,0.465,0.0056,-0.0056,0.0234,-0.0234
0.0162,0.01,0.02,0.254,0.2,0.3,1.222,0.474,0.45,0.5,0.3317,0.0047,-0.0047,0.0169,-0.0169
0.0162,0.01,0.02,0.254,0.2,0.3,1.222,0.524,0.5,0.55,0.2529,0.0042,-0.0042,0.0134,-0.0134
0.0162,0.01,0.02,0.254,0.2,0.3,1.222,0.574,0.55,0.6,0.1947,0.0037,-0.0037,0.011,-0.011
0.0162,0.01,0.02,0.254,0.2,0.3,1.222,0.624,0.6,0.65,0.1549,0.0034,-0.0034,0.0099,-0.0099
0.0162,0.01,0.02,0.254,0.2,0.3,1.222,0.674,0.65,0.7,0.1272,0.0031,-0.0031,0.0087,-0.0087
0.0162,0.01,0.02,0.254,0.2,0.3,1.222,0.724,0.7,0.75,0.1014,0.0029,-0.0029,0.0088,-0.0088
0.0163,0.01,0.02,0.25,0.2,0.3,1.213,0.795,0.75,0.85,0.0648,0.0017,-0.0017,0.0077,-0.0077
0.0139,0.01,0.02,0.431,0.3,0.5,1.797,0.223,0.2,0.25,1.7537,0.0099,-0.0099,0.0879,-0.0879
0.014,0.01,0.02,0.386,0.3,0.5,1.612,0.274,0.25,0.3,1.2042,0.0063,-0.0063,0.0603,-0.0603
0.014,0.01,0.02,0.383,0.3,0.5,1.6,0.324,0.3,0.35,0.841,0.0053,-0.0053,0.0421,-0.0421
0.014,0.01,0.02,0.383,0.3,0.5,1.6,0.374,0.35,0.4,0.6068,0.0046,-0.0046,0.0304,-0.0304
0.014,0.01,0.02,0.383,0.3,0.5,1.6,0.424,0.4,0.45,0.4265,0.0039,-0.0039,0.0214,-0.0214
0.014,0.01,0.02,0.381,0.3,0.5,1.59,0.474,0.45,0.5,0.3186,0.0035,-0.0035,0.0162,-0.0162
0.014,0.01,0.02,0.369,0.3,0.5,1.538,0.524,0.5,0.55,0.2309,0.0033,-0.0033,0.012,-0.012
