x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.004,0.01,0.3,0.5,0.2,0.25,2.15047,0.02301,0.12463,2.0092,0.0222,0.11665,0.97258,0.97222,0.94677,1.12278,1.12404
0.004,0.01,0.3,0.5,0.25,0.3,1.48649,0.01827,0.08629,1.35606,0.01741,0.07893,0.96422,0.96642,0.94648,1.1218,1.12432
0.004,0.01,0.3,0.5,0.3,0.35,1.0496,0.01544,0.06141,0.95146,0.01463,0.05602,0.95353,0.95389,0.94648,1.12384,1.1276
0.004,0.01,0.3,0.5,0.35,0.4,0.74042,0.01308,0.0438,0.6774,0.01252,0.04023,0.94295,0.94521,0.94648,1.12598,1.13097
0.004,0.01,0.3,0.5,0.4,0.45,0.55972,0.01138,0.03365,0.49103,0.01064,0.02985,0.92627,0.92206,0.94648,1.12807,1.1343
0.004,0.01,0.3,0.5,0.45,0.5,0.393,0.00966,0.02427,0.34493,0.00898,0.02172,0.9059,0.89535,0.94643,1.12959,1.13703
0.004,0.01,0.3,0.5,0.5,0.55,0.31077,0.01033,0.02038,0.26609,0.00952,0.01793,0.86342,0.84996,0.9455,1.12272,1.13133
0.004,0.01,0.3,0.5,0.55,0.6,0.23096,0.01151,0.01799,0.2095,0.01135,0.01529,0.78564,0.81244,0.94451,1.1207,1.13044
0.004,0.01,0.5,0.7,0.2,0.25,2.11931,0.01665,0.13157,1.97866,0.01604,0.12289,0.97439,0.97538,0.95037,1.1723,1.17294
0.004,0.01,0.5,0.7,0.25,0.3,1.45023,0.01399,0.09052,1.31862,0.01328,0.08253,0.96664,0.9688,0.95037,1.17408,1.17612
0.004,0.01,0.5,0.7,0.3,0.35,1.03265,0.01205,0.06472,0.92984,0.01137,0.05853,0.95763,0.95845,0.95038,1.17439,1.17781
0.004,0.01,0.5,0.7,0.35,0.4,0.73136,0.01233,0.04565,0.64248,0.0115,0.04039,0.94901,0.94775,0.95055,1.16833,1.17316
0.004,0.01,0.5,0.7,0.4,0.45,0.55625,0.01586,0.0351,0.46038,0.01429,0.02937,0.93112,0.92613,0.95031,1.16568,1.17188
0.01,0.02,0.15,0.2,0.4,0.45,0.55503,0.02798,0.03201,0.50739,0.02643,0.02969,0.92098,0.91257,0.9438,1.08633,1.09312
0.01,0.02,0.15,0.2,0.45,0.5,0.43261,0.01777,0.02581,0.39662,0.01723,0.02388,0.89254,0.8904,0.94288,1.08308,1.09037
0.01,0.02,0.15,0.2,0.5,0.55,0.31597,0.01508,0.01941,0.27059,0.01374,0.01793,0.87749,0.84165,0.94288,1.08669,1.0945
0.01,0.02,0.15,0.2,0.55,0.6,0.25216,0.01312,0.0173,0.18717,0.01101,0.0136,0.82778,0.80355,0.94288,1.09022,1.09855
0.01,0.02,0.15,0.2,0.6,0.65,0.20338,0.0118,0.01449,0.18136,0.01099,0.01631,0.81079,0.73016,0.94288,1.09387,1.10272
0.01,0.02,0.15,0.2,0.65,0.7,0.14533,0.00945,0.01393,0.1186,0.00838,0.01302,0.71185,0.66855,0.94288,1.09749,1.10686
0.01,0.02,0.15,0.2,0.7,0.75,0.12211,0.00839,0.01599,0.08287,0.00647,0.01252,0.61719,0.58239,0.94288,1.10101,1.11088
0.01,0.02,0.15,0.2,0.75,0.85,0.07265,0.00408,0.01431,0.04878,0.00316,0.01174,0.50238,0.44796,0.94288,1.10636,1.11697
0.01,0.02,0.2,0.3,0.3,0.35,1.08282,0.01354,0.05961,0.94248,0.01256,0.0521,0.95934,0.9593,0.95167,1.07875,1.08377
