#: table_doi: 10.17182/hepdata.49385.v1/t13
#: name: Table 13
#: description: Normalised K+- production rates in Z0-->(U-UBAR,D-DBAR,S-SBAR) events.

#: data_file: Table13.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (K+ + K-) X
#: RE(Q=TOT),,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(D(N)/DP)/(D(N(Q=TOT))/DP) [PCT],stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,7.34,1.03,-1.03,0.95,-0.95
1.025,0.91,1.14,8.78,1.18,-1.18,1.13,-1.13
1.255,1.14,1.37,8.98,1.27,-1.27,1.22,-1.22
1.485,1.37,1.6,10.27,1.05,-1.05,0.93,-0.93
1.71,1.6,1.82,10.52,1.61,-1.61,1.48,-1.48
2.05,1.82,2.28,11.43,2.06,-2.06,1.98,-1.98
2.51,2.28,2.74,11.72,2.77,-2.77,2.69,-2.69
2.965,2.74,3.19,11.99,0.86,-0.86,0.76,-0.76
3.42,3.19,3.65,12.65,1.07,-1.07,1.01,-1.01
3.875,3.65,4.1,13.57,0.9,-0.9,0.82,-0.82
4.33,4.1,4.56,14.45,1.09,-1.09,1.0,-1.0
5.015,4.56,5.47,14.91,1.0,-1.0,0.92,-0.92
5.925,5.47,6.38,15.59,0.97,-0.97,0.76,-0.76
6.835,6.38,7.29,16.52,1.86,-1.86,1.53,-1.53
7.75,7.29,8.21,17.01,2.53,-2.53,2.0,-2.0
8.665,8.21,9.12,18.86,2.84,-2.84,2.65,-2.65
10.485,9.12,11.85,20.33,0.75,-0.75,0.68,-0.68
12.765,11.85,13.68,23.14,1.21,-1.21,1.09,-1.09
15.959999999999999,13.68,18.24,25.6,1.66,-1.66,1.58,-1.58
20.52,18.24,22.8,28.87,2.79,-2.79,2.62,-2.62
25.08,22.8,27.36,30.59,3.82,-3.82,3.34,-3.34
31.915,27.36,36.47,34.77,6.8,-6.8,5.79,-5.79
40.735,36.47,45.0,27.88,24.47,-24.47,18.19,-18.19

