#: table_doi: 10.17182/hepdata.49385.v1/t18
#: name: Table 18
#: description: Differential cross section for PI+- in Z0-->Q-QBAR events.

#: data_file: Table18.yaml
#: keyword reactions: E+ E- --> PI- X | E+ E- --> PI+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (PI+ + PI-) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,6.908,0.039,-0.039,0.239,-0.239
1.025,0.91,1.14,5.495,0.032,-0.032,0.101,-0.101
1.255,1.14,1.37,4.486,0.03,-0.03,0.095,-0.095
1.485,1.37,1.6,3.688,0.027,-0.027,0.055,-0.055
1.71,1.6,1.82,3.088,0.025,-0.025,0.051,-0.051
2.05,1.82,2.28,2.426,0.018,-0.018,0.046,-0.046
2.51,2.28,2.74,1.839,0.016,-0.016,0.043,-0.043
2.965,2.74,3.19,1.443,0.01,-0.01,0.027,-0.027
3.42,3.19,3.65,1.1517,0.0083,-0.0083,0.0257,-0.0257
3.875,3.65,4.1,0.9364,0.0072,-0.0072,0.0216,-0.0216
4.33,4.1,4.56,0.7714,0.0065,-0.0065,0.0183,-0.0183
5.015,4.56,5.47,0.5961,0.0042,-0.0042,0.0157,-0.0157
5.925,5.47,6.38,0.4306,0.0036,-0.0036,0.0124,-0.0124
6.835,6.38,7.29,0.3211,0.0032,-0.0032,0.0101,-0.0101
7.75,7.29,8.21,0.2464,0.003,-0.003,0.0082,-0.0082
8.665,8.21,9.12,0.1877,0.0024,-0.0024,0.007,-0.007
10.51,9.12,11.9,0.1194,0.0012,-0.0012,0.0045,-0.0045
12.8,11.9,13.7,0.06922,0.00096,-0.00096,0.00277,-0.00277
15.95,13.7,18.2,0.03661,0.00066,-0.00066,0.00154,-0.00154
20.5,18.2,22.8,0.0149,0.00042,-0.00042,0.00071,-0.00071
25.1,22.8,27.4,0.00673,0.0003,-0.0003,0.00037,-0.00037
31.95,27.4,36.5,0.00214,0.0002,-0.0002,0.00024,-0.00024
41.05,36.5,45.6,0.000298,8.4e-05,-8.4e-05,5.6e-05,-5.6e-05

