#: table_doi: 10.17182/hepdata.49385.v1/t26
#: name: Table 26
#: description: Differential cross section for PI+- in Z0-->B-BBAR events.

#: data_file: Table26.yaml
#: keyword reactions: E+ E- --> PI- X | E+ E- --> PI+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (PI+ + PI-) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,7.781,0.096,-0.096,0.246,-0.246
1.025,0.91,1.14,6.334,0.078,-0.078,0.102,-0.102
1.255,1.14,1.37,5.205,0.072,-0.072,0.098,-0.098
1.485,1.37,1.6,4.28,0.066,-0.066,0.06,-0.06
1.71,1.6,1.82,3.595,0.063,-0.063,0.056,-0.056
2.05,1.82,2.28,2.768,0.044,-0.044,0.047,-0.047
2.51,2.28,2.74,2.14,0.039,-0.039,0.047,-0.047
2.965,2.74,3.19,1.674,0.025,-0.025,0.031,-0.031
3.42,3.19,3.65,1.312,0.02,-0.02,0.027,-0.027
3.875,3.65,4.1,1.049,0.017,-0.017,0.022,-0.022
4.33,4.1,4.56,0.853,0.015,-0.015,0.019,-0.019
5.015,4.56,5.47,0.6166,0.0095,-0.0095,0.0138,-0.0138
5.925,5.47,6.38,0.4124,0.0077,-0.0077,0.0101,-0.0101
6.835,6.38,7.29,0.2861,0.0066,-0.0066,0.0079,-0.0079
7.75,7.29,8.21,0.201,0.0057,-0.0057,0.0058,-0.0058
8.665,8.21,9.12,0.1457,0.0044,-0.0044,0.0051,-0.0051
10.51,9.12,11.9,0.081,0.0018,-0.0018,0.0029,-0.0029
12.8,11.9,13.7,0.0409,0.0014,-0.0014,0.0018,-0.0018
15.95,13.7,18.2,0.01858,0.00093,-0.00093,0.00088,-0.00088
20.5,18.2,22.8,0.00629,0.00051,-0.00051,0.00042,-0.00042
25.1,22.8,27.4,0.00252,0.00035,-0.00035,0.00028,-0.00028
31.95,27.4,36.5,0.00081,0.0003,-0.0003,0.00018,-0.00018
41.05,36.5,45.6,1.6e-05,4.2e-05,-4.2e-05,1.3e-05,-1.3e-05

