#: table_doi: 10.17182/hepdata.49385.v1/t34
#: name: Table 34
#: description: Differential cross section for PI+- in Z0-->(U-UBAR,D-DBAR,S-SBAR) events.

#: data_file: Table34.yaml
#: keyword reactions: E+ E- --> PI- X | E+ E- --> PI+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (PI+ + PI-) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,6.65,0.13,-0.13,0.2,-0.2
1.025,0.91,1.14,5.231,0.065,-0.065,0.086,-0.086
1.255,1.14,1.37,4.245,0.061,-0.061,0.08,-0.08
1.485,1.37,1.6,3.487,0.043,-0.043,0.046,-0.046
1.71,1.6,1.82,2.902,0.04,-0.04,0.043,-0.043
2.05,1.82,2.28,2.296,0.031,-0.031,0.038,-0.038
2.51,2.28,2.74,1.729,0.03,-0.03,0.037,-0.037
2.965,2.74,3.19,1.351,0.019,-0.019,0.023,-0.023
3.42,3.19,3.65,1.101,0.017,-0.017,0.023,-0.023
3.875,3.65,4.1,0.901,0.014,-0.014,0.019,-0.019
4.33,4.1,4.56,0.747,0.013,-0.013,0.016,-0.016
5.015,4.56,5.47,0.59,0.01,-0.01,0.014,-0.014
5.925,5.47,6.38,0.4369,0.0083,-0.0083,0.0115,-0.0115
6.835,6.38,7.29,0.3324,0.007,-0.007,0.0094,-0.0094
7.75,7.29,8.21,0.2635,0.0062,-0.0062,0.0077,-0.0077
8.665,8.21,9.12,0.2037,0.005,-0.005,0.0066,-0.0066
10.51,9.12,11.9,0.1333,0.0031,-0.0031,0.0043,-0.0043
12.8,11.9,13.7,0.0812,0.0022,-0.0022,0.0027,-0.0027
15.95,13.7,18.2,0.0449,0.0014,-0.0014,0.0015,-0.0015
20.5,18.2,22.8,0.01938,0.00084,-0.00084,0.00073,-0.00073
25.1,22.8,27.4,0.0093,0.00057,-0.00057,0.00037,-0.00037
31.95,27.4,36.5,0.0029,0.0004,-0.0004,0.00028,-0.00028
41.05,36.5,45.6,0.00042,0.00015,-0.00015,6e-05,-6e-05

