#: table_doi: 10.17182/hepdata.49385.v1/t5
#: name: Table 5
#: description: Normalised K+- production rates in Z0-->Q-QBAR events.

#: data_file: Table5.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (K+ + K-) X
#: RE(Q=TOT),,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(D(N)/DP)/(D(N(Q=TOT))/DP) [PCT],stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,7.17,1.02,-1.02,0.95,-0.95
1.025,0.91,1.14,8.58,1.18,-1.18,1.14,-1.14
1.255,1.14,1.37,8.84,1.28,-1.28,1.24,-1.24
1.485,1.37,1.6,10.21,0.99,-0.99,0.91,-0.91
1.71,1.6,1.82,10.63,1.58,-1.58,1.49,-1.49
2.05,1.82,2.28,11.84,2.06,-2.06,2.01,-2.01
2.51,2.28,2.74,12.55,2.75,-2.75,2.69,-2.69
2.965,2.74,3.19,13.25,0.89,-0.89,0.8,-0.8
3.42,3.19,3.65,14.32,1.05,-1.05,0.99,-0.99
3.875,3.65,4.1,15.59,0.98,-0.98,0.91,-0.91
4.33,4.1,4.56,16.72,1.17,-1.17,1.09,-1.09
5.015,4.56,5.47,17.39,1.15,-1.15,1.09,-1.09
5.925,5.47,6.38,18.23,1.02,-1.02,0.84,-0.84
6.835,6.38,7.29,19.25,1.94,-1.94,1.67,-1.67
7.75,7.29,8.21,19.55,2.78,-2.78,2.37,-2.37
8.665,8.21,9.12,21.47,3.04,-3.04,2.89,-2.89
10.485,9.12,11.85,22.73,0.76,-0.76,0.69,-0.69
12.765,11.85,13.68,25.17,1.04,-1.04,0.93,-0.93
15.959999999999999,13.68,18.24,26.77,1.56,-1.56,1.49,-1.49
20.52,18.24,22.8,29.04,2.75,-2.75,2.63,-2.63
25.08,22.8,27.36,29.97,3.03,-3.03,2.62,-2.62
31.915,27.36,36.47,33.86,6.91,-6.91,6.24,-6.24
40.735,36.47,45.0,27.78,24.12,-24.12,20.12,-20.12

