#: table_doi: 10.17182/hepdata.48259.v1/t2
#: name: Table 2
#: description: Normalised momentum distribution for charged kaon production.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DSIG/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/SIG(C=HAD))*D(SIG)/DP [GEV**-1],stat +,stat -,sys +,sys -
0.276,0.271,0.281,0.363,0.03,-0.03,0.028,-0.028
0.287,0.281,0.292,0.373,0.027,-0.027,0.028,-0.028
0.298,0.292,0.304,0.367,0.024,-0.024,0.025,-0.025
0.311,0.304,0.317,0.374,0.022,-0.022,0.023,-0.023
0.324,0.317,0.331,0.375,0.021,-0.021,0.019,-0.019
0.339,0.331,0.346,0.41,0.02,-0.02,0.019,-0.019
0.354,0.346,0.362,0.431,0.02,-0.02,0.019,-0.019
0.371,0.362,0.379,0.418,0.018,-0.018,0.02,-0.02
0.388,0.379,0.397,0.456,0.018,-0.018,0.016,-0.016
0.406,0.397,0.416,0.499,0.018,-0.018,0.017,-0.017
0.426,0.416,0.436,0.514,0.017,-0.017,0.016,-0.016
0.447,0.436,0.457,0.486,0.011,-0.011,0.011,-0.011
0.469,0.457,0.48,0.522,0.011,-0.011,0.011,-0.011
0.492,0.48,0.504,0.541,0.011,-0.011,0.012,-0.012
0.516,0.504,0.528,0.539,0.011,-0.011,0.018,-0.018
0.542,0.528,0.555,0.557,0.011,-0.011,0.02,-0.02
0.569,0.555,0.583,0.587,0.011,-0.011,0.014,-0.014
0.597,0.583,0.612,0.59,0.01,-0.01,0.048,-0.048
0.627,0.612,0.643,0.586,0.01,-0.01,0.016,-0.016
0.659,0.643,0.675,0.591,0.01,-0.01,0.044,-0.044
0.692,0.675,0.709,0.614,0.009,-0.009,0.024,-0.024
0.727,0.709,0.745,0.597,0.009,-0.009,0.025,-0.025
0.764,0.745,0.783,0.613,0.009,-0.009,0.031,-0.031
4.48,4.05,4.95,0.181,0.004,-0.004,0.015,-0.015
5.46,4.95,6.05,0.138,0.003,-0.003,0.009,-0.009
6.67,6.05,7.38,0.103,0.001,-0.001,0.006,-0.006
8.15,7.38,9.02,0.0767,0.001,-0.001,0.0042,-0.0042
9.94,9.02,11.01,0.0536,0.0006,-0.0006,0.0029,-0.0029
12.13,11.01,13.45,0.0349,0.0005,-0.0005,0.0018,-0.0018
14.81,13.45,16.43,0.022,0.0003,-0.0003,0.0012,-0.0012
18.07,16.43,20.06,0.0127,0.0003,-0.0003,0.0007,-0.0007
23.79,20.06,29.93,0.0042,0.0001,-0.0001,0.0003,-0.0003
33.94,29.93,45.6,0.0004,0.0001,-0.0001,0.0001,-0.0001

