#: table_doi: 10.17182/hepdata.22177.v1/t3
#: name: Table 3
#: description: The charged kaon fraction and differential production rate per hadronic Z0 decay.

#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> Z0
#: keyword observables: DN/DX | N
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 91.28
#: RE(Q=K+-),,,E+ E- --> (K+ + K-) X
#: RE(Q=Z0),,,E+ E- --> Z0 < HADRONS >
#: SQRT(S) [GeV],,,91.28,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,N(Q=K+-)/N(Q=Z0),stat +,stat -,sys +,sys -
0.0153,0.014,0.016,0.072,0.002,-0.002,0.023,-0.023
0.0191,0.016,0.022,0.065,0.001,-0.001,0.005,-0.005
0.0246,0.022,0.027,0.082,0.001,-0.001,0.003,-0.003
0.0301,0.027,0.033,0.091,0.001,-0.001,0.002,-0.002
0.0356,0.033,0.038,0.101,0.001,-0.001,0.002,-0.002
0.0411,0.038,0.044,0.114,0.001,-0.001,0.003,-0.003
0.0465,0.044,0.049,0.123,0.001,-0.001,0.004,-0.004
0.0521,0.049,0.055,0.131,0.002,-0.002,0.004,-0.004
0.0576,0.055,0.06,0.139,0.002,-0.002,0.005,-0.005
0.063,0.06,0.066,0.147,0.002,-0.002,0.006,-0.006
0.0685,0.066,0.071,0.158,0.002,-0.002,0.008,-0.008
0.074,0.071,0.077,0.166,0.002,-0.002,0.009,-0.009
0.0795,0.077,0.082,0.166,0.003,-0.003,0.01,-0.01
0.08499999999999999,0.082,0.088,0.172,0.003,-0.003,0.01,-0.01
0.0931,0.088,0.099,0.181,0.002,-0.002,0.011,-0.011
0.104,0.099,0.11,0.196,0.003,-0.003,0.011,-0.011
0.115,0.11,0.121,0.216,0.004,-0.004,0.012,-0.012
0.131,0.121,0.143,0.216,0.003,-0.003,0.014,-0.014
0.153,0.143,0.164,0.199,0.005,-0.005,0.019,-0.019
0.175,0.164,0.186,0.23,0.009,-0.009,0.035,-0.035
0.197,0.186,0.208,0.232,0.004,-0.004,0.035,-0.035
0.2189,0.208,0.23,0.264,0.004,-0.004,0.017,-0.017
0.241,0.23,0.252,0.256,0.004,-0.004,0.008,-0.008
0.2629,0.252,0.274,0.267,0.004,-0.004,0.006,-0.006
0.2849,0.274,0.296,0.283,0.005,-0.005,0.004,-0.004
0.3068,0.296,0.318,0.29,0.005,-0.005,0.004,-0.004
0.3338,0.318,0.351,0.298,0.005,-0.005,0.004,-0.004
0.3666,0.351,0.384,0.309,0.006,-0.006,0.006,-0.006
0.3997,0.384,0.417,0.343,0.007,-0.007,0.008,-0.008
0.4325,0.417,0.45,0.345,0.008,-0.008,0.009,-0.009
0.4651,0.45,0.482,0.368,0.01,-0.01,0.011,-0.011
0.5035,0.482,0.526,0.384,0.011,-0.011,0.013,-0.013
0.547,0.526,0.57,0.411,0.016,-0.016,0.015,-0.015
0.6083,0.57,0.658,0.439,0.017,-0.017,0.017,-0.017
0.7047,0.658,0.768,0.431,0.032,-0.032,0.018,-0.018
0.8383,0.768,1.0,0.328,0.09,-0.09,0.042,-0.042
0.507,0.014,1.0,-,0,0,0,0

#: RE(Q=K+-),,,E+ E- --> (K+ + K-) X
#: RE(Q=Z0),,,E+ E- --> Z0 < HADRONS >
#: SQRT(S) [GeV],,,91.28,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/N(Q=Z0))*D(N(Q=K+-))/DX,stat +,stat -,sys +,sys -
0.0153,0.014,0.016,28.59,0.64,-0.64,9.26,-9.26
0.0191,0.016,0.022,21.57,0.2,-0.2,1.57,-1.57
0.0246,0.022,0.027,21.62,0.19,-0.19,0.8,-0.8
0.0301,0.027,0.033,19.65,0.18,-0.18,0.53,-0.53
0.0356,0.033,0.038,18.02,0.16,-0.16,0.44,-0.44
0.0411,0.038,0.044,17.27,0.17,-0.17,0.43,-0.43
0.0465,0.044,0.049,15.78,0.17,-0.17,0.47,-0.47
0.0521,0.049,0.055,14.664,0.194,-0.194,0.442,-0.442
0.0576,0.055,0.06,13.535,0.189,-0.189,0.503,-0.503
0.063,0.06,0.066,12.599,0.176,-0.176,0.558,-0.558
0.0685,0.066,0.071,12.036,0.165,-0.165,0.635,-0.635
0.074,0.071,0.077,11.349,0.162,-0.162,0.622,-0.622
0.0795,0.077,0.082,10.207,0.164,-0.164,0.603,-0.603
0.08499999999999999,0.082,0.088,9.571,0.16,-0.16,0.566,-0.566
0.0931,0.088,0.099,8.671,0.113,-0.113,0.505,-0.505
0.104,0.099,0.11,7.784,0.114,-0.114,0.44,-0.44
0.115,0.11,0.121,7.237,0.12,-0.12,0.395,-0.395
0.131,0.121,0.143,5.746,0.089,-0.089,0.369,-0.369
0.153,0.143,0.164,3.959,0.102,-0.102,0.381,-0.381
0.175,0.164,0.186,3.473,0.134,-0.134,0.532,-0.532
0.197,0.186,0.208,2.739,0.047,-0.047,0.419,-0.419
0.2189,0.208,0.23,2.452,0.037,-0.037,0.163,-0.163
0.241,0.23,0.252,1.903,0.03,-0.03,0.063,-0.063
0.2629,0.252,0.274,1.574,0.027,-0.027,0.036,-0.036
0.2849,0.274,0.296,1.36,0.024,-0.024,0.026,-0.026
0.3068,0.296,0.318,1.118,0.022,-0.022,0.02,-0.02
0.3338,0.318,0.351,0.89,0.016,-0.016,0.017,-0.017
0.3666,0.351,0.384,0.683,0.014,-0.014,0.016,-0.016
0.3997,0.384,0.417,0.567,0.013,-0.013,0.015,-0.015
0.4325,0.417,0.45,0.433,0.012,-0.012,0.014,-0.014
0.4651,0.45,0.482,0.351,0.011,-0.011,0.012,-0.012
0.5035,0.482,0.526,0.264,0.008,-0.008,0.01,-0.01
0.547,0.526,0.57,0.188,0.008,-0.008,0.008,-0.008
0.6083,0.57,0.658,0.122,0.005,-0.005,0.006,-0.006
0.7047,0.658,0.768,0.0485,0.0037,-0.0037,0.0027,-0.0027
0.8383,0.768,1.0,0.0078,0.0022,-0.0022,0.0011,-0.0011
0.507,0.014,1.0,2.074,0.006,-0.006,0.066,-0.066

