#: table_doi: 10.17182/hepdata.27192.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X
#: keyword observables: DSIG/DP | DSIG/DX
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 12.0
#: RE,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],12.0,,,,
P(P=3) [GEV],D(SIG)/DP(P=3) [NB/GEV],error +,error -,"sys,OVERALL NORMALIZATION UNCERTAINTY AT EACH ENERGY +","sys,OVERALL NORMALIZATION UNCERTAINTY AT EACH ENERGY -"
0.45,2.2,0.81,-0.81,20.0%,-20.0%
0.55,3.9,1.3,-1.3,20.0%,-20.0%
0.8,3.8,1.7,-1.7,20.0%,-20.0%

#: RE,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],12.0,,,,
P(P=3) [GEV],(S/BETA)*D(SIG)/DX [MUB/GEV**2],error +,error -,"sys,OVERALL NORMALIZATION UNCERTAINTY AT EACH ENERGY +","sys,OVERALL NORMALIZATION UNCERTAINTY AT EACH ENERGY -"
0.45,4.2,1.6,-1.6,20.0%,-20.0%
0.55,6.2,2.1,-2.1,20.0%,-20.0%
0.8,4.56,2.0,-2.0,20.0%,-20.0%

#: RE,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],12.0,,,,
P(P=3) [GEV],(E(P=3)/(4*PI*P(P=3)**2))*D(SIG)/DP(P=3),error +,error -,"sys,OVERALL NORMALIZATION UNCERTAINTY AT EACH ENERGY +","sys,OVERALL NORMALIZATION UNCERTAINTY AT EACH ENERGY -"
0.45,0.58,0.21,-0.21,20.0%,-20.0%
0.55,0.76,0.25,-0.25,20.0%,-20.0%
0.8,0.45,0.2,-0.2,20.0%,-20.0%

