#: table_doi: 10.17182/hepdata.1500.v1/t8
#: name: Table 8
#: description: No description provided.
#: data_file: Table8.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 34.0
#: RE,,,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],,,34.0,,,,
X(DEF=P(P=3)/P(P=1)),X(DEF=P(P=3)/P(P=1)) LOW,X(DEF=P(P=3)/P(P=1)) HIGH,(D(SIG)/D(X))/SIG(NAME=TOTAL),error +,error -,"sys,Overall normalization error +","sys,Overall normalization error -"
0.02,0.0171,0.0229,7.5,0.5,-0.5,6.0%,-6.0%
0.0257,0.0229,0.0286,10.0,0.9,-0.9,6.0%,-6.0%
0.0314,0.0286,0.0343,16.1,1.2,-1.2,6.0%,-6.0%
0.0371,0.0343,0.04,14.9,1.7,-1.7,6.0%,-6.0%
0.0429,0.04,0.0457,13.3,3.0,-3.0,6.0%,-6.0%
0.0514,0.0457,0.0571,12.1,2.8,-2.8,6.0%,-6.0%
0.0726,0.0571,0.0914,10.5,2.3,-2.3,6.0%,-6.0%
0.102,0.0914,0.114,6.3,2.8,-2.8,6.0%,-6.0%
0.191,0.171,0.217,3.57,0.61,-0.61,6.0%,-6.0%
0.271,0.217,0.343,1.75,0.28,-0.28,6.0%,-6.0%
0.73,0.571,0.971,0.05,0.02,-0.02,6.0%,-6.0%

