#: table_doi: 10.17182/hepdata.48315.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> HADRONS | E+ E- --> PBAR X | E+ E- --> P X
#: keyword observables: DSIG/DZ
#: keyword phrases: Exclusive | Inclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 0.216
#: RE,,,E+ E- --> (P + PBAR) X
#: SQRT(S) [GeV],,,0.216
Z(DEF=P(P=1)/P(P=3)),Z(DEF=P(P=1)/P(P=3)) LOW,Z(DEF=P(P=1)/P(P=3)) HIGH,(1/SIG) D(SIG)/DZ,stat +,stat -,sys +,sys -
0.010499999999999999,0.01,0.011,8.32,0.35,-0.35,0.0,-0.0
0.0115,0.011,0.012,8.95,0.36,-0.36,0.0,-0.0
0.0125,0.012,0.013,9.8,0.36,-0.36,0.01,-0.01
0.0135,0.013,0.014,10.3,0.38,-0.38,0.01,-0.01
0.0147,0.014,0.016,10.7,0.26,-0.26,0.01,-0.01
0.0167,0.016,0.018,11.58,0.27,-0.27,0.04,-0.04
0.0247,0.024,0.026,12.37,0.18,-0.18,0.23,-0.23
0.0268,0.026,0.028,12.46,0.18,-0.18,0.44,-0.44
0.0719,0.07,0.075,5.315,0.216,-0.216,0.876,-0.876
0.0769,0.075,0.08,5.008,0.183,-0.183,0.639,-0.639
0.0819,0.08,0.085,4.445,0.162,-0.162,0.549,-0.549
0.087,0.085,0.09,4.555,0.154,-0.154,0.474,-0.474
0.0942,0.09,0.1,3.742,0.092,-0.092,0.355,-0.355
0.104,0.1,0.11,3.355,0.084,-0.084,0.292,-0.292
0.114,0.11,0.12,2.905,0.077,-0.077,0.232,-0.232
0.124,0.12,0.13,2.653,0.072,-0.072,0.205,-0.205
0.134,0.13,0.14,2.371,0.068,-0.068,0.178,-0.178
0.144,0.14,0.15,2.137,0.064,-0.064,0.162,-0.162
0.154,0.15,0.16,1.878,0.061,-0.061,0.146,-0.146
0.169,0.16,0.18,1.696,0.041,-0.041,0.118,-0.118
0.189,0.18,0.2,1.299,0.036,-0.036,0.099,-0.099
0.222,0.2,0.25,0.966,0.02,-0.02,0.073,-0.073
0.272,0.25,0.3,0.614,0.017,-0.017,0.054,-0.054
0.342,0.3,0.4,0.305,0.009,-0.009,0.031,-0.031
0.476,0.4,0.6,0.0784,0.0034,-0.0034,0.011,-0.011
0.674,0.6,0.8,0.0054,0.0011,-0.0011,0.0022,-0.0022

