#: table_doi: 10.17182/hepdata.49385.v1/t10
#: name: Table 10
#: description: Normalised P PBAR production rates in Z0-->B-BBAR events.

#: data_file: Table10.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (P + PBAR) X
#: RE(Q=TOT),,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(D(N)/DP)/(D(N(Q=TOT))/DP) [PCT],stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,3.65,0.84,-0.84,0.78,-0.78
1.025,0.91,1.14,4.2,0.81,-0.81,0.68,-0.68
1.255,1.14,1.37,3.99,1.06,-1.06,0.82,-0.82
1.485,1.37,1.6,4.94,0.96,-0.96,0.54,-0.54
1.71,1.6,1.82,5.36,0.86,-0.86,0.58,-0.58
2.05,1.82,2.28,6.0,0.88,-0.88,0.65,-0.65
2.51,2.28,2.74,5.06,0.82,-0.82,0.74,-0.74
2.965,2.74,3.19,4.78,0.59,-0.59,0.57,-0.57
3.42,3.19,3.65,4.96,0.65,-0.65,0.59,-0.59
3.875,3.65,4.1,5.54,0.78,-0.78,0.68,-0.68
4.33,4.1,4.56,5.6,0.99,-0.99,0.87,-0.87
5.015,4.56,5.47,7.11,0.91,-0.91,0.68,-0.68
5.925,5.47,6.38,9.16,1.69,-1.69,1.21,-1.21
6.835,6.38,7.29,10.34,3.1,-3.1,1.2,-1.2
7.75,7.29,8.21,11.5,5.13,-5.13,2.42,-2.42
8.665,8.21,9.12,11.38,3.32,-3.32,1.72,-1.72
10.485,9.12,11.85,10.88,1.64,-1.64,1.25,-1.25
12.765,11.85,13.68,10.43,1.49,-1.49,0.94,-0.94
15.959999999999999,13.68,18.24,7.87,1.11,-1.11,0.71,-0.71
20.52,18.24,22.8,5.71,1.34,-1.34,0.91,-0.91
25.08,22.8,27.36,4.72,2.05,-2.05,1.15,-1.15
31.915,27.36,36.47,4.08,5.28,-5.28,3.7,-3.7
40.735,36.47,45.0,29.72,137.3,-137.3,113.0,-113.0

