#: table_doi: 10.17182/hepdata.49385.v1/t14
#: name: Table 14
#: description: Normalised P PBAR production rates in Z0-->(U-UBAR,D-DBAR,S-SBAR) events.

#: data_file: Table14.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (P + PBAR) X
#: RE(Q=TOT),,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(D(N)/DP)/(D(N(Q=TOT))/DP) [PCT],stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,4.3,1.06,-1.06,1.04,-1.04
1.025,0.91,1.14,5.1,1.06,-1.06,1.0,-1.0
1.255,1.14,1.37,5.02,1.05,-1.05,0.93,-0.93
1.485,1.37,1.6,6.4,0.89,-0.89,0.71,-0.71
1.71,1.6,1.82,7.13,0.96,-0.96,0.85,-0.85
2.05,1.82,2.28,8.4,0.88,-0.88,0.76,-0.76
2.51,2.28,2.74,7.45,0.91,-0.91,0.86,-0.86
2.965,2.74,3.19,7.17,0.79,-0.79,0.78,-0.78
3.42,3.19,3.65,7.62,0.78,-0.78,0.73,-0.73
3.875,3.65,4.1,8.31,1.03,-1.03,0.98,-0.98
4.33,4.1,4.56,7.99,1.17,-1.17,1.1,-1.1
5.015,4.56,5.47,9.11,0.9,-0.9,0.81,-0.81
5.925,5.47,6.38,9.91,1.42,-1.42,1.25,-1.25
6.835,6.38,7.29,10.0,1.92,-1.92,1.47,-1.47
7.75,7.29,8.21,10.55,2.48,-2.48,1.57,-1.57
8.665,8.21,9.12,10.41,2.09,-2.09,1.61,-1.61
10.485,9.12,11.85,10.22,1.18,-1.18,1.07,-1.07
12.765,11.85,13.68,10.84,1.4,-1.4,1.27,-1.27
15.959999999999999,13.68,18.24,9.74,1.15,-1.15,1.03,-1.03
20.52,18.24,22.8,9.7,1.71,-1.71,1.57,-1.57
25.08,22.8,27.36,8.74,2.03,-2.03,1.71,-1.71
31.915,27.36,36.47,6.76,2.71,-2.71,2.09,-2.09
40.735,36.47,45.0,8.17,5.93,-5.93,4.2,-4.2

