#: table_doi: 10.17182/hepdata.49385.v1/t22
#: name: Table 22
#: description: Differential cross section for P PBAR in Z0-->Q-QBAR events.

#: data_file: Table22.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (P + PBAR) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,0.32,0.016,-0.016,0.072,-0.072
1.025,0.91,1.14,0.308,0.018,-0.018,0.053,-0.053
1.255,1.14,1.37,0.249,0.022,-0.022,0.043,-0.043
1.485,1.37,1.6,0.263,0.021,-0.021,0.03,-0.03
1.71,1.6,1.82,0.249,0.015,-0.015,0.027,-0.027
2.05,1.82,2.28,0.232,0.012,-0.012,0.021,-0.021
2.51,2.28,2.74,0.1566,0.0062,-0.0062,0.0175,-0.0175
2.965,2.74,3.19,0.1198,0.0034,-0.0034,0.0123,-0.0123
3.42,3.19,3.65,0.1028,0.0036,-0.0036,0.0097,-0.0097
3.875,3.65,4.1,0.0934,0.0036,-0.0036,0.0108,-0.0108
4.33,4.1,4.56,0.0758,0.0035,-0.0035,0.0097,-0.0097
5.015,4.56,5.47,0.0695,0.0027,-0.0027,0.0066,-0.0066
5.925,5.47,6.38,0.0579,0.0036,-0.0036,0.0069,-0.0069
6.835,6.38,7.29,0.0457,0.0054,-0.0054,0.0062,-0.0062
7.75,7.29,8.21,0.0382,0.0065,-0.0065,0.0063,-0.0063
8.665,8.21,9.12,0.0299,0.0038,-0.0038,0.0046,-0.0046
10.51,9.12,11.9,0.0193,0.001,-0.001,0.0021,-0.0021
12.8,11.9,13.7,0.01246,0.00076,-0.00076,0.0014,-0.0014
15.95,13.7,18.2,0.00616,0.00036,-0.00036,0.00065,-0.00065
20.5,18.2,22.8,0.0026,0.00021,-0.00021,0.00044,-0.00044
25.1,22.8,27.4,0.00106,0.00015,-0.00015,0.00023,-0.00023
31.95,27.4,36.5,0.000269,8.4e-05,-8.4e-05,0.000107,-0.000107
41.05,36.5,45.6,4.6e-05,5.9e-05,-5.9e-05,2.8e-05,-2.8e-05

