#: table_doi: 10.17182/hepdata.49385.v1/t30
#: name: Table 30
#: description: Differential cross section for P PBAR in Z0-->B-BBAR events.

#: data_file: Table30.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (P + PBAR) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,0.303,0.051,-0.051,0.066,-0.066
1.025,0.91,1.14,0.305,0.053,-0.053,0.05,-0.05
1.255,1.14,1.37,0.331,0.049,-0.049,0.068,-0.068
1.485,1.37,1.6,0.266,0.066,-0.066,0.029,-0.029
1.71,1.6,1.82,0.257,0.049,-0.049,0.028,-0.028
2.05,1.82,2.28,0.284,0.042,-0.042,0.03,-0.03
2.51,2.28,2.74,0.176,0.026,-0.026,0.025,-0.025
2.965,2.74,3.19,0.117,0.016,-0.016,0.014,-0.014
3.42,3.19,3.65,0.093,0.016,-0.016,0.011,-0.011
3.875,3.65,4.1,0.092,0.015,-0.015,0.011,-0.011
4.33,4.1,4.56,0.072,0.016,-0.016,0.011,-0.011
5.015,4.56,5.47,0.079,0.01,-0.01,0.008,-0.008
5.925,5.47,6.38,0.075,0.012,-0.012,0.01,-0.01
6.835,6.38,7.29,0.06,0.019,-0.019,0.007,-0.007
7.75,7.29,8.21,0.044,0.022,-0.022,0.009,-0.009
8.665,8.21,9.12,0.034,0.011,-0.011,0.005,-0.005
10.51,9.12,11.9,0.0173,0.0029,-0.0029,0.0021,-0.0021
12.8,11.9,13.7,0.0089,0.0018,-0.0018,0.0009,-0.0009
15.95,13.7,18.2,0.00371,0.00071,-0.00071,0.00037,-0.00037
20.5,18.2,22.8,0.00102,0.00033,-0.00033,0.00017,-0.00017
25.1,22.8,27.4,0.00027,0.00019,-0.00019,7e-05,-7e-05
31.95,27.4,36.5,8.3e-05,7.4e-05,-7.4e-05,7.7e-05,-7.7e-05
41.05,36.5,45.6,4.5e-06,6e-06,-6e-06,1.73e-05,-1.73e-05

