#: table_doi: 10.17182/hepdata.49385.v1/t38
#: name: Table 38
#: description: Differential cross section for P PBAR in Z0-->(U-UBAR,D-DBAR,S-SBAR) events.

#: data_file: Table38.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (P + PBAR) X
#: RE(Q=HAD),,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/N(C=HAD))*D(N)/DP,stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,0.354,0.028,-0.028,0.075,-0.075
1.025,0.91,1.14,0.317,0.031,-0.031,0.054,-0.054
1.255,1.14,1.37,0.219,0.035,-0.035,0.035,-0.035
1.485,1.37,1.6,0.251,0.025,-0.025,0.024,-0.024
1.71,1.6,1.82,0.243,0.018,-0.018,0.025,-0.025
2.05,1.82,2.28,0.208,0.015,-0.015,0.017,-0.017
2.51,2.28,2.74,0.1451,0.0082,-0.0082,0.0145,-0.0145
2.965,2.74,3.19,0.12,0.0021,-0.0021,0.0113,-0.0113
3.42,3.19,3.65,0.1043,0.003,-0.003,0.0088,-0.0088
3.875,3.65,4.1,0.0914,0.0041,-0.0041,0.0093,-0.0093
4.33,4.1,4.56,0.0762,0.0035,-0.0035,0.0091,-0.0091
5.015,4.56,5.47,0.0655,0.0036,-0.0036,0.0052,-0.0052
5.925,5.47,6.38,0.0552,0.0048,-0.0048,0.0061,-0.0061
6.835,6.38,7.29,0.0419,0.0066,-0.0066,0.0054,-0.0054
7.75,7.29,8.21,0.0345,0.0077,-0.0077,0.0045,-0.0045
8.665,8.21,9.12,0.0277,0.0049,-0.0049,0.0037,-0.0037
10.51,9.12,11.9,0.0204,0.0013,-0.0013,0.0019,-0.0019
12.8,11.9,13.7,0.0132,0.001,-0.001,0.0014,-0.0014
15.95,13.7,18.2,0.00681,0.00048,-0.00048,0.00065,-0.00065
20.5,18.2,22.8,0.00315,0.00028,-0.00028,0.00045,-0.00045
25.1,22.8,27.4,0.00143,0.00021,-0.00021,0.00024,-0.00024
31.95,27.4,36.5,0.00027,0.00014,-0.00014,7e-05,-7e-05
41.05,36.5,45.6,7e-05,0.00029,-0.00029,3e-05,-3e-05

