#: table_doi: 10.17182/hepdata.49385.v1/t6
#: name: Table 6
#: description: Normalised P PBAR production rates in Z0-->Q-QBAR events.

#: data_file: Table6.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (P + PBAR) X
#: RE(Q=TOT),,,E+ E- --> CHARGED X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(D(N)/DP)/(D(N(Q=TOT))/DP) [PCT],stat +,stat -,sys +,sys -
0.8049999999999999,0.7,0.91,4.11,0.93,-0.93,0.92,-0.92
1.025,0.91,1.14,4.85,0.87,-0.87,0.84,-0.84
1.255,1.14,1.37,4.71,0.9,-0.9,0.82,-0.82
1.485,1.37,1.6,5.97,0.79,-0.79,0.67,-0.67
1.71,1.6,1.82,6.61,0.79,-0.79,0.7,-0.7
2.05,1.82,2.28,7.68,0.77,-0.77,0.69,-0.69
2.51,2.28,2.74,6.73,0.79,-0.79,0.75,-0.75
2.965,2.74,3.19,6.46,0.68,-0.68,0.66,-0.66
3.42,3.19,3.65,6.83,0.67,-0.67,0.63,-0.63
3.875,3.65,4.1,7.46,0.89,-0.89,0.85,-0.85
4.33,4.1,4.56,7.23,0.96,-0.96,0.91,-0.91
5.015,4.56,5.47,8.37,0.82,-0.82,0.77,-0.77
5.925,5.47,6.38,9.4,1.21,-1.21,1.09,-1.09
6.835,6.38,7.29,9.7,1.64,-1.64,1.29,-1.29
7.75,7.29,8.21,10.37,2.29,-2.29,1.67,-1.67
8.665,8.21,9.12,10.3,1.88,-1.88,1.54,-1.54
10.485,9.12,11.85,10.12,1.12,-1.12,1.04,-1.04
12.765,11.85,13.68,10.75,1.24,-1.24,1.14,-1.14
15.959999999999999,13.68,18.24,9.71,1.04,-1.04,0.95,-0.95
20.52,18.24,22.8,9.54,1.68,-1.68,1.58,-1.58
25.08,22.8,27.36,8.72,2.11,-2.11,1.88,-1.88
31.915,27.36,36.47,7.0,3.16,-3.16,2.72,-2.72
40.735,36.47,45.0,8.68,6.69,-6.69,5.16,-5.16

