#: table_doi: 10.17182/hepdata.48259.v1/t3
#: name: Table 3
#: description: Normalised momentum distribution for proton / antiproton production.

#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DSIG/DP
#: keyword phrases: Inclusive | Exclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 91.2
#: RE,,,E+ E- --> (P + PBAR) X
#: SQRT(S) [GeV],,,91.2,,,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,(1/SIG(C=HAD))*D(SIG)/DP [GEV**-1],stat +,stat -,sys +,sys -
0.414,0.406,0.421,0.169,0.01,-0.01,0.013,-0.013
0.429,0.421,0.438,0.174,0.009,-0.009,0.015,-0.015
0.447,0.438,0.456,0.171,0.009,-0.009,0.012,-0.012
0.465,0.456,0.475,0.185,0.008,-0.008,0.015,-0.015
0.485,0.475,0.495,0.181,0.008,-0.008,0.006,-0.006
0.506,0.495,0.517,0.202,0.008,-0.008,0.01,-0.01
0.529,0.517,0.541,0.215,0.008,-0.008,0.012,-0.012
0.5529999999999999,0.541,0.565,0.228,0.008,-0.008,0.014,-0.014
0.579,0.565,0.592,0.23,0.008,-0.008,0.01,-0.01
0.606,0.592,0.62,0.23,0.008,-0.008,0.007,-0.007
0.635,0.62,0.65,0.236,0.007,-0.007,0.012,-0.012
0.665,0.65,0.681,0.239,0.007,-0.007,0.008,-0.008
0.698,0.681,0.714,0.246,0.007,-0.007,0.006,-0.006
0.732,0.714,0.75,0.248,0.007,-0.007,0.009,-0.009
0.768,0.75,0.787,0.248,0.004,-0.004,0.009,-0.009
0.806,0.787,0.826,0.254,0.004,-0.004,0.008,-0.008
0.846,0.826,0.867,0.26,0.004,-0.004,0.007,-0.007
0.889,0.867,0.911,0.26,0.004,-0.004,0.007,-0.007
0.933,0.911,0.957,0.257,0.004,-0.004,0.006,-0.006
0.98,0.957,1.005,0.263,0.004,-0.004,0.007,-0.007
1.03,1.005,1.056,0.257,0.004,-0.004,0.021,-0.021
1.082,1.056,1.109,0.256,0.004,-0.004,0.027,-0.027
1.137,1.109,1.166,0.257,0.004,-0.004,0.029,-0.029
1.195,1.166,1.225,0.248,0.004,-0.004,0.027,-0.027
1.256,1.225,1.287,0.241,0.004,-0.004,0.017,-0.017
1.3199999999999998,1.287,1.353,0.25,0.004,-0.004,0.016,-0.016
1.387,1.353,1.422,0.245,0.004,-0.004,0.021,-0.021
4.47,4.05,4.95,0.0606,0.0036,-0.0036,0.0129,-0.0129
5.46,4.95,6.04,0.0517,0.0029,-0.0029,0.0062,-0.0062
6.67,6.04,7.38,0.0352,0.0011,-0.0011,0.0031,-0.0031
8.14,7.38,9.01,0.0214,0.0011,-0.0011,0.0023,-0.0023
9.94,9.01,11.01,0.0152,0.0006,-0.0006,0.0021,-0.0021
12.12,11.01,13.44,0.0093,0.0004,-0.0004,0.0013,-0.0013
14.8,13.44,16.42,0.0045,0.0003,-0.0003,0.0006,-0.0006
18.05,16.42,20.05,0.0015,0.0002,-0.0002,0.0005,-0.0005
23.78,20.05,29.9,0.00056,5e-05,-5e-05,0.00014,-0.00014
33.92,29.9,45.6,1.5e-05,4e-06,-4e-06,2.6e-05,-2.6e-05

