#: table_doi: 10.17182/hepdata.22177.v1/t4
#: name: Table 4
#: description: The proton plus antiproton fraction and differential production rate per hadronic Z0 decay.

#: data_file: Table4.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0
#: keyword observables: DN/DX | N
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.28
#: RE(Q=PPBAR),,,E+ E- --> (P + PBAR) X
#: RE(Q=Z0),,,E+ E- --> Z0 < HADRONS >
#: SQRT(S) [GeV],,,91.28,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,N(Q=PPBAR)/N(Q=Z0),stat +,stat -,sys +,sys -
0.0153,0.014,0.016,0.036,0.001,-0.001,0.013,-0.013
0.0191,0.016,0.022,0.052,0.001,-0.001,0.008,-0.008
0.0246,0.022,0.027,0.052,0.001,-0.001,0.009,-0.009
0.0301,0.027,0.033,0.052,0.001,-0.001,0.006,-0.006
0.0356,0.033,0.038,0.06,0.001,-0.001,0.003,-0.003
0.0411,0.038,0.044,0.06,0.001,-0.001,0.002,-0.002
0.0465,0.044,0.049,0.06,0.001,-0.001,0.002,-0.002
0.0521,0.049,0.055,0.066,0.001,-0.001,0.003,-0.003
0.0576,0.055,0.06,0.068,0.001,-0.001,0.003,-0.003
0.063,0.06,0.066,0.067,0.001,-0.001,0.003,-0.003
0.0685,0.066,0.071,0.07,0.001,-0.001,0.003,-0.003
0.074,0.071,0.077,0.073,0.002,-0.002,0.003,-0.003
0.0795,0.077,0.082,0.069,0.002,-0.002,0.004,-0.004
0.08499999999999999,0.082,0.088,0.074,0.002,-0.002,0.005,-0.005
0.0931,0.088,0.099,0.076,0.002,-0.002,0.006,-0.006
0.104,0.099,0.11,0.076,0.002,-0.002,0.008,-0.008
0.115,0.11,0.121,0.077,0.002,-0.002,0.011,-0.011
0.131,0.121,0.143,0.081,0.003,-0.003,0.015,-0.015
0.153,0.143,0.164,0.097,0.005,-0.005,0.023,-0.023
0.175,0.164,0.186,0.106,0.009,-0.009,0.039,-0.039
0.197,0.186,0.208,0.074,0.004,-0.004,0.022,-0.022
0.2189,0.208,0.23,0.098,0.003,-0.003,0.019,-0.019
0.241,0.23,0.252,0.104,0.003,-0.003,0.008,-0.008
0.2629,0.252,0.274,0.108,0.004,-0.004,0.007,-0.007
0.2849,0.274,0.296,0.106,0.004,-0.004,0.007,-0.007
0.3068,0.296,0.318,0.109,0.004,-0.004,0.006,-0.006
0.3338,0.318,0.351,0.12,0.004,-0.004,0.006,-0.006
0.3666,0.351,0.384,0.115,0.004,-0.004,0.005,-0.005
0.3997,0.384,0.417,0.105,0.004,-0.004,0.005,-0.005
0.4325,0.417,0.45,0.113,0.005,-0.005,0.004,-0.004
0.4651,0.45,0.482,0.1,0.006,-0.006,0.003,-0.003
0.5035,0.482,0.526,0.1,0.005,-0.005,0.003,-0.003
0.547,0.526,0.57,0.103,0.007,-0.007,0.003,-0.003
0.6083,0.57,0.658,0.087,0.006,-0.006,0.003,-0.003
0.7047,0.658,0.768,0.083,0.009,-0.009,0.004,-0.004
0.8383,0.768,1.0,0.062,0.014,-0.014,0.005,-0.005
0.507,0.014,1.0,-,0,0,0,0

#: RE(Q=PPBAR),,,E+ E- --> (P + PBAR) X
#: RE(Q=Z0),,,E+ E- --> Z0 < HADRONS >
#: SQRT(S) [GeV],,,91.28,,,,
X(DEF=2*P(P=3)/SQRT(S)),X(DEF=2*P(P=3)/SQRT(S)) LOW,X(DEF=2*P(P=3)/SQRT(S)) HIGH,(1/N(Q=Z0))*D(N(Q=PPBAR))/DX,stat +,stat -,sys +,sys -
0.0153,0.014,0.016,14.51,0.52,-0.52,5.08,-5.08
0.0191,0.016,0.022,17.32,0.27,-0.27,2.58,-2.58
0.0246,0.022,0.027,13.75,0.29,-0.29,2.5,-2.5
0.0301,0.027,0.033,11.12,0.17,-0.17,1.24,-1.24
0.0356,0.033,0.038,10.75,0.14,-0.14,0.47,-0.47
0.0411,0.038,0.044,9.048,0.123,-0.123,0.35,-0.35
0.0465,0.044,0.049,7.669,0.117,-0.117,0.298,-0.298
0.0521,0.049,0.055,7.41,0.113,-0.113,0.294,-0.294
0.0576,0.055,0.06,6.587,0.109,-0.109,0.259,-0.259
0.063,0.06,0.066,5.788,0.105,-0.105,0.238,-0.238
0.0685,0.066,0.071,5.344,0.1,-0.1,0.228,-0.228
0.074,0.071,0.077,4.987,0.104,-0.104,0.229,-0.229
0.0795,0.077,0.082,4.278,0.1,-0.1,0.242,-0.242
0.08499999999999999,0.082,0.088,4.117,0.101,-0.101,0.253,-0.253
0.0931,0.088,0.099,3.633,0.072,-0.072,0.269,-0.269
