#: table_doi: 10.17182/hepdata.22177.v1/t7,,,
#: name: Table 7,,,
#: description: Differential production rates of charged protons plus antiprotons per Z0 decay into light (u,d,s) and c and b quarks. The errors are combined statistical and systematic.,
,,,
#: data_file: Table7.yaml,,,
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X | E+ E- --> Z0,,,
#: keyword observables: DN/DX,,,
#: keyword phrases: Inclusive | Exclusive | Single Differential Distribution | E+ E- Scattering,,,
#: keyword cmenergies: 91.28,,,
#: RE(Q=PPBAR),E+ E- --> (P + PBAR) X,,
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >,,
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >,,
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >,,
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZL))*D(N(Q=PBAR))/DX,error +,error -
0.0153,13.98,0.99,-0.99
0.0191,17.63,0.58,-0.58
0.0246,13.42,0.6,-0.6
0.0301,10.57,0.36,-0.36
0.0356,9.98,0.31,-0.31
0.0411,8.37,0.26,-0.26
0.0465,7.33,0.24,-0.24
0.0521,7.79,0.23,-0.23
0.0576,6.62,0.22,-0.22
0.063,5.88,0.2,-0.2
0.0685,5.39,0.19,-0.19
0.074,5.22,0.19,-0.19
0.0795,4.42,0.18,-0.18
0.085,4.44,0.19,-0.19
0.0931,3.65,0.13,-0.13
0.104,3.11,0.13,-0.13
0.115,2.73,0.15,-0.15
0.131,2.15,0.12,-0.12
0.153,1.83,0.16,-0.16
0.175,1.84,0.24,-0.24
0.197,0.905,0.078,-0.078
0.2189,1.065,0.054,-0.054
0.241,0.822,0.044,-0.044
0.2629,0.762,0.038,-0.038
0.2849,0.628,0.033,-0.033
0.3068,0.486,0.029,-0.029
0.3338,0.446,0.022,-0.022
0.3666,0.306,0.018,-0.018
0.3997,0.23,0.015,-0.015
0.4325,0.197,0.013,-0.013
0.4651,0.145,0.011,-0.011
0.5035,0.108,0.008,-0.008
0.547,0.07,0.006,-0.006
0.6083,0.036,0.003,-0.003
0.7047,0.013,0.002,-0.002
0.8383,0.003,0.001,-0.001
-,1.008,0.038,-0.038
,,,
#: RE(Q=PPBAR),E+ E- --> (P + PBAR) X,,
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >,,
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >,,
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >,,
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZC))*D(N(Q=PBAR))/DX,error +,error -
0.0153,13.28,2.94,-2.94
0.0191,15.22,1.89,-1.89
0.0246,13.32,1.86,-1.86
0.0301,9.6,1.16,-1.16
0.0356,11.64,1.01,-1.01
0.0411,10.07,0.87,-0.87
0.0465,8.1,0.76,-0.76
0.0521,6.09,0.72,-0.72
0.0576,6.54,0.67,-0.67
0.063,6.36,0.63,-0.63
0.0685,4.62,0.59,-0.59
0.074,4.43,0.58,-0.58
0.0795,4.08,0.55,-0.55
0.085,3.67,0.55,-0.55
0.0931,4.07,0.42,-0.42
0.104,2.98,0.41,-0.41
0.115,2.3,0.43,-0.43
0.131,2.39,0.36,-0.36
0.153,1.72,0.5,-0.5
0.175,0.31,0.71,-0.71
0.197,0.561,0.235,-0.235
0.2189,0.978,0.163,-0.163
0.241,0.907,0.136,-0.136
0.2629,0.652,0.116,-0.116
0.2849,0.572,0.101,-0.101
0.3068,0.494,0.089,-0.089
0.3338,0.454,0.069,-0.069
0.3666,0.314,0.054,-0.054
0.3997,0.17,0.041,-0.041
0.4325,0.103,0.033,-0.033
0.4651,0.064,0.028,-0.028
0.5035,0.015,0.018,-0.018
0.547,0.044,0.017,-0.017
0.6083,0.007,0.007,-0.007
0.7047,0.015,0.005,-0.005
0.8383,0.001,0.002,-0.002
-,0.93,0.056,-0.056
,,,
#: RE(Q=PPBAR),E+ E- --> (P + PBAR) X,,
#: RE(Q=ZB),E+ E- --> Z0 < BQUARK BQUARKBAR >,,
#: RE(Q=ZC),E+ E- --> Z0 < CQUARK CQUARKBAR >,,
#: RE(Q=ZL),E+ E- --> Z0 < LQUARK LQUARKBAR >,,
#: SQRT(S) [GeV],91.28,,
X(DEF=2*P(P=3)/SQRT(S)),(1/N(Q=ZB))*D(N(Q=PBAR))/DX,error +,error -
0.0153,13.79,1.49,-1.49
0.0191,17.93,0.78,-0.78
0.0246,16.41,0.93,-0.93
0.0301,12.11,0.52,-0.52
0.0356,10.32,0.42,-0.42
0.0411,9.52,0.4,-0.4
0.0465,7.72,0.36,-0.36
0.0521,6.86,0.32,-0.32
0.0576,6.19,0.32,-0.32
0.063,4.96,0.29,-0.29
0.0685,4.82,0.29,-0.29
0.074,4.57,0.29,-0.29
0.0795,4.07,0.29,-0.29
0.085,3.82,0.29,-0.29
0.0931,3.29,0.21,-0.21
0.104,2.68,0.22,-0.22
0.115,2.24,0.23,-0.23
0.131,1.84,0.19,-0.19
0.153,1.91,0.27,-0.27
0.175,1.25,0.36,-0.36
0.197,0.867,0.121,-0.121
0.2189,0.739,0.072,-0.072
0.241,0.645,0.06,-0.06
0.2629,0.392,0.047,-0.047
0.2849,0.252,0.038,-0.038
0.3068,0.266,0.035,-0.035
0.3338,0.146,0.022,-0.022
0.3666,0.102,0.018,-0.018
0.3997,0.02,0.012,-0.012
0.4325,0.034,0.011,-0.011
0.4651,-0.004,0.007,-0.007
0.5035,0.016,0.006,-0.006
0.547,-0.003,0.003,-0.003
0.6083,0.004,0.002,-0.002
0.7047,-0.001,0.001,-0.001
0.8383,0.909,0.037,-0.037
-,,,
