#: table_doi: 10.17182/hepdata.2143.v1/t6
#: name: Table 6
#: description: No description provided.
#: data_file: Table6.yaml
#: keyword reactions: E+ E- --> PBAR X | E+ E- --> P X
#: keyword observables: DSIG/DP
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering
#: keyword cmenergies: 22.0
#: RE,,,E+ E- --> (P + PBAR) X
#: SQRT(S) [GeV],,,22.0,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,D(SIG)/D(P) [NB/GEV],error +,error -
0.45,0.4,0.5,0.13,0.05,-0.05
0.55,0.5,0.6,0.08,0.04,-0.04
0.6499999999999999,0.6,0.7,0.16,0.05,-0.05
0.75,0.7,0.8,0.22,0.06,-0.06
1.0,0.8,1.2,0.21,0.04,-0.04
1.4,1.2,1.6,0.18,0.04,-0.04
1.8,1.6,2.0,0.1,0.05,-0.05
3.4,3.0,3.8,0.051,0.028,-0.028
4.199999999999999,3.8,4.6,0.028,0.015,-0.015

