#: table_doi: 10.17182/hepdata.38102.v1/t1,,,,,
#: name: Table 1,,,,,
#: description: No description provided.,,,,,
#: data_file: Table1.yaml,,,,,
#: keyword reactions: E+ E- --> CHGD-HADRONS X | E+ E- --> K- X | E+ E- --> K+ X | E+ E- --> PBAR X | E+ E- --> PI- X | E+ E- --> PI+ X | E+ E- --> P X,,,,,
#: keyword observables: DSIG/DZ,,,,,
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering | Strange production,,,,,
#: keyword cmenergies: 29.0,,,,,
#: RE,,,E+ E- --> (PI+ + PI-) X,,
#: SQRT(S) [GeV],,,29,,
#: SYS,,,Errors contain systematic errors added in quadrature. Statistical errors dominate above Z,,
Z(DEF=P(P=3)/P(P=1)),Z(DEF=P(P=3)/P(P=1)) LOW,Z(DEF=P(P=3)/P(P=1)) HIGH,(1/SIG(C=TOTAL))*D(SIG)/D(Z),error +,error -
0.0125,0.01,0.015,88.4,7.2,-7.2
0.0175,0.015,0.02,138.3,5.4,-5.4
0.0225,0.02,0.025,149.5,6.6,-6.6
0.0275,0.025,0.03,144.2,5,-5
0.0325,0.03,0.035,130.9,4.1,-4.1
0.0375,0.035,0.04,112.9,3.5,-3.5
0.0425,0.04,0.045,104.6,3.2,-3.2
0.0475,0.045,0.05,93.8,3,-3
0.0525,0.05,0.055,83.8,2.7,-2.7
0.0575,0.055,0.06,76,2.5,-2.5
0.0625,0.06,0.065,68.2,2.6,-2.6
0.0675,0.065,0.07,60.9,3,-3
0.0725,0.07,0.075,-,0,0
0.0775,0.075,0.08,-,0,0
0.0825,0.08,0.085,-,0,0
0.0875,0.085,0.09,-,0,0
0.095,0.09,0.1,36,1.9,-1.9
0.105,0.1,0.11,29.9,1.5,-1.5
0.115,0.11,0.12,-,0,0
0.125,0.12,0.13,-,0,0
0.135,0.13,0.14,-,0,0
0.145,0.14,0.15,-,0,0
0.155,0.15,0.16,-,0,0
0.17,0.16,0.18,12.48,0.51,-0.51
0.19,0.18,0.2,10.77,0.45,-0.45
0.21,0.2,0.22,7.95,0.36,-0.36
0.235,0.22,0.25,6.13,0.26,-0.26
0.275,0.25,0.3,4.09,0.14,-0.14
0.325,0.3,0.35,2.61,0.1,-0.1
0.375,0.35,0.4,1.581,0.071,-0.071
0.45,0.4,0.5,0.874,0.038,-0.038
0.55,0.5,0.6,0.37,0.022,-0.022
0.65,0.6,0.7,0.19,0.015,-0.015
0.8,0.7,0.9,0.0466,0.007,-0.007
,,,,,
#: RE,,,E+ E- --> (K+ + K-) X,,
#: SQRT(S) [GeV],,,29,,
#: SYS,,,Errors contain systematic errors added in quadrature. Statistical errors dominate above Z,,
Z(DEF=P(P=3)/P(P=1)),Z(DEF=P(P=3)/P(P=1)) LOW,Z(DEF=P(P=3)/P(P=1)) HIGH,(1/SIG(C=TOTAL))*D(SIG)/D(Z),error +,error -
0.0275,0.025,0.03,5.56,0.49,-0.49
0.0325,0.03,0.035,7.21,0.56,-0.56
0.0375,0.035,0.04,7.6,0.59,-0.59
0.0425,0.04,0.045,9.3,1.2,-1.2
0.0475,0.045,0.05,8.55,0.96,-0.96
0.0525,0.05,0.055,8.73,0.65,-0.65
0.0575,0.055,0.06,8.48,0.74,-0.74
0.0625,0.06,0.065,9.2,1.3,-1.3
0.0675,0.065,0.07,8.8,2.3,-2.3
0.095,0.09,0.1,5.6,1.5,-1.5
0.105,0.1,0.11,6.32,0.92,-0.92
0.115,0.11,0.12,5.13,0.61,-0.61
0.125,0.12,0.13,5.13,0.49,-0.49
0.135,0.13,0.14,5,0.38,-0.38
0.275,0.25,0.3,1.73,0.11,-0.11
0.325,0.3,0.35,1.161,0.073,-0.073
0.375,0.35,0.4,0.842,0.055,-0.055
0.45,0.4,0.5,0.47,0.03,-0.03
0.55,0.5,0.6,0.249,0.02,-0.02
0.65,0.6,0.7,0.09,0.012,-0.012
0.8,0.7,0.9,0.0225,0.0048,-0.0048
,,,,,
#: RE,,,E+ E- --> (P + PBAR) X,,
#: SQRT(S) [GeV],,,29,,
#: SYS,,,Errors contain systematic errors added in quadrature. Statistical errors dominate above Z,,
Z(DEF=P(P=3)/P(P=1)),Z(DEF=P(P=3)/P(P=1)) LOW,Z(DEF=P(P=3)/P(P=1)) HIGH,(1/SIG(C=TOTAL))*D(SIG)/D(Z),error +,error -
0.0375,0.035,0.04,3.63,0.65,-0.65
0.0425,0.04,0.045,3.46,0.46,-0.46
0.0475,0.045,0.05,3.99,0.46,-0.46
0.0525,0.05,0.055,3.64,0.41,-0.41
0.0575,0.055,0.06,3.35,0.39,-0.39
0.0625,0.06,0.065,3.32,0.39,-0.39
0.0675,0.065,0.07,2.76,0.33,-0.33
0.0725,0.07,0.075,4,0.48,-0.48
0.0775,0.075,0.08,3.04,0.58,-0.58
0.0825,0.08,0.085,3.9,1.2,-1.2
0.0875,0.085,0.09,3.43,0.57,-0.57
0.095,0.09,0.1,3.06,0.33,-0.33
0.105,0.1,0.11,2.69,0.6,-0.6
0.275,0.25,0.3,0.42,0.1,-0.1
0.325,0.3,0.35,0.313,0.062,-0.062
0.375,0.35,0.4,0.222,0.046,-0.046
0.45,0.4,0.5,0.12,0.022,-0.022
0.55,0.5,0.6,0.044,0.012,-0.012
0.65,0.6,0.7,0.0305,0.008,-0.008
0.8,0.7,0.9,0.0064,0.0023,-0.0023
,,,,,
#: RE,,,E+ E- --> CHGD-HADRONS X,,
#: SQRT(S) [GeV],,,29,,
#: SYS,,,Errors contain systematic errors added in quadrature. Statistical errors dominate above Z,,
Z(DEF=P(P=3)/P(P=1)),Z(DEF=P(P=3)/P(P=1)) LOW,Z(DEF=P(P=3)/P(P=1)) HIGH,(1/SIG(C=TOTAL))*D(SIG)/D(Z),error +,error -
0.0125,0.01,0.015,91.5,7.4,-7.4
0.0175,0.015,0.02,144.8,5.6,-5.6
0.0225,0.02,0.025,157.7,7,-7
0.0275,0.025,0.03,153.4,5.2,-5.2
0.0325,0.03,0.035,142.2,4.3,-4.3
0.0375,0.035,0.04,124.1,3.8,-3.8
0.0425,0.04,0.045,117.3,3.6,-3.6
0.0475,0.045,0.05,106.4,3.3,-3.3
0.0525,0.05,0.055,96.2,3,-3
0.0575,0.055,0.06,87.8,2.7,-2.7
0.0625,0.06,0.065,80.7,2.6,-2.6
0.0675,0.065,0.07,72.5,2.4,-2.4
0.0725,0.07,0.075,69.2,2.4,-2.4
0.0775,0.075,0.08,60,2.2,-2.2
0.0825,0.08,0.085,53.3,2.2,-2.2
0.0875,0.085,0.09,49.2,1.8,-1.8
0.095,0.09,0.1,44.6,1.4,-1.4
0.105,0.1,0.11,39,1.3,-1.3
0.115,0.11,0.12,33.9,1.3,-1.3
0.125,0.12,0.13,29.4,1.1,-1.1
0.135,0.13,0.14,26.1,1,-1
0.145,0.14,0.15,22.11,0.82,-0.82
0.155,0.15,0.16,20.44,0.79,-0.79
0.17,0.16,0.18,17,0.58,-0.58
0.19,0.18,0.2,14.38,0.58,-0.58
0.21,0.2,0.22,11.31,0.44,-0.44
0.235,0.22,0.25,8.96,0.32,-0.32
0.275,0.25,0.3,6.24,0.18,-0.18
0.325,0.3,0.35,4.08,0.13,-0.13
0.375,0.35,0.4,2.644,0.093,-0.093
0.45,0.4,0.5,1.463,0.049,-0.049
0.55,0.5,0.6,0.663,0.029,-0.029
0.65,0.6,0.7,0.31,0.019,-0.019
0.8,0.7,0.9,0.0755,0.0098,-0.0098
